Time [s],Index,X Coord [µm],Y Coord [µm],Z Coord [µm],Ti ZDrive [µm],NIDAQ Piezo Z (name: Piezo Z) [µm],PFS Offset,Camera Temperature [°C],Exposure Time [ms],PFS Status
,,,,,,,,,,
0.0386,1,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
0.0821,2,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
0.1256,3,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,1
0.1691,4,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.2126,5,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.2561,6,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.2996,7,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.3431,8,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.3866,9,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.4301,10,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.4736,11,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.5171,12,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.5606,13,6917.8,-177.2,2757.5,2807.5,50,8159,-70,20,5
0.6041,14,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
0.6476,15,6917.8,-177.2,2757.375,2807.375,50,8159,-70,20,1
0.6911,16,6917.8,-177.2,2757.375,2807.375,50,8159,-70,20,1
0.7346,17,6917.8,-177.2,2757.375,2807.375,50,8159,-70,20,1
0.778,18,6917.8,-177.2,2757.375,2807.375,50,8159,-70,20,1
0.8215,19,6917.8,-177.2,2757.375,2807.375,50,8159,-70,20,1
0.865,20,6917.8,-177.2,2757.375,2807.375,50,8159,-70,20,1
0.9085,21,6917.8,-177.2,2757.375,2807.375,50,8159,-70,20,1
0.952,22,6917.8,-177.2,2757.375,2807.375,50,8159,-70,20,1
0.9955,23,6917.8,-177.2,2757.375,2807.375,50,8159,-70,20,1
1.039,24,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.0825,25,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.126,26,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.1695,27,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.213,28,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.2565,29,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.3,30,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.3435,31,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.387,32,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.4305,33,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.474,34,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.5175,35,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.561,36,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.6045,37,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.6479,38,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.6914,39,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.7349,40,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.7784,41,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.8219,42,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.8654,43,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.9089,44,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.9524,45,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
1.9959,46,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.0394,47,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.0829,48,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.1264,49,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.1699,50,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.2134,51,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.2569,52,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.3004,53,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.3439,54,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.3874,55,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.4309,56,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.4744,57,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.5178,58,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.5613,59,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.6048,60,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.6483,61,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.6918,62,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.7353,63,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.7788,64,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.8223,65,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.8658,66,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.9093,67,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.9528,68,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
2.9963,69,6917.8,-177.2,2757.425,2807.425,50,8159,-70,20,1
3.0398,70,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.0833,71,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.1268,72,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.1703,73,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.2138,74,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.2573,75,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.3008,76,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.3443,77,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.3878,78,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.4312,79,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.4747,80,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.5543,81,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.5978,82,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.6413,83,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.6848,84,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.7283,85,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.7718,86,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.8153,87,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.8588,88,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.9023,89,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.9458,90,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
3.9893,91,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.0328,92,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.0762,93,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.1197,94,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.1632,95,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.2067,96,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.2502,97,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.2937,98,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.3372,99,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.3807,100,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.4242,101,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.4677,102,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.5112,103,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.5547,104,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.5982,105,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.6417,106,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.6852,107,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.7287,108,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.7722,109,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.8157,110,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.8592,111,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.9027,112,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.9462,113,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
4.9896,114,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.0331,115,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.0766,116,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.1201,117,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.1636,118,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.2071,119,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.2506,120,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.2941,121,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.3376,122,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.3811,123,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.4246,124,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.4681,125,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.5116,126,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.5551,127,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.5986,128,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.6421,129,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.6856,130,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.7291,131,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.7726,132,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.8161,133,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.8595,134,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.903,135,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.9465,136,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
5.99,137,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
6.0335,138,6917.8,-177.2,2757.45,2807.45,50,8159,-70,20,1
6.077,139,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.1205,140,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.164,141,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.2075,142,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.251,143,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.2945,144,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.338,145,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.3815,146,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.425,147,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.4685,148,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
6.512,149,6917.8,-177.2,2757.475,2807.475,50,8159,-70,20,1
