
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"ROIs 1","GTY029 25C (cropped)","ROIs","20643840","24580.62","509","2288","688.22","1.42e+10","47.51","178","1761","255.53","5.28e+09","37.37","1228","2847","2089.3","2.88e+09","76.25","1993","3655","2668.24","3.67e+09","53.22","333.94","28711.75","790.33","1.63e+10","137.56","0.000001","28945.07","246.88","5.10e+09","154.43","N/A","N/A"
"Whole cells prelim 1","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","783.77","783.77","783.77","783.77","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 2","GTY029 25C (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","764.24","784.13","774.19","1548.37","9.95","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 3","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","804.28","804.28","804.28","804.28","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 4","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","783.61","783.61","783.61","783.61","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 5","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","820.98","820.98","820.98","820.98","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 6","GTY029 25C (cropped)","Whole cells prelim","10","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","802.12","898.6","846.49","8464.86","35.84","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 7","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","805.97","805.97","805.97","805.97","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 8","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","797.91","797.91","797.91","797.91","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 9","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","790.84","790.84","790.84","790.84","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 10","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","786.15","786.15","786.15","786.15","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 11","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","764.73","764.73","764.73","764.73","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 12","GTY029 25C (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","787.48","827.56","807.52","1615.04","20.04","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 13","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","799.18","799.18","799.18","799.18","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 14","GTY029 25C (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","866.4","890.01","881.5","2644.49","10.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 15","GTY029 25C (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","922.28","925.98","924.13","1848.26","1.85","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 16","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","839.52","839.52","839.52","839.52","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 17","GTY029 25C (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","852.34","900.66","875.68","2627.05","19.76","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 18","GTY029 25C (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","911.68","999.81","971.34","3885.35","34.87","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 19","GTY029 25C (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1020.01","1166.76","1086.14","3258.43","60.78","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 20","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","888.81","888.81","888.81","888.81","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 21","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1063.05","1063.05","1063.05","1063.05","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 22","GTY029 25C (cropped)","Whole cells prelim","9","0.0107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1139.24","1332.59","1239.87","11158.84","65.67","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 23","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","756.3","756.3","756.3","756.3","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 24","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","986.45","986.45","986.45","986.45","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 25","GTY029 25C (cropped)","Whole cells prelim","11","0.0131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1020.43","1221.38","1167.77","12845.5","56.37","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 26","GTY029 25C (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","990.45","1111.11","1055.88","4223.53","43.35","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 27","GTY029 25C (cropped)","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","915.95","964.72","936.82","2810.47","20.52","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 28","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","754.89","754.89","754.89","754.89","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 29","GTY029 25C (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","850.36","850.36","850.36","850.36","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
