
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))"
"ROIs 1","GTY029 25C 2","ROIs","20643840","24580.62","489","2227","686.19","1.42e+10","47.28","176","1865","254.11","5.25e+09","31","1278","2877","2140.62","2.95e+09","80.05","2057","3553","2733.78","3.76e+09","58.09","237.04","25958.83","794.68","1.64e+10","151.94","0.00475","19751.09","247.22","5.10e+09","128.09"
"Whole cells prelim 1","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","723.39","747.37","735.38","1470.76","11.99","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 2","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","687.65","718.05","704.42","2113.25","12.61","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 3","GTY029 25C 2","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","700.4","746.08","725.32","3626.58","16.3","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 4","GTY029 25C 2","Whole cells prelim","8","0.00953","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","713.98","824.61","755.74","6045.96","34.62","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 5","GTY029 25C 2","Whole cells prelim","14","0.0167","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","660.78","891.58","747.16","10460.3","67.53","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 6","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","715.03","715.03","715.03","715.03","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 7","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","677.24","677.24","677.24","677.24","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 8","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","754.68","754.68","754.68","754.68","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 9","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","698.77","698.77","698.77","698.77","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 10","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","743.38","743.38","743.38","743.38","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 11","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","738.46","738.46","738.46","738.46","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 12","GTY029 25C 2","Whole cells prelim","12","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","697.72","832.98","758.32","9099.8","42.29","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 13","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","733.45","733.45","733.45","733.45","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 14","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","754.23","754.23","754.23","754.23","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 15","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","733.16","733.16","733.16","733.16","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 16","GTY029 25C 2","Whole cells prelim","13","0.0155","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","680.75","776.88","715.38","9299.98","35.35","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 17","GTY029 25C 2","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","715.9","752.06","734.88","2204.65","14.82","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 18","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","726.76","726.76","726.76","726.76","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 19","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","738.72","812.38","775.55","1551.09","36.83","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 20","GTY029 25C 2","Whole cells prelim","6","0.00714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","689.28","752.25","730.73","4384.39","20.9","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 21","GTY029 25C 2","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","694.29","783.13","738.69","2954.75","36.13","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 22","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","724.48","724.48","724.48","724.48","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 23","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","754.3","754.3","754.3","754.3","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 24","GTY029 25C 2","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","795.32","834.34","810.42","4052.08","16.5","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 25","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","709.44","709.44","709.44","709.44","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 26","GTY029 25C 2","Whole cells prelim","7","0.00833","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","730.58","785.62","754.44","5281.1","21.57","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 27","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","760.87","760.87","760.87","760.87","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 28","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","727.83","738.8","733.31","1466.63","5.48","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 29","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","725.58","725.58","725.58","725.58","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 30","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","727.64","727.64","727.64","727.64","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 31","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","743.36","743.36","743.36","743.36","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 32","GTY029 25C 2","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","663.61","700.63","682.12","1364.24","18.51","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 33","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","748.73","748.73","748.73","748.73","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 34","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","740.55","740.55","740.55","740.55","0","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 35","GTY029 25C 2","Whole cells prelim","9","0.0107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","731.31","853.06","781.75","7035.78","41.25","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 36","GTY029 25C 2","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","726.51","726.51","726.51","726.51","0","N/A","N/A","N/A","N/A","N/A"
