
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"Whole cells prelim 1","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","758.7","758.7","758.7","758.7","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 2","GTY029 25C 5 (cropped)","Whole cells prelim","5","0.00595","N/A","N/A","N/A","N/A","N/A","772.83","780.49","775.44","3877.19","2.68","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 3","GTY029 25C 5 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","766.19","778.78","772.99","3091.95","4.48","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 4","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","737.09","737.09","737.09","737.09","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 5","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","725.16","725.16","725.16","725.16","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 6","GTY029 25C 5 (cropped)","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","741.8","782.8","762.83","3051.34","19.54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 7","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","742.54","742.54","742.54","742.54","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 8","GTY029 25C 5 (cropped)","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","766.04","786.3","776.17","1552.34","10.13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 9","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","753.84","753.84","753.84","753.84","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 10","GTY029 25C 5 (cropped)","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","747.72","747.72","747.72","747.72","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
