
"Name","Item Name","Population","Voxel Count","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"ROIs 1","GTY029 25C","ROIs","20643840","24580.62","509","2288","688.22","1.42e+10","47.51","178","1761","255.53","5.28e+09","37.37","1228","2847","2089.3","2.88e+09","76.25","1993","3655","2668.24","3.67e+09","53.22","333.94","28711.75","790.33","1.63e+10","137.56","0.000001","28945.07","246.88","5.10e+09","154.43","N/A","N/A"
"Whole cells prelim 1","GTY029 25C","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","758.13","758.13","758.13","758.13","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 2","GTY029 25C","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","752.9","752.9","752.9","752.9","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 3","GTY029 25C","Whole cells prelim","4","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","723.57","749.98","735.77","2943.09","9.68","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 4","GTY029 25C","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","715.31","715.31","715.31","715.31","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 5","GTY029 25C","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","720.41","722.32","721.37","1442.73","0.954","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 6","GTY029 25C","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","726.57","820.42","781.45","2344.36","39.93","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 7","GTY029 25C","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","730.69","749.33","741.55","2224.66","7.92","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 8","GTY029 25C","Whole cells prelim","6","0.00714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","750.22","884.34","827.1","4962.58","41.66","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 9","GTY029 25C","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","762.1","762.1","762.1","762.1","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 10","GTY029 25C","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","779.82","791.01","785.42","1570.83","5.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 11","GTY029 25C","Whole cells prelim","1","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","719.77","719.77","719.77","719.77","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 12","GTY029 25C","Whole cells prelim","2","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","722.17","726.08","724.12","1448.25","1.95","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 13","GTY029 25C","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","714.17","725.75","721.7","2165.09","5.33","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Whole cells prelim 14","GTY029 25C","Whole cells prelim","3","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","740.82","745.98","742.68","2228.03","2.34","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
