filename,ID,Item Name,Name,Population,Type,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment Whole cells ID
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,1,GTY029 25C (cropped),ROIs 1,ROIs,Object,24580.62,509,2288,688.22,14200000000,47.51,333.94,28711.75,790.33,16300000000,137.56,178,1761,255.53,5280000000,37.37,1e-6,28945.07,246.88,5100000000,154.43,NA,NA
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,120,GTY029 25C (cropped),Whole cells 1,Whole cells,Object,81.68,NA,NA,NA,NA,NA,453.62,3006.91,930.69,63841420,223.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,121,GTY029 25C (cropped),Whole cells 2,Whole cells,Object,75.58,NA,NA,NA,NA,NA,527,2640.19,943.59,59894404,212.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,122,GTY029 25C (cropped),Whole cells 3,Whole cells,Object,260.98,NA,NA,NA,NA,NA,354,5500.7,963.43,211000000,278.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,123,GTY029 25C (cropped),Whole cells 4,Whole cells,Object,67.31,NA,NA,NA,NA,NA,503.75,2829.99,945.16,53428940,211.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,124,GTY029 25C (cropped),Whole cells 5,Whole cells,Object,166.49,NA,NA,NA,NA,NA,436.09,28711.75,907.43,127000000,287.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,152,GTY029 25C (cropped),Mito 28,Mito,Object,0.0191,686,794,755.75,12092,31.13,597.41,714.69,663.5,10615.94,38.65,330,400,363.44,5815,20.5,588.71,673.45,626.32,10021.09,25.33,NA,NA
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,135,GTY029 25C (cropped),Mito 11,Mito,Object,0.0345,735,862,804.24,23323,30.86,729.94,944.36,847.97,24591.18,51.78,429,523,473.72,13738,23.61,585.45,687.26,626.12,18157.54,27.33,NA,120
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,136,GTY029 25C (cropped),Mito 12,Mito,Object,0.0119,769,920,833.5,8335,38.94,752.31,927.85,832.48,8324.76,55.08,464,528,495,4950,20.41,591.36,647.46,616.96,6169.57,18.18,NA,120
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,137,GTY029 25C (cropped),Mito 13,Mito,Object,0.894,717,1089,883.84,663764,69.21,549.23,2845.52,1277.62,959491.5,438.05,353,1393,678.06,509226,227.41,585.58,17953.6,2614,1963115.75,3194.09,NA,120
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,142,GTY029 25C (cropped),Mito 18,Mito,Object,0.367,712,977,837.94,258087,46.18,604.96,1746.77,1104.06,340050.78,258.8,354,913,545.09,167888,126.99,589.5,11114.08,2315.83,713276.19,2437.29,NA,120
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,145,GTY029 25C (cropped),Mito 21,Mito,Object,0.616,762,1059,906.59,468706,42.87,763.34,1958.37,1109.77,573753.13,240.99,378,1102,607.44,314046,140.52,587.1,13294.3,2199.74,1137264.38,2419.06,NA,120
GTY029 25C 1 (cropped) c0 m-80 full field roi.csv,148,GTY029 25C (cropped),Mito 24,Mito,Object,0.0167,807,904,861.29,12058,33.04,764.96,1119.2,902.96,12641.5,112.2,329,402,377,5278,19.31,587.26,651.28,613.16,8584.27,18.2,NA,120
