
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 25C 10 (cropped)_03","ROIs 1","ROIs","Object","236.83","533","795","668.83","1.33e+08","30.2","191","317","251.96","50114876","13.61","1944","2237","2120.64","28119724","35.32","2546","2853","2698.19","35778063","37.1","403.37","945.08","664.5","1.32e+08","61.95","185.41","332.34","251.2","49964432","15.87","N/A","N/A"
"2","GTY029 25C 10 (cropped)_03","Whole cells prelim 1","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","717.33","717.33","717.33","717.33","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 25C 10 (cropped)_03","Whole cells prelim 2","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","796.48","796.48","796.48","796.48","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 25C 10 (cropped)_03","Whole cells prelim 3","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","745.88","745.88","745.88","745.88","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 25C 10 (cropped)_03","Whole cells prelim 4","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","755.18","755.18","755.18","755.18","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 25C 10 (cropped)_03","Whole cells prelim 5","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","887.15","887.15","887.15","887.15","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 25C 10 (cropped)_03","Whole cells prelim 6","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","853.88","853.88","853.88","853.88","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 25C 10 (cropped)_03","Whole cells prelim 7","Whole cells prelim","Object","56.27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","378.57","2115.85","928.74","43891100","176.76","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 25C 10 (cropped)_03","Whole cells prelim 8","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","712.37","760.71","736.54","1473.08","24.17","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 25C 10 (cropped)_03","Whole cells prelim 9","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","743.44","767.52","755.48","1510.96","12.04","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11","GTY029 25C 10 (cropped)_03","Whole cells prelim 10","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","665.33","665.33","665.33","665.33","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12","GTY029 25C 10 (cropped)_03","Whole cells prelim 11","Whole cells prelim","Object","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","596.76","700.52","646.16","7753.93","36.88","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
