
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 25C 5 (cropped)_03","ROIs 1","ROIs","Object","291.75","519","798","648.75","1.59e+08","29.47","190","313","250.95","61489222","13.56","2003","2322","2150.94","35135676","48.86","2646","2977","2808.4","45875133","41.63","453.82","824.45","642.63","1.57e+08","43.51","162.29","368.07","250.77","61444484","20.16","N/A","N/A"
"2","GTY029 25C 5 (cropped)_03","Whole cells prelim 1","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","725.16","725.16","725.16","725.16","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 25C 5 (cropped)_03","Whole cells prelim 2","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","731.76","749.61","740.68","1481.37","8.93","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 25C 5 (cropped)_03","Whole cells prelim 3","Whole cells prelim","Object","0.00714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","715.64","778.44","756.23","4537.4","25.38","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 25C 5 (cropped)_03","Whole cells prelim 4","Whole cells prelim","Object","0.0202","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","738.62","788.2","762.51","12962.59","14.94","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 25C 5 (cropped)_03","Whole cells prelim 5","Whole cells prelim","Object","51.06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","555.96","2336.4","942.99","40441096","153.74","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 25C 5 (cropped)_03","Whole cells prelim 6","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","692.96","692.96","692.96","692.96","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 25C 5 (cropped)_03","Whole cells prelim 7","Whole cells prelim","Object","0.0131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","678.89","761.36","724.03","7964.35","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 25C 5 (cropped)_03","Whole cells prelim 8","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","710.33","717.26","713.79","1427.58","3.47","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 25C 5 (cropped)_03","Whole cells prelim 9","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","742.25","742.25","742.25","742.25","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11","GTY029 25C 5 (cropped)_03","Whole cells 1","Whole cells","Object","51.06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","555.96","2336.4","942.99","40441096","153.74","N/A","N/A","N/A","N/A","N/A","9","N/A"
"12","GTY029 25C 5 (cropped)_03","Mito 1","Mito","Object","0.0131","753","871","813","8943","41.35","303","352","330.18","3632","16.34","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","780.35","823.1","803.5","8838.46","12.36","374.07","396.02","383.29","4216.16","6.4","N/A","11"
"13","GTY029 25C 5 (cropped)_03","Mito 2","Mito","Object","0.0298","691","820","758.72","18968","33.79","294","365","326.24","8156","14.76","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","689.27","729.71","705.27","17631.64","10.35","371.57","397.06","382.2","9555.02","7.31","N/A","N/A"
