
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 25C 7 (cropped)_02","ROIs 1","ROIs","Object","161.19","543","819","674","91242950","30.69","385.18","1033.48","669.45","90627448","76.77","196","346","254.35","34432673","14.75","2012","2217","2118.88","19122871","26.67","2532","2805","2673.79","24130968","37.12","165.98","338.44","249.86","33825328","19.33","N/A","N/A"
"2","GTY029 25C 7 (cropped)_02","Whole cells prelim 1","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","767.89","767.89","767.89","767.89","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 25C 7 (cropped)_02","Whole cells prelim 2","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","765.67","765.67","765.67","765.67","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 25C 7 (cropped)_02","Whole cells prelim 3","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","744.83","744.83","744.83","744.83","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 25C 7 (cropped)_02","Whole cells prelim 4","Whole cells prelim","Object","0.00953","N/A","N/A","N/A","N/A","N/A","700.91","759.85","730.82","5846.55","17.93","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 25C 7 (cropped)_02","Whole cells prelim 5","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","721.9","721.9","721.9","721.9","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 25C 7 (cropped)_02","Whole cells prelim 6","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","716.28","722.19","719.24","1438.47","2.95","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 25C 7 (cropped)_02","Whole cells prelim 7","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","729.52","729.52","729.52","729.52","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 25C 7 (cropped)_02","Whole cells prelim 8","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","715.95","715.95","715.95","715.95","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 25C 7 (cropped)_02","Whole cells prelim 9","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","776.13","776.13","776.13","776.13","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11","GTY029 25C 7 (cropped)_02","Whole cells prelim 10","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","841.94","852.14","847.04","1694.08","5.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12","GTY029 25C 7 (cropped)_02","Whole cells prelim 11","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","597.86","597.86","597.86","597.86","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"13","GTY029 25C 7 (cropped)_02","Whole cells prelim 12","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","619.52","619.52","619.52","619.52","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14","GTY029 25C 7 (cropped)_02","Whole cells prelim 13","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","589.69","589.69","589.69","589.69","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","GTY029 25C 7 (cropped)_02","Whole cells prelim 14","Whole cells prelim","Object","0.00595","N/A","N/A","N/A","N/A","N/A","664.63","733.58","706.92","3534.62","25.09","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"16","GTY029 25C 7 (cropped)_02","Whole cells prelim 15","Whole cells prelim","Object","0.0107","N/A","N/A","N/A","N/A","N/A","560.13","660.68","618.1","5562.91","32.39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"17","GTY029 25C 7 (cropped)_02","Whole cells prelim 16","Whole cells prelim","Object","0.0131","N/A","N/A","N/A","N/A","N/A","611.3","723.5","676.98","7446.77","41.51","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"18","GTY029 25C 7 (cropped)_02","Whole cells prelim 17","Whole cells prelim","Object","0.00476","N/A","N/A","N/A","N/A","N/A","658.25","710.4","683.03","2732.13","24.31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"19","GTY029 25C 7 (cropped)_02","Whole cells prelim 18","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","566.76","575.7","571.23","1142.46","4.47","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"20","GTY029 25C 7 (cropped)_02","Whole cells prelim 19","Whole cells prelim","Object","0.00476","N/A","N/A","N/A","N/A","N/A","596.37","696.99","637.56","2550.25","38.79","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"21","GTY029 25C 7 (cropped)_02","Whole cells prelim 20","Whole cells prelim","Object","194.49","N/A","N/A","N/A","N/A","N/A","0","3835.94","931.33","1.52e+08","238.69","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"22","GTY029 25C 7 (cropped)_02","Whole cells prelim 21","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","666.19","808.78","757.73","2273.18","64.87","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"23","GTY029 25C 7 (cropped)_02","Whole cells prelim 22","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","658.99","658.99","658.99","658.99","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"24","GTY029 25C 7 (cropped)_02","Whole cells prelim 23","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","693.2","693.2","693.2","693.2","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"25","GTY029 25C 7 (cropped)_02","Whole cells prelim 24","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","659.4","659.4","659.4","659.4","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"26","GTY029 25C 7 (cropped)_02","Whole cells prelim 25","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","821.23","880.57","850.9","1701.8","29.67","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"27","GTY029 25C 7 (cropped)_02","Whole cells prelim 26","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","604.12","604.12","604.12","604.12","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"28","GTY029 25C 7 (cropped)_02","Whole cells 1","Whole cells","Object","194.49","N/A","N/A","N/A","N/A","N/A","0","3835.94","931.33","1.52e+08","238.69","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7","N/A"
"29","GTY029 25C 7 (cropped)_02","Mito 1","Mito","Object","12.36","715","1140","916.31","9513138","59.87","586.18","3238.69","1161.95","12063320","309.51","402","1864","778.53","8082719","216.5","1893","2286","2061.84","1579372","68.1","2339","2899","2587.58","1982090","96.37","564.31","18150.18","1909.44","19823794","1961.2","N/A","28"
"30","GTY029 25C 7 (cropped)_02","Mito 2","Mito","Object","1.85","822","1204","983.05","1524712","50.92","694.39","2544.1","1176.93","1825412.25","261.04","364","1827","785.2","1217838","279.94","1989","2450","2160.42","527142","92.3","2484","3065","2708.27","660817","123.05","564.45","20800.05","2481.45","3848724.75","3115","N/A","28"
"31","GTY029 25C 7 (cropped)_02","Mito 3","Mito","Object","0.567","830","1070","952.12","453209","43.37","625.85","1799.32","1071.77","510162.75","242.79","363","1218","641.88","305533","172.14","2027","2574","2187.43","231868","138.64","2470","3136","2704.93","286723","165.14","565.41","17014.63","2494.92","1187580.63","2917.36","N/A","28"
"32","GTY029 25C 7 (cropped)_02","Mito 4","Mito","Object","0.0714","883","1049","957.1","57426","36.38","766.82","1067.32","943.4","56603.82","61.36","366","475","421.53","25292","22.74","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","566.59","638.71","589.88","35392.82","17.85","N/A","28"
"33","GTY029 25C 7 (cropped)_02","Mito 5","Mito","Object","0.0643","737","872","789.85","42652","27.45","553.19","684.81","617.92","33367.71","32.33","389","520","458.26","24746","30.88","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","564.65","684.79","610","32939.83","32.21","N/A","28"
