
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 36C 15 (cropped)","ROIs 1","ROIs","Object","2790.52","514","817","656.24","1.54e+09","30.32","172","314","232.89","5.46e+08","12.5","1881","2323","2089.64","3.26e+08","54.26","2439","2873","2673.43","4.18e+08","38.81","331.6","1088.83","654.49","1.53e+09","83.67","132.34","354.94","232.24","5.44e+08","19.2","N/A","N/A"
"2","GTY029 36C 15 (cropped)","Whole cells prelim 1","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","679.68","700.65","690.17","1380.33","10.48","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 36C 15 (cropped)","Whole cells prelim 2","Whole cells prelim","Object","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","703.8","715.1","707.47","2829.87","4.48","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 36C 15 (cropped)","Whole cells prelim 3","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","733.13","743.98","738.56","1477.12","5.43","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 36C 15 (cropped)","Whole cells prelim 4","Whole cells prelim","Object","0.00953","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","700.4","790.49","745.76","5966.09","32.3","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 36C 15 (cropped)","Whole cells prelim 5","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","720.43","720.43","720.43","720.43","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 36C 15 (cropped)","Whole cells prelim 6","Whole cells prelim","Object","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","683.06","801.55","732.27","3661.34","48.22","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 36C 15 (cropped)","Whole cells prelim 7","Whole cells prelim","Object","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","680.3","757.53","717.06","7170.62","22.97","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 36C 15 (cropped)","Whole cells prelim 8","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","712.31","712.31","712.31","712.31","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 36C 15 (cropped)","Whole cells prelim 9","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","680.91","681.75","681.33","1362.66","0.419","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
