
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"2","GTY029 36C 8 (cropped)","Whole cells prelim 1","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","760.64","760.64","760.64","760.64","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 36C 8 (cropped)","Whole cells prelim 3","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","757.64","757.64","757.64","757.64","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 36C 8 (cropped)","Whole cells prelim 6","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","756.87","756.87","756.87","756.87","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 36C 8 (cropped)","Whole cells prelim 8","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","768.07","768.07","768.07","768.07","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 36C 8 (cropped)","Whole cells prelim 9","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","760.58","760.58","760.58","760.58","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12","GTY029 36C 8 (cropped)","Whole cells prelim 11","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","755.72","755.72","755.72","755.72","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"13","GTY029 36C 8 (cropped)","Whole cells prelim 12","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","756.59","756.59","756.59","756.59","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14","GTY029 36C 8 (cropped)","Whole cells prelim 13","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","771.51","771.51","771.51","771.51","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","GTY029 36C 8 (cropped)","Whole cells prelim 14","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","790.19","790.19","790.19","790.19","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"18","GTY029 36C 8 (cropped)","Whole cells prelim 17","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","755.74","755.74","755.74","755.74","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"20","GTY029 36C 8 (cropped)","Whole cells prelim 19","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","733.09","733.09","733.09","733.09","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"21","GTY029 36C 8 (cropped)","Whole cells prelim 20","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","759.82","759.82","759.82","759.82","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"23","GTY029 36C 8 (cropped)","Whole cells prelim 22","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","749.09","749.09","749.09","749.09","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
