
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 25C 10 (cropped)_02","ROIs 1","ROIs","Object","209.66","547","834","678.33","1.19e+08","30.88","364.34","1040.78","671.98","1.18e+08","77.8","188","315","253.24","44591930","13.77","172.58","342.72","250.25","44065960","18.23","1897","2211","2059.38","24175050","43.25","2536","2815","2683.76","31504640","37.15","N/A","N/A"
"2","GTY029 25C 10 (cropped)_02","Whole cells prelim 1","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","768.1","786.14","777.12","1554.24","9.02","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 25C 10 (cropped)_02","Whole cells prelim 2","Whole cells prelim","Object","0.0357","N/A","N/A","N/A","N/A","N/A","746.73","835.16","796.46","23893.87","24.29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 25C 10 (cropped)_02","Whole cells prelim 3","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","734.22","734.22","734.22","734.22","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 25C 10 (cropped)_02","Whole cells prelim 4","Whole cells prelim","Object","0.00833","N/A","N/A","N/A","N/A","N/A","732.43","802.95","770.47","5393.27","22.08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 25C 10 (cropped)_02","Whole cells prelim 5","Whole cells prelim","Object","56.31","N/A","N/A","N/A","N/A","N/A","451.71","1976.41","978.07","46255016","187.68","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 25C 10 (cropped)_02","Whole cells prelim 6","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","867.81","948.34","908.07","1816.15","40.27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 25C 10 (cropped)_02","Whole cells prelim 7","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","740.53","740.53","740.53","740.53","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 25C 10 (cropped)_02","Whole cells 1","Whole cells","Object","56.31","N/A","N/A","N/A","N/A","N/A","451.71","1976.41","978.07","46255016","187.68","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","6","N/A"
"10","GTY029 25C 10 (cropped)_02","Mito 1","Mito","Object","0.632","710","927","821.54","436237","35.63","684.85","899.91","778.25","413249.59","36.57","342","519","414.23","219956","30.66","395.86","558.32","449.71","238794.69","36.92","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","9"
