
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 25C 2 (cropped)","ROIs 1","ROIs","Object","24580.62","489","2227","686.19","1.42e+10","47.28","176","1865","254.11","5.25e+09","31","1278","2877","2140.62","2.95e+09","80.05","2057","3553","2733.78","3.76e+09","58.09","237.04","25958.83","794.68","1.64e+10","151.94","0.00475","19751.09","247.22","5.10e+09","128.09","N/A","N/A"
"2","GTY029 25C 2 (cropped)","Whole cells prelim 1","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","753.36","753.36","753.36","753.36","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 25C 2 (cropped)","Whole cells prelim 2","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","660.78","660.78","660.78","660.78","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 25C 2 (cropped)","Whole cells prelim 3","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","715.03","715.03","715.03","715.03","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 25C 2 (cropped)","Whole cells prelim 4","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","737.08","743.03","739.32","2217.97","2.64","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 25C 2 (cropped)","Whole cells prelim 5","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","674.21","712.87","694.39","2083.16","15.83","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 25C 2 (cropped)","Whole cells prelim 6","Whole cells prelim","Object","0.00833","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","748.58","813.03","765.53","5358.7","23.94","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 25C 2 (cropped)","Whole cells prelim 7","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","750.69","750.69","750.69","750.69","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 25C 2 (cropped)","Whole cells prelim 8","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","729.5","775.78","752.64","1505.28","23.14","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 25C 2 (cropped)","Whole cells prelim 9","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","754.23","754.23","754.23","754.23","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11","GTY029 25C 2 (cropped)","Whole cells prelim 10","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","720.48","799.23","771.24","2313.72","35.96","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12","GTY029 25C 2 (cropped)","Whole cells prelim 11","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","710.86","710.86","710.86","710.86","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"13","GTY029 25C 2 (cropped)","Whole cells prelim 12","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","748.11","748.11","748.11","748.11","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14","GTY029 25C 2 (cropped)","Whole cells prelim 13","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","771.83","771.83","771.83","771.83","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","GTY029 25C 2 (cropped)","Whole cells prelim 14","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","776.2","776.2","776.2","776.2","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"16","GTY029 25C 2 (cropped)","Whole cells prelim 15","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","705.55","717.54","711.55","1423.09","5.99","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"17","GTY029 25C 2 (cropped)","Whole cells prelim 16","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","770.74","770.74","770.74","770.74","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"18","GTY029 25C 2 (cropped)","Whole cells prelim 17","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","764.79","786.6","775.69","1551.39","10.91","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
