
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 25C 6 (cropped)_01","ROIs 1","ROIs","Object","1246.27","514","788","650.12","6.80e+08","29.48","184","317","251.06","2.63e+08","13.52","1998","2390","2216.79","1.55e+08","56.69","2631","2983","2808.02","1.96e+08","40.79","266.52","1282.86","652.82","6.83e+08","96.32","173.25","346.43","251.08","2.63e+08","16.04","N/A","N/A"
"2","GTY029 25C 6 (cropped)_01","Whole cells prelim 1","Whole cells prelim","Object","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","700.05","768.64","739.79","3698.95","23.75","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 25C 6 (cropped)_01","Whole cells prelim 2","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","733.72","733.72","733.72","733.72","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 25C 6 (cropped)_01","Whole cells prelim 3","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","638.02","645.94","641.98","1283.96","3.96","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 25C 6 (cropped)_01","Whole cells prelim 4","Whole cells prelim","Object","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","732.2","785.91","758.63","3793.13","18.15","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 25C 6 (cropped)_01","Whole cells prelim 5","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","624.16","624.16","624.16","624.16","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 25C 6 (cropped)_01","Whole cells prelim 6","Whole cells prelim","Object","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","691.95","724.09","710.43","2841.72","11.72","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 25C 6 (cropped)_01","Whole cells prelim 7","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","688.59","712.04","698.24","2094.71","10.02","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 25C 6 (cropped)_01","Whole cells prelim 8","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","719.65","719.65","719.65","719.65","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 25C 6 (cropped)_01","Whole cells prelim 9","Whole cells prelim","Object","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","682.98","704.4","694.18","2776.73","7.62","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
