
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 36C 13 (cropped)","ROIs 1","ROIs","Object","2199.04","478","796","645.12","1.19e+09","30.58","172","300","232.9","4.30e+08","12.41","1775","2295","2118.84","2.61e+08","51.73","2371","2869","2666.6","3.28e+08","41","362.15","1006.54","639.6","1.18e+09","70.17","116.89","396.4","232.71","4.30e+08","23.71","N/A","N/A"
"2","GTY029 36C 13 (cropped)","Whole cells prelim 1","Whole cells prelim","Object","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","765.67","849.95","805.21","8052.07","31.42","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 36C 13 (cropped)","Whole cells prelim 2","Whole cells prelim","Object","1.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","685.26","1642.74","1021.67","1289348.75","194.95","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 36C 13 (cropped)","Whole cells prelim 3","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","704.44","704.44","704.44","704.44","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 36C 13 (cropped)","Whole cells prelim 4","Whole cells prelim","Object","0.00714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","713.64","774.78","737.76","4426.55","18.99","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 36C 13 (cropped)","Whole cells prelim 5","Whole cells prelim","Object","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","743.05","775.24","758.45","3792.27","10.86","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 36C 13 (cropped)","Whole cells prelim 6","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","767.11","770.16","768.63","1537.27","1.53","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 36C 13 (cropped)","Whole cells prelim 7","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","764.08","781.69","772.89","1545.77","8.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 36C 13 (cropped)","Whole cells prelim 8","Whole cells prelim","Object","0.00595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","751.42","807.84","769.58","3847.89","20.81","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 36C 13 (cropped)","Whole cells prelim 9","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","712.17","718.17","715.08","2145.24","2.45","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11","GTY029 36C 13 (cropped)","Whole cells prelim 10","Whole cells prelim","Object","0.0107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","708.73","850.39","773.92","6965.27","41.26","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12","GTY029 36C 13 (cropped)","Whole cells prelim 11","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","741.24","773.94","761.37","2284.12","14.38","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"13","GTY029 36C 13 (cropped)","Whole cells prelim 12","Whole cells prelim","Object","0.00714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","704.06","838.55","773.67","4642.02","46.54","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14","GTY029 36C 13 (cropped)","Whole cells prelim 13","Whole cells prelim","Object","0.00476","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","716.47","725.57","720.44","2881.75","3.59","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
