
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"95","GTY029 25C 3 (cropped)","Whole cells prelim 95","Whole cells prelim","Object","272.21","N/A","N/A","N/A","N/A","N/A","218.29","5703.7","945.71","2.16e+08","263.19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"158","GTY029 25C 3 (cropped)","Whole cells 1","Whole cells","Object","272.21","N/A","N/A","N/A","N/A","N/A","218.29","5703.7","945.71","2.16e+08","263.19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","12","N/A"
"97","GTY029 25C 3 (cropped)","Whole cells prelim 97","Whole cells prelim","Object","263.18","N/A","N/A","N/A","N/A","N/A","287.51","7638.36","923.26","2.04e+08","254.75","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"102","GTY029 25C 3 (cropped)","Whole cells prelim 102","Whole cells prelim","Object","146.7","N/A","N/A","N/A","N/A","N/A","294.2","6780.62","925.61","1.14e+08","249.17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"160","GTY029 25C 3 (cropped)","Whole cells 3","Whole cells","Object","146.7","N/A","N/A","N/A","N/A","N/A","294.2","6780.62","925.61","1.14e+08","249.17","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","7","N/A"
"107","GTY029 25C 3 (cropped)","Whole cells prelim 107","Whole cells prelim","Object","103.83","N/A","N/A","N/A","N/A","N/A","436.08","15469.11","924.09","80582664","230.05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"161","GTY029 25C 3 (cropped)","Whole cells 4","Whole cells","Object","103.83","N/A","N/A","N/A","N/A","N/A","436.08","15469.11","924.09","80582664","230.05","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","10","N/A"
"153","GTY029 25C 3 (cropped)","Whole cells prelim 153","Whole cells prelim","Object","97.9","N/A","N/A","N/A","N/A","N/A","357.02","12264.42","949.41","78063344","315.28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"162","GTY029 25C 3 (cropped)","Whole cells 5","Whole cells","Object","97.9","N/A","N/A","N/A","N/A","N/A","357.02","12264.42","949.41","78063344","315.28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4","N/A"
"218","GTY029 25C 3 (cropped)","Mito 56","Mito","Object","12.15","673","1203","883.3","9016688","66.47","511.03","2618.31","1075.35","10977218","303.08","330","1737","639.17","6524648","211.14","508.42","16092.25","1586.08","16190751","1706.45","1567","2199","1850.83","2167326","136.77","2208","3069","2539.44","2973690","152.94","N/A","161"
