
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 25C 4 (cropped)_02","ROIs 1","ROIs","Object","246.9","519","780","648.24","1.34e+08","29.91","344.97","989.46","643.68","1.33e+08","75.76","192","317","251.83","52220147","13.67","170.44","341.94","249.49","51733396","17.25","1970","2338","2159.22","29849094","70.27","2538","2926","2763.2","38198505","41.25","N/A","N/A"
"2","GTY029 25C 4 (cropped)_02","Whole cells prelim 1","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","717.65","717.65","717.65","717.65","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 25C 4 (cropped)_02","Whole cells prelim 2","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","817.93","817.93","817.93","817.93","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 25C 4 (cropped)_02","Whole cells prelim 3","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","705.78","733.9","719.84","1439.68","14.06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 25C 4 (cropped)_02","Whole cells prelim 4","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","660.08","660.08","660.08","660.08","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 25C 4 (cropped)_02","Whole cells prelim 5","Whole cells prelim","Object","150.66","N/A","N/A","N/A","N/A","N/A","0","10447.43","948.18","1.20e+08","230.13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 25C 4 (cropped)_02","Whole cells prelim 6","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","729.2","757.83","747.86","2243.59","13.21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 25C 4 (cropped)_02","Whole cells 1","Whole cells","Object","150.66","N/A","N/A","N/A","N/A","N/A","0","10447.43","948.18","1.20e+08","230.13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8","N/A"
"9","GTY029 25C 4 (cropped)_02","Mito 1","Mito","Object","0.0417","744","900","817.51","28613","34.29","725.33","850.27","780.08","27302.63","38.5","349","425","386.23","13518","21.45","379.05","403.23","386.46","13526","7.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8"
"10","GTY029 25C 4 (cropped)_02","Mito 2","Mito","Object","0.0131","793","905","840.09","9241","33.5","743.1","791.23","765.51","8420.6","14.79","362","429","391.18","4303","20.06","382.82","406.07","393.03","4323.33","7.01","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8"
"11","GTY029 25C 4 (cropped)_02","Mito 3","Mito","Object","0.0381","714","871","792.94","25374","36.91","583.01","771.15","675","21600.03","46.75","323","415","358.97","11487","16.87","379.92","398.9","387.87","12411.86","5.56","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8"
"12","GTY029 25C 4 (cropped)_02","Mito 4","Mito","Object","0.131","683","835","755.4","83094","30.53","503.56","765.39","617.25","67897.41","57.36","293","397","342.4","37664","21.48","379.55","434.32","399.97","43996.36","15.16","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","8"
"13","GTY029 25C 4 (cropped)_02","Mito 5","Mito","Object","0.0429","677","813","744","26784","31.92","510.15","692.31","600.92","21633","46.38","302","391","336.56","12116","18.68","380.13","448.26","405.06","14582.3","18.41","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
