
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 36C 14 (cropped)","ROIs 1","ROIs","Object","2790.52","493","819","649.52","1.52e+09","30.43","170","305","231.99","5.44e+08","12.36","1798","2279","2116.14","3.31e+08","51.09","2490","2862","2679.36","4.19e+08","38.68","400.1","924.8","640.99","1.50e+09","61.31","91.83","485.66","232.16","5.44e+08","33.96","N/A","N/A"
"2","GTY029 36C 14 (cropped)","Whole cells prelim 1","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","742.8","742.8","742.8","742.8","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 36C 14 (cropped)","Whole cells prelim 2","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","720.44","728.28","724.36","1448.72","3.92","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 36C 14 (cropped)","Whole cells prelim 3","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","721.04","726.08","723.56","1447.12","2.52","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 36C 14 (cropped)","Whole cells prelim 4","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","738.34","745.21","742.04","2226.11","2.83","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 36C 14 (cropped)","Whole cells prelim 5","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","702.37","702.37","702.37","702.37","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 36C 14 (cropped)","Whole cells prelim 6","Whole cells prelim","Object","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","745.12","834.09","807.18","9686.14","27.33","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 36C 14 (cropped)","Whole cells prelim 7","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","724.95","777.13","751.04","1502.08","26.09","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 36C 14 (cropped)","Whole cells prelim 8","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","736.98","736.98","736.98","736.98","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 36C 14 (cropped)","Whole cells prelim 9","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","716.44","716.44","716.44","716.44","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
