
"ID","Item Name","Name","Population","Type","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment Whole cells ID"
"1","GTY029 36C 18 (cropped)","ROIs 1","ROIs","Object","3057.45","508","816","659.99","1.69e+09","30.31","172","301","233.05","5.98e+08","12.43","1760","2241","2062.43","3.53e+08","47.99","2454","2807","2627.62","4.50e+08","38.45","409.11","951.87","656.99","1.69e+09","51.69","137.56","365.29","233.05","5.98e+08","20.25","N/A","N/A"
"2","GTY029 36C 18 (cropped)","Whole cells prelim 1","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","703.49","733.02","713.65","2140.95","13.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"3","GTY029 36C 18 (cropped)","Whole cells prelim 2","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","692.03","732.74","708.46","2125.39","17.52","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"4","GTY029 36C 18 (cropped)","Whole cells prelim 3","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","713.16","719.93","716.5","2149.5","2.77","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"5","GTY029 36C 18 (cropped)","Whole cells prelim 4","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","698.98","698.98","698.98","698.98","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"6","GTY029 36C 18 (cropped)","Whole cells prelim 5","Whole cells prelim","Object","0.0298","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","710.79","785.67","740.96","18524.12","19.36","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"7","GTY029 36C 18 (cropped)","Whole cells prelim 6","Whole cells prelim","Object","0.00238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","699.8","704.15","701.97","1403.95","2.17","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"8","GTY029 36C 18 (cropped)","Whole cells prelim 7","Whole cells prelim","Object","0.0107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","679.87","716.08","700.41","6303.72","13.31","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"9","GTY029 36C 18 (cropped)","Whole cells prelim 8","Whole cells prelim","Object","0.0214","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","692.89","725.22","711.16","12800.92","9.37","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"10","GTY029 36C 18 (cropped)","Whole cells prelim 9","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","719.2","719.2","719.2","719.2","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"11","GTY029 36C 18 (cropped)","Whole cells prelim 10","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","711.67","711.67","711.67","711.67","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"12","GTY029 36C 18 (cropped)","Whole cells prelim 11","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","724.11","724.11","724.11","724.11","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"13","GTY029 36C 18 (cropped)","Whole cells prelim 12","Whole cells prelim","Object","0.0107","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","716.1","807.13","756.38","6807.42","32.07","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"14","GTY029 36C 18 (cropped)","Whole cells prelim 13","Whole cells prelim","Object","0.00119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","707.85","707.85","707.85","707.85","0","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"15","GTY029 36C 18 (cropped)","Whole cells prelim 14","Whole cells prelim","Object","0.00357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","703.24","713.25","709.26","2127.78","4.33","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
