filename,RawCellIntDen,RawCellMean,CellVolume_um3,CellVoxelCount,RawMitoIntDen,RawMitoMean,MitoVolume_um3,MitoVoxelCount,MeanBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY030 I 25C 10_01_m-50.csv,117000000,626.29,223.02,187299,4015307.37,784.8516438623925,6.099,5116,600.93,4749902.640000002,940943.1300000004,0.19809735089643857,183.92164386239256,-50,25
GTY030 I 25C 10_02_m-50.csv,118000000,620.37,227.32,190911,3828013.02,853.8940709346421,5.3389999999999995,4483,628.26,-1506287.7899999975,1011517.5400000004,-0.6715300666415162,225.63407093464207,-50,25
GTY030 I 25C 10_03_m-50.csv,125000000,628.17,237.49,199458,2509673.56,794.9513367120683,3.7578,3157,623.75,881604.3599999918,540482.6199999995,0.613067090548423,171.20133671206827,-50,25
GTY030 I 25C 8_01_m-50.csv,84717200,626.52,161.01,135219,2899546.86,746.5370056642637,4.6255,3884,617.3,1246719.1800000037,501956.5300000003,0.40262196816447376,129.23700566426373,-50,25
GTY030 I 25C 8_02_m-50.csv,92129776,623.79,175.86,147693,3373548.06,781.0943227598981,5.1391,4319,607.33,2431026.7799999886,750488.1099999996,0.30871239929327443,173.76432275989805,-50,25
GTY030 I 25C 8_03_m-50.csv,103000000,616.86,199.29,167370,2740189.87,722.812943814297,4.52,3791,651.6,-5814433.800000002,269968.26999999984,-0.04643070663217453,71.21294381429698,-50,25
GTY030 I 25C 8_04_m-50.csv,60920580,633.54,114.5,96159,1946941.0599999998,772.2915113050376,2.9998,2521,639.72,-594262.6200000062,334212.77999999974,-0.5623991291930768,132.57151130503757,-50,25
GTY030 I 25C 8_05_m-50.csv,105000000,633.22,197.99,166278,4319951.38,755.7648285514346,6.804,5716,609.57,3932474.699999996,835649.6399999997,0.21249968626625887,146.1948285514345,-50,25
GTY030 I 25C 8_06_m-50.csv,60428008,631.17,114,95739,2259625.72,739.4069895287957,3.634,3056,648.07,-1617989.1000000087,279125.8399999997,-0.17251404227630346,91.3369895287957,-50,25
GTY030 I 25C 8_07_m-50.csv,108000000,619.24,207.79,174510,4276304.33,744.3506997389035,6.837999999999999,5745,625.22,-1043569.8000000032,684405.8700000003,-0.6558314259381579,119.13069973890344,-50,25
GTY030 I 25C 8_08_m-50.csv,96083432,612.34,186.84,156912,3041572.73,794.1479373368146,4.5679,3830,640.88,-4478268.479999994,587016.2,-0.131081064617189,153.2679373368146,-50,25
GTY030 I 25C 8_09_m-50.csv,48216656,599.64,95.74,80409,2341386.78,707.7995163240628,3.936,3308,626.66,-2172651.1799999983,268409.5199999998,-0.12354008893411045,81.13951632406281,-50,25
GTY030 I 25C 9_01_m-50.csv,46640084,589.43,94.22,79128,543077.28,698.9442471042472,0.9251999999999999,777,624.35,-2763149.760000006,57959.73000000007,-0.020975964038952397,74.59424710424719,-50,25
GTY030 I 25C 9_02_m-50.csv,130000000,641.12,241.17,202545,4478352.6,803.5783509779294,6.633,5573,655.41,-2894368.049999993,825742.2200000008,-0.28529274982841346,148.16835097792944,-50,25
GTY030 I 25C 9_03_m-50.csv,104000000,632.41,196.71,165207,3622361.1,1090.7454200542006,3.9589999999999996,3321,647.57,-2504538.1200000136,1471785.57,-0.5876475020472006,443.1754200542006,-50,25
GTY030 I 25C 9_04_m-50.csv,60748320,598.05,120.95,101577,2099448.31,705.9334835238735,3.543,2974,617.24,-1949262.6300000055,263774.4199999998,-0.13532010306892256,88.69348352387351,-50,25
GTY030 I 25C 9_05_m-50.csv,106000000,631.85,199.71,167727,3409527.26,828.7624428779776,4.8957,4114,658.9,-4537015.349999992,698814.09,-0.1540250662806334,169.86244287797763,-50,25
GTY030 I 25C 9_06_m-50.csv,108000000,646.87,197.94,166236,2347871.9,703.5868774348218,3.973,3337,672.6,-4277252.280000003,103403.21000000014,-0.02417514872421789,30.986877434821736,-50,25
GTY030 I 25C 9_07_m-50.csv,189000000,673.45,333.29,279909,5649788.79,786.6599512670565,8.551,7182,618.97,15249442.320000006,1204349.2299999995,0.07897660810982358,167.68995126705647,-50,25
GTY030 I 36C 10_01_m-50.csv,50029148,562.54,105.89,88935,2461161.82,723.6547133196119,4.051,3401,574.08,-1026309.9000000069,508703.6,-0.49566276229041206,149.57471331961187,-50,36
GTY030 I 36C 10_02_m-50.csv,164000000,584.09,335.34,281631,12034440.86,792.8833634207406,18.067700000000002,15178,564.11,5626987.3800000055,3472322.1100000003,0.6170836853733973,228.77336342074057,-50,36
GTY030 I 36C 10_03_m-50.csv,125000000,557.91,267.65,224784,7539824.85,759.6045416078985,11.815,9926,575.13,-3870780.480000006,1831094.3,-0.4730555787033413,184.47454160789846,-50,36
GTY030 I 36C 10_04_m-50.csv,161000000,588.02,325.51,273378,18070903.91,796.9521309812569,27.0004,22675,582.75,1440702.059999995,4857033.32,3.3712961582077683,214.20213098125691,-50,36
GTY030 I 36C 11_01_m-50.csv,151000000,558.87,322.11,270522,11092234,764.82,17.27,14503,544.99,3754845.359999999,3188194.4900000007,0.8490880940034243,219.83000000000004,-50,36
GTY030 I 36C 11_02_m-50.csv,150000000,585.48,305.33,256431,9870656.48,832.8974491604084,14.1076,11851,589.23,-961616.25,2887702.94,-3.0029681174792957,243.6674491604084,-50,36
GTY030 I 36C 11_05_m-50.csv,81931912,577.58,168.91,141855,5348627.5,770.7,8.26,6940,587.43,-1397271.7499999872,1271893.8000000007,-0.9102694590368784,183.2700000000001,-50,36
GTY030 I 36C 11_06_m-50.csv,106000000,581.67,216.39,181734,11251941.02,791.5577734787197,16.9249,14215,589.73,-1464776.0400000107,2868981.8000000003,-1.9586487774608732,201.82777347871968,-50,36
GTY030 I 36C 11_07_m-50.csv,37787084,550.61,81.72,68628,480163.45,665.9693203883495,0.858,721,566.46,-1087753.8000000017,71746.21999999996,-0.06595814236640667,99.50932038834947,-50,36
GTY030 I 36C 12_01_m-50.csv,128000000,560.73,272.03,228459,9490972,739.58,15.28,12833,546.8,3182433.8700000145,2473945.740000001,0.7773753803091562,192.7800000000001,-50,36
GTY030 I 36C 12_02_m-50.csv,278000000,577.72,573.36,481530,23226546.06,768.9637887766927,35.9629,30205,571.61,2942148.300000007,5961071.190000002,2.0260947383243693,197.35378877669268,-50,36
GTY030 I 36C 12_03_m-50.csv,107000000,594.88,213.59,179382,6428243.11,772.8116578504447,9.906899999999998,8318,615.81,-3754465.259999991,1305939.7899999996,-0.3478364293081787,157.00165785044476,-50,36
PSY109 25C 2_01_m-50.csv,84457264,575.94,174.61,146643,2586924.56,733.4606918060675,4.197,3527,598.62,-3325863.239999993,475583.12000000017,-0.14299539267886469,134.84069180606753,-50,25
PSY109 25C 2_02_m-50.csv,86561264,565.97,182.11,152943,2535983.39,711.9507243121843,4.2441,3562,582.38,-2509794.629999995,461530.92000000057,-0.18389190672545244,129.57072431218432,-50,25
PSY109 25C 2_02b_m-50.csv,88277344,565.09,186.01,156219,2535983.39,711.9507243121843,4.2441,3562,582.1,-2657285.1899999985,462528.2800000005,-0.17406045905069029,129.8507243121843,-50,25
