filename,RawCellIntDen,RawCellMean,CellVolume_um3,CellVoxelCount,RawMitoIntDen,RawMitoMean,MitoVolume_um3,MitoVoxelCount,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY030 I 25C 10_01_m-50.csv,117000000,626.29,223.02,187299,4015307.37,784.8516438623925,6.099,5116,533.41,17396331.119999997,1286375.4500000002,0.07394521529433848,251.44164386239254,-50,25
GTY030 I 25C 10_02_m-50.csv,118000000,620.37,227.32,190911,3828013.02,853.8940709346421,5.3389999999999995,4483,533.41,16601620.560000006,1436730.0900000005,0.0865415568803965,320.4840709346421,-50,25
GTY030 I 25C 10_03_m-50.csv,125000000,628.17,237.49,199458,2509673.56,794.9513367120683,3.7578,3157,533.41,18900640.08,825685.9999999997,0.04368561046108232,261.5413367120683,-50,25
GTY030 I 25C 8_01_m-50.csv,84717200,626.52,161.01,135219,2899546.86,746.5370056642637,4.6255,3884,530.38,12999954.659999998,839553.8100000002,0.06458128754735212,216.1570056642637,-50,25
GTY030 I 25C 8_02_m-50.csv,92129776,623.79,175.86,147693,3373548.06,781.0943227598981,5.1391,4319,530.38,13796003.129999995,1082835.16,0.07848904858866905,250.7143227598981,-50,25
GTY030 I 25C 8_03_m-50.csv,103000000,616.86,199.29,167370,2740189.87,722.812943814297,4.52,3791,530.38,14474157.600000003,729513.2899999999,0.05040108793619877,192.432943814297,-50,25
GTY030 I 25C 8_04_m-50.csv,60920580,633.54,114.5,96159,1946941.0599999998,772.2915113050376,2.9998,2521,530.38,9919762.439999998,609858.9199999998,0.06147918598744185,241.9115113050376,-50,25
GTY030 I 25C 8_05_m-50.csv,105000000,633.22,197.99,166278,4319951.38,755.7648285514346,6.804,5716,530.38,17100029.520000007,1288299.68,0.07533903251413798,225.38482855143457,-50,25
GTY030 I 25C 8_06_m-50.csv,60428008,631.17,114,95739,2259625.72,739.4069895287957,3.634,3056,530.38,9649533.809999997,638786.4799999999,0.0661986882037776,209.02698952879575,-50,25
GTY030 I 25C 8_07_m-50.csv,108000000,619.24,207.79,174510,4276304.33,744.3506997389035,6.837999999999999,5745,530.38,15506958.600000001,1229261.6700000004,0.07927161616333975,213.97069973890348,-50,25
GTY030 I 25C 8_08_m-50.csv,96083432,612.34,186.84,156912,3041572.73,794.1479373368146,4.5679,3830,530.38,12860507.520000005,1010231.2,0.07855298077692034,263.7679373368146,-50,25
GTY030 I 25C 8_09_m-50.csv,48216656,599.64,95.74,80409,2341386.78,707.7995163240628,3.936,3308,530.38,5569127.339999999,586903.7599999997,0.10538522898993359,177.41951632406278,-50,25
GTY030 I 25C 9_01_m-50.csv,46640084,589.43,94.22,79128,543077.28,698.9442471042472,0.9251999999999999,777,532.45,4508713.439999992,129366.03000000004,0.028692448904004925,166.49424710424717,-50,25
GTY030 I 25C 9_02_m-50.csv,130000000,641.12,241.17,202545,4478352.6,803.5783509779294,6.633,5573,532.45,22010565.14999999,1510998.3000000003,0.06864877342779183,271.12835097792936,-50,25
GTY030 I 25C 9_03_m-50.csv,104000000,632.41,196.71,165207,3622361.1,1090.7454200542006,3.9589999999999996,3321,532.45,16514091.719999988,1854099.09,0.11227375513208071,558.2954200542006,-50,25
GTY030 I 25C 9_04_m-50.csv,60748320,598.05,120.95,101577,2099448.31,705.9334835238735,3.543,2974,532.45,6663451.199999991,515939.8799999997,0.07742832723079002,173.48348352387347,-50,25
GTY030 I 25C 9_05_m-50.csv,106000000,631.85,199.71,167727,3409527.26,828.7624428779776,4.8957,4114,532.45,16672063.799999997,1219029.3899999997,0.07311808571653858,296.31244287797756,-50,25
GTY030 I 25C 9_06_m-50.csv,108000000,646.87,197.94,166236,2347871.9,703.5868774348218,3.973,3337,532.45,19020723.119999994,571083.76,0.030024292788296485,171.1368774348217,-50,25
GTY030 I 25C 9_07_m-50.csv,189000000,673.45,333.29,279909,5649788.79,786.6599512670565,8.551,7182,532.45,39467169,1825735.8699999994,0.04625961061458448,254.20995126705645,-50,25
GTY030 I 36C 10_01_m-50.csv,50029148,562.54,105.89,88935,2461161.82,723.6547133196119,4.051,3401,486.81,6735047.549999997,805508.8700000001,0.11959958174311634,236.8447133196119,-50,36
GTY030 I 36C 10_02_m-50.csv,164000000,584.09,335.34,281631,12034440.86,792.8833634207406,18.067700000000002,15178,486.81,27397063.680000007,4645581.510000001,0.16956494185876198,306.0733634207406,-50,36
GTY030 I 36C 10_03_m-50.csv,125000000,557.91,267.65,224784,7539824.85,759.6045416078985,11.815,9926,486.81,15982142.399999993,2707758.62,0.16942400788520076,272.79454160789845,-50,36
GTY030 I 36C 10_04_m-50.csv,161000000,588.02,325.51,273378,18070903.91,796.9521309812569,27.0004,22675,486.81,27668587.379999995,7032472.82,0.25416811937003203,310.1421309812569,-50,36
GTY030 I 36C 11_01_m-50.csv,151000000,558.87,322.11,270522,11092234,764.82,17.27,14503,484.97,19991575.799999993,4058664.5500000003,0.20301874102390677,279.85,-50,36
GTY030 I 36C 11_02_m-50.csv,150000000,585.48,305.33,256431,9870656.48,832.8974491604084,14.1076,11851,484.97,25773879.81,4123288.2,0.1599793368478504,347.9274491604084,-50,36
GTY030 I 36C 11_05_m-50.csv,81931912,577.58,168.91,141855,5348627.5,770.7,8.26,6940,484.97,13137191.550000003,1982966.2000000002,0.15094293117770669,285.73,-50,36
GTY030 I 36C 11_06_m-50.csv,106000000,581.67,216.39,181734,11251941.02,791.5577734787197,16.9249,14215,484.97,17573677.799999986,4358145.2,0.24799277929176577,306.58777347871967,-50,36
GTY030 I 36C 11_07_m-50.csv,37787084,550.61,81.72,68628,480163.45,665.9693203883495,0.858,721,484.97,4504741.919999999,130500.50999999997,0.028969586342029556,180.99932038834947,-50,36
GTY030 I 36C 12_01_m-50.csv,128000000,560.73,272.03,228459,9490972,739.58,15.28,12833,488.36,16533577.830000002,3223906.2600000002,0.19499144668797921,251.22000000000003,-50,36
GTY030 I 36C 12_02_m-50.csv,278000000,577.72,573.36,481530,23226546.06,768.9637887766927,35.9629,30205,488.36,43029520.800000004,8475637.440000003,0.19697261978339303,280.6037887766927,-50,36
GTY030 I 36C 12_03_m-50.csv,107000000,594.88,213.59,179382,6428243.11,772.8116578504447,9.906899999999998,8318,488.36,19107770.639999997,2366068.8899999987,0.12382757437159603,284.4516578504447,-50,36
PSY109 25C 2_01_m-50.csv,84457264,575.94,174.61,146643,2586924.56,733.4606918060675,4.197,3527,506.56,10174091.340000007,800278.7400000002,0.0786584976737588,226.90069180606753,-50,25
PSY109 25C 2_02_m-50.csv,86561264,565.97,182.11,152943,2535983.39,711.9507243121843,4.2441,3562,506.56,9086343.630000005,731601.7600000006,0.08051662910749945,205.39072431218432,-50,25
PSY109 25C 2_02b_m-50.csv,88277344,565.09,186.01,156219,2535983.39,711.9507243121843,4.2441,3562,506.56,9143498.070000004,731601.7600000006,0.08001333345280624,205.39072431218432,-50,25
PSY109 25C 2_03_m-50.csv,74899808,555.12,160.66,134925,2558147.25,684.18,4.45,3739,506.56,6551958,664121.1799999998,0.101362246217085,177.61999999999995,-50,25
