filename,RawCellIntDen,RawCellMean,CellVolume_um3,CellVoxelCount,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,MitoVoxelCount,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY030 25C 01 m-50.csv,104000000,629.41,196.81,NA,GTY030 25C,3555808.14,755.0661596009976,5.614,NA,525.802991,17125132.64574619,1080946.8619517933,0.06312049572476135,229.26316860099757,-50,25
GTY030 25C 02 m-50.csv,116000000,644.95,214.87,NA,GTY030 25C,1925203.46,751.4410758394758,3.0525,NA,525.802991,21500896.803418163,578449.8647623247,0.026903522678661668,225.63808483947582,-50,25
GTY030 25C 03 m-50.csv,96751840,589.39,195.46,NA,GTY030 25C,3675109.7699999996,685.2770435327278,6.386,NA,525.802991,10438159.72045015,855296.295854539,0.08193937616981148,159.4740525327278,-50,25
GTY030 25C 04 m-50.csv,101000000,643.82,186.31,NA,GTY030 25C,3006123.42,745.0265500728711,4.803,NA,525.802991,18466237.46266062,884295.5859805157,0.04788715555990181,219.22355907287113,-50,25
GTY030 25C 05 m-50.csv,109000000,619.42,209.76,NA,GTY030 25C,3126202.38,829.1114922048997,4.49,NA,525.802991,16492066.690047858,1143743.3194003524,0.06935112141467052,303.3085012048997,-50,25
GTY030 25C 06 m-50.csv,104000000,624.48,197.89,NA,GTY030 25C,4027451.03,928.0018830515688,5.1697999999999995,NA,525.802991,16399759.226513814,1746273.4795735283,0.10648165350807673,402.1988920515688,-50,25
GTY030 25C 10 01 m-50.csv,151000000,611.39,293.81,NA,GTY030 25C 10,2804658.79,887.1344184071547,3.7681,NA,530.436226,19975668.379054327,1128810.3290580327,0.056509264553152944,356.6981924071547,-50,25
GTY030 25C 10 02 m-50.csv,135000000,591.62,270.83,NA,GTY030 25C 10,3330200.32,718.339373301938,5.521,NA,530.436226,13916520.964491468,871263.3545427058,0.06260640549213178,187.90314730193802,-50,25
GTY030 25C 10 03 m-50.csv,119000000,599.5,235.74,NA,GTY030 25C 10,2852892.76,784.4238656819756,4.333,NA,530.436226,13673548.402418738,924270.1291190058,0.06759548450170476,253.98763968197557,-50,25
GTY030 25C 10 04 m-50.csv,114000000,596.03,228.72,NA,GTY030 25C 10,2250047.75,728.8786677542142,3.678,NA,530.436226,12599821.944469627,612976.6530377087,0.0486496282042112,198.4424417542142,-50,25
GTY030 25C 10 05 m-50.csv,91366560,592.99,183.46,NA,GTY030 25C 10,1998347.96,734.4184088036743,3.2441,NA,530.436226,9638124.950062985,555755.9412391027,0.057662246974238586,203.98218280367428,-50,25
GTY030 25C 10 06 m-50.csv,140000000,579.31,288.7,NA,GTY030 25C 10,3921778.6,714.4416429325298,6.5377,NA,530.436226,11850053.375157448,1010306.7223312337,0.08525756723165899,184.00541693252978,-50,25
GTY030 25C 10 07 m-50.csv,174000000,591.72,350.59,NA,GTY030 25C 10,4055332.63,780.4502624331767,6.173,NA,530.436226,18044409.44541866,1296159.1054858484,0.07183161684545644,250.01403643317667,-50,25
GTY030 25C 10 08 m-50.csv,135000000,595.8,269.43,NA,GTY030 25C 10,3565596.4299999997,804.5079924242424,5.28,NA,530.436226,14790427.167901216,1215334.6155370788,0.08217035260311123,274.07176642424236,-50,25
GTY030 25C 13 01 m-50.csv,136000000,589.66,275.18,NA,GTY030 25C 13,4050791.44,763.2955172413795,6.322,NA,527.083758,14461854.601125384,1254162.0407524994,0.0867220750964336,236.21175924137947,-50,25
