ItemName,ExtracellularBackground,
GTY030 25C,525.802991,
GTY030 25C 10,530.436226,
GTY030 25C 11,541.841092,
GTY030 25C 12,543.764925,
GTY030 25C 13,527.083758,
GTY030 25C 14,535.353759,
GTY030 25C 15,540.283363,
GTY030 25C 16,522.519429,
GTY030 25C 17,534.216996,
GTY030 25C 18,522.173127,
GTY030 25C 19,526.974464,
GTY030 25C 2,533.806995,
GTY030 25C 20,537.781742,
GTY030 25C 21,537.879401,
GTY030 25C 3,539.44632,
GTY030 25C 4,527.960439,
GTY030 25C 5,529.653062,
GTY030 25C 6,527.729545,
GTY030 25C 7,531.554175,
GTY030 25C 8,537.188373,
GTY030 25C 9,537.412918,
GTY030 36C,672.810064,
GTY030 36C 10,665.848438,
GTY030 36C 11,667.179849,
GTY030 36C 12,667.445295,
GTY030 36C 13,649.713191,
GTY030 36C 14,650.738451,
GTY030 36C 15,659.262382,
GTY030 36C 16,660.668062,
GTY030 36C 17,659.293659,
GTY030 36C 18,661.118452,
GTY030 36C 2,666.136051,
GTY030 36C 3,665.68,
GTY030 36C 4,664.245035,
GTY030 36C 5,663.73694,
GTY030 36C 6,656.148697,
GTY030 36C 7,655.862071,
GTY030 36C 8,662.311342,
GTY030 36C 9,660.480988,
