filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,Number of contained Mito,Compartment ROIs ID,Voxel Count
GTY030 25C 01 m-50.csv,ROIs 1,1,196.81,434,2077,623.11,103000000,81.02,216,1925,420.7,69538375,160.96,132.06,24622.38,629.41,104000000,395.24,0.926,21178.56,459.01,75870472,907.02,NA,NA,NA,GTY030 25C,ROIs,Object,6,NA,NA
GTY030 25C 01 m-50.csv,ROIs 2,2,2.6,522,795,647.97,1415167,48.94,254,468,334.61,730780,34.03,359.36,970.45,641.99,1402115.25,93.01,105.77,623.27,279.01,609362,90.91,NA,NA,NA,GTY030 25C,ROIs,Object,0,NA,NA
GTY030 25C 01 m-50.csv,Mito 2,4,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,516.28,870.69,702.71,109623.5,70.42,NA,NA,NA,NA,NA,10.99,15.08,1.14,GTY030 25C,Mito,Object,NA,1,NA
GTY030 25C 01 m-50.csv,Mito 4,6,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,426.96,1045.78,722.27,829168.25,94.34,NA,NA,NA,NA,NA,10.74,13.13,1.52,GTY030 25C,Mito,Object,NA,1,NA
GTY030 25C 01 m-50.csv,Mito 12,14,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.06,1225.3,726.77,994946.81,169.3,NA,NA,NA,NA,NA,6.51,17.71,3.33,GTY030 25C,Mito,Object,NA,1,NA
GTY030 25C 01 m-50.csv,Mito 15,17,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.5,1238.08,685.69,815974.88,143.45,NA,NA,NA,NA,NA,9.46,13.38,3.81,GTY030 25C,Mito,Object,NA,1,NA
GTY030 25C 01 m-50.csv,Mito 20,22,0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335.79,1082.3,644.93,218630.39,175.41,NA,NA,NA,NA,NA,11.52,14.96,3.37,GTY030 25C,Mito,Object,NA,1,NA
GTY030 25C 01 m-50.csv,Mito 30,32,0.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236.64,22562.92,1158.71,587464.31,2171.99,NA,NA,NA,NA,NA,8.84,15.31,3.8,GTY030 25C,Mito,Object,NA,1,NA
GTY030 25C 02 m-50.csv,ROIs 1,1,214.87,449,2112,639.38,115000000,88.91,222,1257,347.49,62705954,76.79,166.35,21336.03,644.95,116000000,365.57,36.84,8912.12,364.63,65799120,352.58,NA,NA,NA,GTY030 25C,ROIs,Object,7,NA,NA
GTY030 25C 02 m-50.csv,ROIs 2,2,2.2,499,770,624.88,1154772,40.32,233,378,310.78,574330,21.2,381.49,863.01,629.14,1162647.25,84.15,166.64,443.86,294.85,544880.69,55.59,NA,NA,NA,GTY030 25C,ROIs,Object,0,NA,NA
