
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","412.88","434","810","590.36","2.05e+08","38.34","206","1050","329.21","1.14e+08","71.7","294.45","1720.44","586.06","2.03e+08","89.63","0.000001","8701.02","330.17","1.14e+08","323.31","N/A","N/A","N/A","GTY030 25C 15","ROIs","Object","1658","2853","2114.41","34913169","132.45","2148","3585","2686.02","44351519","167.72","18","N/A"
"Mito 2","4","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","604.85","837.03","733.05","8796.56","69.99","N/A","N/A","N/A","N/A","N/A","16.69","8.2","1.5","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 3","5","1.04","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","460.77","959.97","711.45","623233","94.86","N/A","N/A","N/A","N/A","N/A","13.08","11.66","2.08","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 9","11","0.886","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","397.7","1016.5","672.4","500262.47","109.67","N/A","N/A","N/A","N/A","N/A","15.78","3.74","2.28","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","12","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","701.85","812.33","751.13","9013.55","34.55","N/A","N/A","N/A","N/A","N/A","15.9","9.91","1.95","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 23","25","0.724","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","390.95","1331.03","709.89","431613.5","174.09","N/A","N/A","N/A","N/A","N/A","16.45","10.58","2.95","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 43","45","2.29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","348.88","1191.79","652.88","1256145.63","108.54","N/A","N/A","N/A","N/A","N/A","13.11","5.95","2.57","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 44","46","0.025","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","339.18","561.56","444.99","9344.83","62.38","N/A","N/A","N/A","N/A","N/A","17.05","8.45","4.51","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 45","47","0.025","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","361.68","590.69","477.08","10018.69","61.1","N/A","N/A","N/A","N/A","N/A","17.21","9.13","4.91","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 46","48","10.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","322.06","1037.15","618.06","5503229","108.39","N/A","N/A","N/A","N/A","N/A","14.14","9.59","3.59","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 48","50","0.0214","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","512.57","609.08","557.61","10037.03","31.97","N/A","N/A","N/A","N/A","N/A","12.87","7.94","5.1","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 49","51","0.0238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","611.01","743.13","662.5","13250.06","27.46","N/A","N/A","N/A","N/A","N/A","13.4","8.1","5.46","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 50","52","0.0274","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","550.93","783.44","644.77","14829.81","64.19","N/A","N/A","N/A","N/A","N/A","13.47","10.98","5.4","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 51","53","0.13","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","559.79","789.99","660.02","71942.45","52.15","N/A","N/A","N/A","N/A","N/A","13.29","11.44","5.86","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 52","54","0.0798","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","547.3","835.82","700.79","46953.11","67.09","N/A","N/A","N/A","N/A","N/A","14.21","8.39","6","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 53","55","0.0238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","554.88","730.22","655.68","13113.58","48.84","N/A","N/A","N/A","N/A","N/A","13.74","8.55","6","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 54","56","0.0321","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","628.84","818.26","718.06","19387.65","45.71","N/A","N/A","N/A","N/A","N/A","13.61","9.71","6","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 55","57","0.0429","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","587.45","847.68","720.38","25933.54","63.34","N/A","N/A","N/A","N/A","N/A","14.57","9.72","6","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 56","58","0.0214","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","640.68","723.46","677.39","12193","23.39","N/A","N/A","N/A","N/A","N/A","13.48","11.87","6","GTY030 25C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","3.75","475","731","592.39","1866027","33.89","218","423","296.37","933579","34.91","309.01","964.48","594.35","1872202.13","95.66","105.55","533.13","261.01","822185","65.14","N/A","N/A","N/A","GTY030 25C 15","ROIs","Object","1658","2359","1914.75","287213","164.04","2202","2979","2499.11","374866","164.16","0","N/A"
