
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","305.41","566","1159","769.89","1.97e+08","58.55","185","387","254.63","65311246","19.96","483.49","4285.75","770.48","1.98e+08","116.35","117.93","1202.04","254.96","65394720","50.01","N/A","N/A","N/A","GTY030 36C","ROIs","Object","1163","3357","2043.72","24961973","268.56","1466","4306","2592.66","31666749","338.69","8","N/A"
"Mito 14","16","0.0226","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","993.18","1169.79","1098.43","20870.14","49.27","N/A","N/A","N/A","N/A","N/A","52.77","56.15","1.33","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 19","21","0.371","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","956.23","1518.69","1219.88","380602.13","106.02","N/A","N/A","N/A","N/A","N/A","47.1","53.92","1.77","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 20","22","0.406","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","752.81","1341.65","1020.12","347861.75","124.25","N/A","N/A","N/A","N/A","N/A","51.25","54.98","2.28","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 31","33","0.0714","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","726.11","942.83","829.74","49784.26","44.98","N/A","N/A","N/A","N/A","N/A","49.05","55.87","2.3","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 36","38","0.149","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","710.22","1308.89","1035.94","129492.65","144.79","N/A","N/A","N/A","N/A","N/A","47.45","53.18","1.98","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 37","39","0.257","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","835.48","1413.61","1103.86","238433.95","133.24","N/A","N/A","N/A","N/A","N/A","48.28","55.77","2.46","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 50","52","0.561","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","657.93","1497.72","1100.14","518165.22","159.27","N/A","N/A","N/A","N/A","N/A","52.39","57.4","2.35","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 53","55","0.193","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","712.21","1805.81","994.7","161141.55","207.33","N/A","N/A","N/A","N/A","N/A","50.83","56.93","3.45","GTY030 36C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"ROIs 2","2","2.13","660","934","783.74","1398977","40.84","208","304","249.58","445509","14.81","586.84","1103.67","807.16","1440777","82.92","172.43","337.61","246.05","439195.19","25.7","N/A","N/A","N/A","GTY030 36C","ROIs","Object","1577","1971","1748.12","148590","95.51","2072","2556","2266.52","192654","119.69","0","N/A"
