
"ID","Item Name","Name","Population","Type","Voxel Count","Volume (µm³)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Number of contained Mito","Compartment ROIs ID"
"1","GTY030 36C 10","ROIs 1","ROIs","Object","279657","332.99","197","926","339.57","94962116","75.57","1516","2791","2043.58","27214367","185.21","1922","3560","2587.55","34458338","230.21","404.7","2652.02","795.68","2.23e+08","175.9","20.25","6575.31","346.74","96967112","278.58","N/A","N/A","N/A","11","N/A"
"2","GTY030 36C 10","Mito 1","Mito","Object","500","0.595","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","824.34","1997.63","1231.58","615787.5","232.96","N/A","N/A","N/A","N/A","N/A","30.2","22","1.46","N/A","1"
"3","GTY030 36C 10","Mito 2","Mito","Object","1186","1.41","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","797.03","2178.7","1261.06","1495611.63","242.83","N/A","N/A","N/A","N/A","N/A","30.38","23.75","1.83","N/A","1"
"6","GTY030 36C 10","Mito 5","Mito","Object","30","0.0357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","950.57","1164.32","1040.87","31226.21","56.17","N/A","N/A","N/A","N/A","N/A","24.68","23.61","1.2","N/A","1"
"9","GTY030 36C 10","Mito 8","Mito","Object","175","0.208","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","729.78","1521.1","1082.57","189449.13","189.98","N/A","N/A","N/A","N/A","N/A","24.7","24.12","2.21","N/A","1"
"17","GTY030 36C 10","Mito 16","Mito","Object","6116","7.28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","627.76","2111.62","1196.7","7319037","225.34","N/A","N/A","N/A","N/A","N/A","27.82","21.5","1.75","N/A","1"
"18","GTY030 36C 10","Mito 17","Mito","Object","3294","3.92","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","613.17","2652.02","1261.02","4153784","330","N/A","N/A","N/A","N/A","N/A","26.26","23.16","3.22","N/A","1"
"31","GTY030 36C 10","Mito 30","Mito","Object","6411","7.63","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","513.67","2618.37","1242.93","7968401.5","321.2","N/A","N/A","N/A","N/A","N/A","23.27","24","2.8","N/A","1"
"32","GTY030 36C 10","Mito 31","Mito","Object","49","0.0583","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","836.74","1197.89","1016.62","49814.39","96.79","N/A","N/A","N/A","N/A","N/A","24.07","23.4","5.98","N/A","1"
"33","GTY030 36C 10","Mito 32","Mito","Object","32","0.0381","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","803.56","1098.36","923.66","29557.07","76.23","N/A","N/A","N/A","N/A","N/A","25.97","23.37","5.98","N/A","1"
"34","GTY030 36C 10","Mito 33","Mito","Object","220","0.262","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","846.54","1162.61","986.41","217009.44","62.96","N/A","N/A","N/A","N/A","N/A","26.22","22.5","5.95","N/A","1"
"35","GTY030 36C 10","Mito 34","Mito","Object","69","0.0822","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","793.12","1073.19","919.02","63412.28","55.66","N/A","N/A","N/A","N/A","N/A","23.42","24.06","6","N/A","1"
