
"ID","Item Name","Name","Population","Type","Voxel Count","Volume (µm³)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, double mCherry 610))","Max (mCherry double (DCI: 60 its, double mCherry 610))","Mean (mCherry double (DCI: 60 its, double mCherry 610))","Sum (mCherry double (DCI: 60 its, double mCherry 610))","Standard Deviation (mCherry double (DCI: 60 its, double mCherry 610))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Number of contained Mito","Compartment ROIs ID"
"1","GTY030 36C 11","ROIs 1","ROIs","Object","338625","403.2","187","1229","355.73","1.20e+08","126.61","1224","2974","1944.13","31349064","194.74","1638","3730","2596.24","41864341","249.73","454.82","2997.87","779.92","2.64e+08","161.14","36.06","9028.2","364.76","1.24e+08","331.19","N/A","N/A","N/A","20","N/A"
"28","GTY030 36C 11","Mito 27","Mito","Object","996","1.19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","590.25","1986.12","968.46","964590","238.4","N/A","N/A","N/A","N/A","N/A","34.12","36.58","3.37","N/A","1"
"29","GTY030 36C 11","Mito 28","Mito","Object","11","0.0131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","668.06","842.08","737.58","8113.38","52.99","N/A","N/A","N/A","N/A","N/A","39.19","37.13","2.48","N/A","1"
"32","GTY030 36C 11","Mito 31","Mito","Object","260","0.31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","649.26","984.4","818.55","212822.58","70.02","N/A","N/A","N/A","N/A","N/A","38.13","40.08","3.18","N/A","1"
"37","GTY030 36C 11","Mito 36","Mito","Object","44","0.0524","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","657.98","826.75","751.24","33054.43","48.64","N/A","N/A","N/A","N/A","N/A","37.92","40.94","3.53","N/A","1"
"41","GTY030 36C 11","Mito 40","Mito","Object","10","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","675.9","836.3","740.36","7403.63","51.72","N/A","N/A","N/A","N/A","N/A","37.55","36.33","3.66","N/A","1"
"42","GTY030 36C 11","Mito 41","Mito","Object","31","0.0369","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","674.88","859.05","783.88","24300.14","41.46","N/A","N/A","N/A","N/A","N/A","34.8","36.28","4.05","N/A","1"
"43","GTY030 36C 11","Mito 42","Mito","Object","19","0.0226","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","665.95","828.15","753.64","14319.07","43.98","N/A","N/A","N/A","N/A","N/A","35.79","40.13","4.03","N/A","1"
"44","GTY030 36C 11","Mito 43","Mito","Object","10","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","781.78","860.95","815.57","8155.71","25.91","N/A","N/A","N/A","N/A","N/A","38.26","40.75","3.9","N/A","1"
"45","GTY030 36C 11","Mito 44","Mito","Object","26","0.031","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","724.06","880.63","815.23","21196.02","42.24","N/A","N/A","N/A","N/A","N/A","33.72","37.24","4.23","N/A","1"
"46","GTY030 36C 11","Mito 45","Mito","Object","10","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","727.15","795.52","769.42","7694.2","20.53","N/A","N/A","N/A","N/A","N/A","34.74","37.11","4.5","N/A","1"
"48","GTY030 36C 11","Mito 47","Mito","Object","19","0.0226","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","786.14","907.07","838.67","15934.81","43.25","N/A","N/A","N/A","N/A","N/A","39.7","39.46","5.98","N/A","1"
"53","GTY030 36C 11","Mito 52","Mito","Object","11","0.0131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","783.3","898.55","855.31","9408.43","36.36","N/A","N/A","N/A","N/A","N/A","34.06","36.48","6","N/A","1"
"54","GTY030 36C 11","Mito 53","Mito","Object","14","0.0167","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","816.23","919.51","860.61","12048.52","24.89","N/A","N/A","N/A","N/A","N/A","36.16","36.49","6","N/A","1"
"55","GTY030 36C 11","Mito 54","Mito","Object","43","0.0512","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","780.71","937.28","846.96","36419.23","37.96","N/A","N/A","N/A","N/A","N/A","37.41","36.68","6","N/A","1"
"56","GTY030 36C 11","Mito 55","Mito","Object","71","0.0845","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","796.1","1013.46","910.65","64655.98","55.44","N/A","N/A","N/A","N/A","N/A","38.82","37.46","6","N/A","1"
"58","GTY030 36C 11","Mito 57","Mito","Object","51300","61.08","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","573.25","2997.87","1008.83","51753120","265.33","N/A","N/A","N/A","N/A","N/A","36.45","38.33","3.1","N/A","1"
"59","GTY030 36C 11","Mito 58","Mito","Object","20","0.0238","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","832.52","965.12","901.6","18031.95","40.85","N/A","N/A","N/A","N/A","N/A","39.08","40.06","6","N/A","1"
"60","GTY030 36C 11","Mito 59","Mito","Object","10","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","821.16","921.83","886.2","8861.96","28.94","N/A","N/A","N/A","N/A","N/A","35.03","40.53","6","N/A","1"
"61","GTY030 36C 11","Mito 60","Mito","Object","70","0.0833","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","746.7","972.69","873.66","61156.45","46.6","N/A","N/A","N/A","N/A","N/A","35.63","41.04","6","N/A","1"
"62","GTY030 36C 11","Mito 61","Mito","Object","15","0.0179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","784.67","911.29","855.8","12837.06","39.5","N/A","N/A","N/A","N/A","N/A","37.28","40.77","6","N/A","1"
