filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
PSY109 colony 25C 01 m-25.csv,113000000,595.3,225.22,PSY109 colony 25C,1934617.5699999998,907.4276340694008,2.5359999999999996,533.24,11738601.830855789,796959.6371882089,0.0678922114125501,374.1876340694008,-25,25
PSY109 colony 25C 01 m-35.csv,113000000,595.3,225.22,PSY109 colony 25C,2203737.82,898.7525162838533,2.917,533.24,11738601.830855789,895439.6657428404,0.0762816286509617,365.5125162838533,-35,25
PSY109 colony 25C 01 m-50.csv,113000000,595.3,225.22,PSY109 colony 25C,2786075.75,871.7300000000001,3.806,533.24,11738601.830855789,1081962.660619804,0.09217134001221376,338.4900000000001,-50,25
PSY109 colony 25C 02 m-25.csv,104000000,597.41,207.06,PSY109 colony 25C,1454128.6500000001,803.824754174397,2.156,533.24,11159015.873015866,489947.70303182985,0.043905995708510025,270.58475417439695,-25,25
PSY109 colony 25C 02 m-35.csv,104000000,597.41,207.06,PSY109 colony 25C,1699339.04,796.2975481335952,2.545,533.24,11159015.873015866,562258.721760309,0.05038604910670778,263.0575481335952,-35,25
PSY109 colony 25C 02 m-50.csv,104000000,597.41,207.06,PSY109 colony 25C,2094261.51,787.6240359734933,3.169,533.24,11159015.873015866,677032.8462249098,0.06067137585690458,254.38403597349327,-50,25
PSY109 colony 25C 03 m-25.csv,134000000,616.99,259.12,PSY109 colony 25C,2370285.69,767.5962442208321,3.677,533.24,18225665.574871924,723715.3859074491,0.039708584739163076,234.35624422083208,-25,25
PSY109 colony 25C 03 m-35.csv,134000000,616.99,259.12,PSY109 colony 25C,2688119.84,762.3533715103794,4.191,533.24,18225665.574871924,806428.2690854117,0.0442468488062927,229.11337151037935,-35,25
PSY109 colony 25C 03 m-50.csv,134000000,616.99,259.12,PSY109 colony 25C,3327251.1399999997,757.6119280795716,5.228,533.24,18225665.574871924,985148.6016628875,0.05405281895554645,224.3719280795716,-50,25
PSY109 colony 25C 04 m-25.csv,163000000,635.31,305.63,PSY109 colony 25C,2575281.94,872.6805951091603,3.5086,533.24,26199423.95229695,1000219.427227681,0.03817715340035138,339.4405951091603,-25,25
PSY109 colony 25C 04 m-35.csv,163000000,635.31,305.63,PSY109 colony 25C,2904706.88,860.7913168642294,4.0156,533.24,26199423.95229695,1104656.9816074576,0.04216340724203634,327.5513168642294,-35,25
PSY109 colony 25C 04 m-50.csv,163000000,635.31,305.63,PSY109 colony 25C,3674146.94,842.3653841560892,5.1918999999999995,533.24,26199423.95229695,1347902.9831191732,0.0514478099050342,309.12538415608924,-50,25
PSY109 colony 25C 10 01 m-25.csv,135000000,584.55,275.7,PSY109 colony 25C 10,2486413.7,775.7875844904377,3.8169999999999997,536.58,11107188.208616758,766822.3314016968,0.06903838460275749,239.20758449043763,-25,25
PSY109 colony 25C 10 01 m-35.csv,135000000,584.55,275.7,PSY109 colony 25C 10,2774310.2800000003,771.508000934143,4.282,536.58,11107188.208616758,844848.9963886789,0.07606326466434234,234.92800093414291,-35,25
PSY109 colony 25C 10 01 m-50.csv,135000000,584.55,275.7,PSY109 colony 25C 10,3335527.82,762.9458277254374,5.201,536.58,11107188.208616758,988770.1940035272,0.08902074723434118,226.36582772543738,-50,25
PSY109 colony 25C 10 02 m-25.csv,110000000,582.56,224.79,PSY109 colony 25C 10,2101833.59,768.4898649478207,3.258,536.58,8680477.198286703,634553.0696229106,0.07310117348711596,231.90986494782067,-25,25
