filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID
GTY029 25C 01 m-25.csv,ROIs 1,1,214.14,465,983,669.56,120000000,77.3,233,2416,465.92,83793483,189.67,275.62,1827.69,675.62,122000000,163.52,NA,NA,NA,GTY029 25C,ROIs,Object,0.961,25296.23,494.39,88913664,836.63,5,NA
GTY029 25C 01 m-25.csv,Mito 1,2,0.0155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,673.92,811.22,740.84,9630.87,40.17,8.1,29.36,0.208,GTY029 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 25C 01 m-25.csv,Mito 2,3,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.11,1469.97,951.2,1066290.25,139.03,7.64,31.38,1.52,GTY029 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 25C 01 m-25.csv,Mito 6,7,0.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640.22,1522.9,920.03,318331.25,150.32,7.99,28.72,1.63,GTY029 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 25C 01 m-25.csv,Mito 19,20,0.354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534.57,1465.58,980.7,291267.22,140.37,7.94,29.79,3.95,GTY029 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 25C 01 m-25.csv,Mito 20,21,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.58,1827.69,965.19,1254753,218.24,9.44,31.33,2.26,GTY029 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 25C 01 m-35.csv,ROIs 1,1,214.14,465,983,669.56,120000000,77.3,233,2416,465.92,83793483,189.67,275.62,1827.69,675.62,122000000,163.52,NA,NA,NA,GTY029 25C,ROIs,Object,0.961,25296.23,494.39,88913664,836.63,4,NA
GTY029 25C 01 m-35.csv,Mito 1,2,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,606.11,1469.97,936.42,1302555.25,140.98,7.68,31.33,1.47,GTY029 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 25C 01 m-35.csv,Mito 8,9,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626.19,1522.9,908.53,385216.44,145.53,8.05,28.72,1.61,GTY029 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 25C 01 m-35.csv,Mito 20,21,1.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,470.58,1827.69,950.36,1415091.5,218.87,9.44,31.3,2.22,GTY029 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
