filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY029 25C 01 m-25.csv,122000000,675.62,214.14,GTY029 25C,2940272.59,955.5765888297146,3.6615,558.47,21068699.924414203,1221135.2775678174,0.0579596881605769,397.1065888297146,-25,25
GTY029 25C 01 m-35.csv,122000000,675.62,214.14,GTY029 25C,3434261.0300000003,942.4321543778802,4.34,558.47,21068699.924414203,1399509.3222474176,0.0664259934057763,383.9621543778802,-35,25
GTY029 25C 01 m-50.csv,122000000,675.62,214.14,GTY029 25C,4453303.89,926.4146028975388,5.729,558.47,21068699.924414203,1770349.0635760473,0.08402744687272251,367.94460289753874,-50,25
GTY029 25C 02 m-25.csv,192000000,704.47,324.36,GTY029 25C,6050673.44,1007.1151943803733,7.1535,558.47,39772033.257747546,2695375.3237591335,0.06777061927640014,448.64519438037325,-25,25
GTY029 25C 02 m-35.csv,192000000,704.47,324.36,GTY029 25C,6880640.66,998.0746885497298,8.2164,558.47,39772033.257747546,3033482.7941546985,0.07627175544422989,439.60468854972976,-35,25
GTY029 25C 02 m-50.csv,192000000,704.47,324.36,GTY029 25C,8936776.28,980.4731838688887,10.860999999999999,558.47,39772033.257747546,3849312.656420592,0.09678440705997224,422.00318386888864,-50,25
GTY029 25C 03 m-25.csv,152000000,735.26,245.85,GTY029 25C,5328352.69,994.8684491140034,6.377,558.47,36502747.54346182,2337207.4493995123,0.064028261067656,436.39844911400337,-25,25
GTY029 25C 03 m-35.csv,152000000,735.26,245.85,GTY029 25C,5997143.57,989.4674954929968,7.211,558.47,36502747.54346182,2610164.558662971,0.0715059751476294,430.9974954929968,-35,25
GTY029 25C 03 m-50.csv,152000000,735.26,245.85,GTY029 25C,7430506.3100000005,982.7268235816588,9.007,558.47,36502747.54346182,3209272.8730998575,0.08791866610256535,424.25682358165875,-50,25
GTY029 25C 04 m-25.csv,134000000,690.09,231.82,GTY029 25C,2876018.75,1004.4883967471083,3.4062,558.47,25625387.083228353,1275911.5335516923,0.04979091747600441,446.0183967471082,-25,25
GTY029 25C 04 m-35.csv,134000000,690.09,231.82,GTY029 25C,3359679.52,991.6847734760098,4.037100000000001,558.47,25625387.083228353,1468826.2047535058,0.0573191811691634,433.2147734760098,-35,25
GTY029 25C 04 m-50.csv,134000000,690.09,231.82,GTY029 25C,4467097.35,961.0649142444486,5.539,558.47,25625387.083228353,1872825.4220206605,0.07308476613203678,402.59491424444855,-50,25
GTY029 25C 10 01 m-25.csv,146000000,660.18,263.1,GTY029 25C 10,2107254.39,986.5336126746704,2.5404999999999998,538.78,26824842.529604428,955335.5614344503,0.035613836703053264,447.7536126746704,-25,25
GTY029 25C 10 01 m-35.csv,146000000,660.18,263.1,GTY029 25C 10,2430365.06,980.3838517515654,2.9545,538.78,26824842.529604428,1095757.6047703032,0.04084861275740961,441.60385175156546,-35,25
GTY029 25C 10 01 m-50.csv,146000000,660.18,263.1,GTY029 25C 10,3129924.28,954.5415384615384,3.9,538.78,26824842.529604428,1361778.785588309,0.050765583584896086,415.7615384615384,-50,25
GTY029 25C 10 03 m-25.csv,162000000,725.88,266.13,GTY029 25C 10,5106087.8,944.4999348028562,6.442,538.78,41818193.49962207,2195051.4991181656,0.05249034727284437,405.7199348028562,-25,25
GTY029 25C 10 03 m-35.csv,162000000,725.88,266.13,GTY029 25C 10,5743939.02,939.5488844621514,7.279,538.78,41818193.49962207,2449984.6392878136,0.05858657283485848,400.7688844621514,-35,25
GTY029 25C 10 03 m-50.csv,162000000,725.88,266.13,GTY029 25C 10,7001948.5,929.742857142857,8.96,538.78,41818193.49962207,2941989.7539262613,0.07035190924621958,390.96285714285705,-50,25
GTY029 25C 10 04 m-25.csv,154000000,675.58,271.25,GTY029 25C 10,3176594.75,1111.86,3.4,538.78,31164021.16402118,1636408.8351389936,0.05250955345352625,573.0799999999999,-25,25
GTY029 25C 10 04 m-35.csv,154000000,675.58,271.25,GTY029 25C 10,3540683.25,1099.25,3.84,538.78,31164021.16402118,1807512.2197026957,0.05799996766108817,560.47,-35,25
GTY029 25C 10 04 m-50.csv,154000000,675.58,271.25,GTY029 25C 10,4296187,1072.97,4.77,538.78,31164021.16402118,2139990.1738473168,0.06866861508610232,534.19,-50,25
GTY029 25C 11 01 m-25.csv,154000000,649.85,282.4,GTY029 25C 11,2681190.9099999997,838.6426335837755,3.8066,537.65,26610632.4011086,962256.2853783487,0.03616059441481973,300.9926335837755,-25,25
GTY029 25C 11 01 m-35.csv,154000000,649.85,282.4,GTY029 25C 11,3168291.1,833.5231000331601,4.5235,537.65,26610632.4011086,1124029.5355673132,0.04223986557795921,295.8731000331601,-35,25
GTY029 25C 11 01 m-50.csv,154000000,649.85,282.4,GTY029 25C 11,4182519.75,827.0657373233583,6.015000000000001,537.65,26610632.4011086,1462027.093306459,0.05494146367019639,289.41573732335837,-50,25
GTY029 25C 11 02 m-25.csv,110000000,676.62,194.31,GTY029 25C 11,1709762.06,916.7507519068466,2.2157,537.65,22678475.434618298,705445.1465524482,0.03110637434982064,379.10075190684665,-25,25
