filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID,"Min (roGFP 470 (DCI: 30 its, roGFP 470))","Max (roGFP 470 (DCI: 30 its, roGFP 470))","Mean (roGFP 470 (DCI: 30 its, roGFP 470))","Sum (roGFP 470 (DCI: 30 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 30 its, roGFP 470))","Min (mCherry double (DCI: 30 its, mCherry double))","Max (mCherry double (DCI: 30 its, mCherry double))","Mean (mCherry double (DCI: 30 its, mCherry double))","Sum (mCherry double (DCI: 30 its, mCherry double))","Standard Deviation (mCherry double (DCI: 30 its, mCherry double))",Min (roGFP 470 (Red)),Max (roGFP 470 (Red)),Mean (roGFP 470 (Red)),Sum (roGFP 470 (Red)),Standard Deviation (roGFP 470 (Red)),Min (roGFP 470 (Green)),Max (roGFP 470 (Green)),Mean (roGFP 470 (Green)),Sum (roGFP 470 (Green)),Standard Deviation (roGFP 470 (Green)),Min (roGFP 470 (Blue)),Max (roGFP 470 (Blue)),Mean (roGFP 470 (Blue)),Sum (roGFP 470 (Blue)),Standard Deviation (roGFP 470 (Blue))
PSY106 clump 25C 01 m-25.csv,ROIs 1,1,342.86,433,894,631.79,182000000,58.39,210,1413,354.08,102000000,86.49,261.85,2573.02,631.07,182000000,159.12,NA,NA,NA,PSY106 clump 25C,ROIs,Object,4.45,15144.58,367.68,106000000,513.17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-25.csv,Mito 5,6,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,609.6,1344.08,941.48,146870.95,157.05,22.39,36.99,1.74,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-25.csv,Mito 15,16,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,605.26,1618.26,934.93,261780.31,221.85,18.94,34.15,1.93,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-25.csv,Mito 16,17,0.0917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756.08,1281.32,960.82,73983.01,132.18,22.66,33.96,1.92,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-25.csv,Mito 21,22,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.46,2370.97,904.81,696701.06,264.53,22.21,33.72,2.48,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-25.csv,Mito 22,23,0.942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,424.28,2082.05,989.09,782372.81,290.28,16.27,34.61,2.84,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-25.csv,Mito 26,27,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,513.89,1269.01,808.87,319502.41,154.61,20.78,36.49,3.12,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-25.csv,Mito 30,31,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.85,2052.59,869.02,486651.31,291.45,24.15,36.61,2.85,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,ROIs 1,1,342.86,433,894,631.79,182000000,58.39,210,1413,354.08,102000000,86.49,261.85,2573.02,631.07,182000000,159.12,NA,NA,NA,PSY106 clump 25C,ROIs,Object,4.45,15144.58,367.68,106000000,513.17,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSY106 clump 25C 01 m-35.csv,Mito 7,8,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564.53,1424.38,946.56,171327.22,171.5,22.39,36.99,1.72,PSY106 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
