filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
PSY106 clump 25C 01 m-25.csv,182000000,631.07,342.86,PSY106 clump 25C,2767861.86,913.7973643496825,3.6067,518.87,32307795.414462093,1196258.1044763585,0.037026918399417366,394.92736434968253,-25,25
PSY106 clump 25C 01 m-35.csv,182000000,631.07,342.86,PSY106 clump 25C,3216040.53,905.9383349123638,4.222,518.87,32307795.414462093,1372472.083648274,0.04248114320526828,387.06833491236375,-35,25
PSY106 clump 25C 01 m-50.csv,182000000,631.07,342.86,PSY106 clump 25C,4150572.19,896.3013134057971,5.5200000000000005,518.87,32307795.414462093,1749744.56202234,0.05415858741135563,377.43131340579714,-50,25
PSY106 clump 25C 02 m-25.csv,214000000,696.12,366.47,PSY106 clump 25C,5260658.72,1134.1795063520872,5.51,518.87,54553462.24909717,2847363.214915596,0.05219399644910197,615.3095063520872,-25,25
PSY106 clump 25C 02 m-35.csv,214000000,696.12,366.47,PSY106 clump 25C,6013644.279999999,1123.3443450072994,6.3703,518.87,54553462.24909717,3233965.6672545555,0.05928066769599167,604.4743450072993,-35,25
PSY106 clump 25C 02 m-50.csv,214000000,696.12,366.47,PSY106 clump 25C,7474670.9,1100.772156814247,8.086,518.87,54553462.24909717,3951676.1904761908,0.07243676253639775,581.902156814247,-50,25
PSY106 clump 25C 03 m-25.csv,173000000,687.52,300.16,PSY106 clump 25C,4484016.63,1086.2700752338349,4.918,518.87,42514473.838918276,2343557.2100445116,0.05512374959464252,567.4000752338349,-25,25
PSY106 clump 25C 03 m-35.csv,173000000,687.52,300.16,PSY106 clump 25C,4976650.97,1083.5148252516012,5.465,518.87,42514473.838918276,2591571.3193919547,0.060957388987361714,564.6448252516012,-35,25
PSY106 clump 25C 03 m-50.csv,173000000,687.52,300.16,PSY106 clump 25C,6085800.88,1075.2371861086376,6.7379999999999995,518.87,42514473.838918276,3148401.8644494833,0.07405482369082966,556.3671861086376,-50,25
PSY106 clump 25C 04 m-25.csv,166000000,667.63,295.86,PSY106 clump 25C,4142595.0999999996,989.5731260032103,4.984,518.87,36963243.134290755,1970256.4709834552,0.05330312775384286,470.7031260032103,-25,25
PSY106 clump 25C 04 m-35.csv,166000000,667.63,295.86,PSY106 clump 25C,4624018.65,984.029160851673,5.5889999999999995,518.87,36963243.134290755,2183400.142773159,0.059069496008255326,465.15916085167305,-35,25
PSY106 clump 25C 04 m-50.csv,166000000,667.63,295.86,PSY106 clump 25C,5542320.66,970.0685338235294,6.8,518.87,36963243.134290755,2576761.594020324,0.06971145861467619,451.1985338235294,-50,25
PSY106 clump 25C 05 m-25.csv,186000000,665.73,332.16,PSY106 clump 25C,3208094.06,925.1473587193792,4.123,518.87,40968352.73368607,1406804.0228437057,0.03433879882817369,406.2773587193792,-25,25
PSY106 clump 25C 05 m-35.csv,186000000,665.73,332.16,PSY106 clump 25C,3717302.52,917.8317972636817,4.824,518.87,40968352.73368607,1616353.162005543,0.03945370155623814,398.96179726368166,-35,25
