ItemName,ExtracellularBackground
PSY106 clump 25C,518.87
PSY106 clump 25C 2,518.76
PSY106 clump 25C 3,521.59
PSY106 clump 25C 4,522.75
PSY106 clump 25C 5,519.08
PSY106 clump 25C 6,524.49
PSY106 clump 25C 7,520.42
PSY106 clump 25C 8,521.65
PSY106 clump 25C 9,519.69
PSY106 clump 25C 10,527.99
PSY106 clump 25C 11,525.97
PSY106 clump 25C 12,528.38
PSY106 clump 25C 13,535.51
PSY106 clump 25C 14,530.66
PSY106 clump 25C 15,532.65
PSY106 clump 25C 16,517.54
PSY106 clump 25C 17,514.83
PSY106 clump 25C 18,520.45
PSY106 clump 36C,496.86
PSY106 clump 36C 2,509.68
PSY106 clump 36C 3,514.72
PSY106 clump 36C 4,496.32
PSY106 clump 36C 5,505.06
PSY106 clump 36C 6,504.24
PSY106 clump 36C 7,491.42
PSY106 clump 36C 8,495.68
PSY106 clump 36C 9,492.97
PSY106 clump 36C 10,497.35
PSY106 clump 36C 11,495.47
PSY106 clump 36C 12,497.9
PSY106 clump 36C 13,501.96
PSY106 clump 36C 14,499.72
PSY106 clump 36C 15,497.71
PSY106 clump 36C 16,493.02
PSY106 clump 36C 17,491.91
PSY106 clump 36C 18,492.94
