
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","335.89","435","1410","657.8","1.86e+08","72.08","213","1110","318.54","89858922","52.3","221.45","11148.93","660.23","1.86e+08","205.71","N/A","N/A","N/A","PSY106 clump 25C 2","ROIs","Object","1578","2689","2093.55","28122684","138.35","2233","3467","2644.08","35517920","165.06","24.4","9375.76","326.47","92094400","306.46","10","N/A"
"Mito 6","7","0.438","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","480.63","2096.83","1260.48","463857.5","312.7","21.28","32.41","2.36","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","11","0.776","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","427.29","2047.06","1058.57","690186.94","329.43","19.72","34.98","2.49","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 11","12","0.145","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","692.16","1470.19","1097.93","133947.52","150.55","22.4","36.3","2.08","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","13","0.0536","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","681.49","1412.32","1048.71","47191.91","165.86","20.74","36.71","2.07","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 16","17","0.482","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","543.76","2328.76","1179.69","477772.66","332.22","24.43","33.65","2.29","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 17","18","0.025","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1013.88","1831.68","1392.42","29240.92","228.24","25.53","39.15","2.66","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 25","26","0.0703","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","631.54","1577.25","1044.7","61637.35","224.96","24.68","35.81","2.93","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 28","29","0.148","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","554.08","1087.5","779.82","96698.03","124.99","21.31","34.88","3.15","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 29","30","0.111","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","631.54","1095.65","826.08","76825.53","126.55","24.2","35.26","3.22","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 30","31","0.725","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","538.57","6337.25","1324.53","806638.25","664.17","25.53","37.37","2.36","PSY106 clump 25C 2","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
