ItemName,ExtracellularBackground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C,533.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 2,539.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 3,544.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 4,546.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 5,540.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 6,522.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 7,533.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 8,517.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 9,531.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 10,536.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 11,535.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 12,539.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 13,544.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 14,536.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 15,534.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 16,536.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 17,536.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 25C 18,534.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C,509.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 2,508.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 3,509.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 4,511.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 5,511.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 6,506.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 7,510.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 9,508.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 10,514.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 11,506.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 12,514.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 13,515.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 14,511.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 15,501.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 16,508.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 17,507.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSY109 36C 18,516.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
