filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID
PSY109 colony 25C 01 m-25.csv,ROIs 1,1,225.22,438,1102,596.07,113000000,43.36,231,1378,379.51,71782573,117.22,277.15,8842.1,595.3,113000000,133.34,NA,NA,NA,PSY109 colony 25C,ROIs,Object,1e-6,21513.79,395.19,74749024,611.15,2,NA
PSY109 colony 25C 01 m-25.csv,Mito 17,18,0.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.2,2048.59,928.93,379005.44,285.24,43.29,5.77,2.68,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 01 m-25.csv,Mito 18,19,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.53,8842.1,902.33,1555612.13,604.26,40.01,5.51,3.05,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 01 m-35.csv,ROIs 1,1,225.22,438,1102,596.07,113000000,43.36,231,1378,379.51,71782573,117.22,277.15,8842.1,595.3,113000000,133.34,NA,NA,NA,PSY109 colony 25C,ROIs,Object,1e-6,21513.79,395.19,74749024,611.15,2,NA
PSY109 colony 25C 01 m-35.csv,Mito 16,17,0.557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.2,2232.43,921.77,431388.44,295.04,43.29,5.77,2.69,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 01 m-35.csv,Mito 21,22,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.53,8842.1,893.32,1772349.38,586.96,40.01,5.51,3.06,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 01 m-50.csv,ROIs 1,1,225.22,438,1102,596.07,113000000,43.36,231,1378,379.51,71782573,117.22,277.15,8842.1,595.3,113000000,133.34,NA,NA,NA,PSY109 colony 25C,ROIs,Object,1e-6,21513.79,395.19,74749024,611.15,2,NA
PSY109 colony 25C 01 m-50.csv,Mito 15,16,0.726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,437.41,2232.43,902.53,550543.5,293.64,43.3,5.78,2.71,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 01 m-50.csv,Mito 18,19,3.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,343.53,8842.1,864.47,2235532.25,545.15,40.02,5.52,3.1,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 02 m-25.csv,ROIs 1,1,207.06,446,808,598.35,104000000,39.99,239,1564,382.77,66564355,108.84,280.52,2526.77,597.41,104000000,104.39,NA,NA,NA,PSY109 colony 25C,ROIs,Object,16.44,16790.08,398.43,69286744,580.37,5,NA
PSY109 colony 25C 02 m-25.csv,Mito 2,3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503.46,1693.34,871.1,146343.97,213.98,59.76,32.15,1.95,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 02 m-25.csv,Mito 3,4,0.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581.3,1298.16,804.86,172239.2,110.02,57.85,33.72,1.84,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 02 m-25.csv,Mito 9,10,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390.82,2099.79,805.37,959191.31,193.19,55.26,34.05,2.68,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 02 m-25.csv,Mito 10,11,0.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.92,1090.18,807.34,89614.99,107.39,56.81,34.44,1.95,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 02 m-25.csv,Mito 28,29,0.149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552.32,967.49,693.91,86739.18,86.52,56.51,34.46,3.3,PSY109 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY109 colony 25C 02 m-35.csv,ROIs 1,1,207.06,446,808,598.35,104000000,39.99,239,1564,382.77,66564355,108.84,280.52,2526.77,597.41,104000000,104.39,NA,NA,NA,PSY109 colony 25C,ROIs,Object,16.44,16790.08,398.43,69286744,580.37,5,NA
