
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","324.36","470","993","700.68","1.91e+08","81.32","261","2376","539.89","1.47e+08","208.48","300.39","2096.05","704.47","1.92e+08","171.59","N/A","N/A","N/A","GTY029 25C","ROIs","Object","1232","2676","1955.15","25362155","217.89","1707","3781","2690.85","34905725","296.95","0.00154","24310.24","566.21","1.54e+08","954.87","9","N/A"
"Mito 2","3","0.0679","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","617.32","709.99","673.48","38388.64","19.86","21.01","53.52","0.137","GTY029 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 3","4","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","678.09","845.83","714.09","8569.06","58.57","20.16","54.65","0.05","GTY029 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 4","5","0.111","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","673.56","873.83","782.99","72817.88","44.07","22.38","55.95","0.471","GTY029 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","8","0.0202","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","732.49","1084.55","883.96","15027.24","107.38","18.24","56.61","0.671","GTY029 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 9","10","2.41","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","651.21","1454.17","997.12","2016175.63","126.62","21.99","53.74","1.29","GTY029 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 10","11","1.01","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","581.35","2096.05","1007.81","852605","235.34","16.06","57.76","1.59","GTY029 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 17","18","0.675","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","506.08","1499.95","926.65","525411.44","174.8","21.29","53.43","3.73","GTY029 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 18","19","0.308","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","526.4","1570.49","924.52","239451.02","231.99","22.67","54.1","3.25","GTY029 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 22","23","3.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","475.77","1778.52","1030.19","3112194.75","193.86","19.97","56","3.02","GTY029 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
