ItemName,ExtracellularBackground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C,558.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 2,545.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 3,548.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 4,546.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 5,538.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 6,542.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 7,546.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 8,543.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 9,543.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 10,538.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 11,537.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 12,538.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 13,536.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 14,566.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 15,552.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 16,542.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 17,541.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 25C 18,538.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C,513.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 2,483.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 3,484.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 4,478.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 5,481.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 6,478.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 7,490.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 8,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 9,495.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 10,490.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 11,489.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 12,486.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 13,488.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 16,491.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 17,495.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 18,497.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 19,500.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTY029 36C 20,490.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
