filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
PSY106 colony 25C 01 m-25.csv,175000000,662.67,313.88,PSY106 colony 25C,2295335.59,1024.661557638238,2.6675,515.28,38853425.0440917,1141156.7187368774,0.029370813961494213,509.38155763823806,-25,25
PSY106 colony 25C 01 m-35.csv,175000000,662.67,313.88,PSY106 colony 25C,2923126.45,1021.702038037098,3.4072,515.28,38853425.0440917,1449131.7443520618,0.037297400234536746,506.422038037098,-35,25
PSY106 colony 25C 01 m-50.csv,175000000,662.67,313.88,PSY106 colony 25C,4095955.27,1005.8592564504162,4.8524,515.28,38853425.0440917,1999233.042747963,0.051455773602435056,490.5792564504162,-50,25
PSY106 colony 25C 03 m-25.csv,156000000,671.09,276.28,PSY106 colony 25C,3840242.57,1034.8187514162703,4.412999999999999,515.28,36152840.17804654,1925526.589401193,0.05326072806225748,519.5387514162703,-25,25
PSY106 colony 25C 03 m-35.csv,156000000,671.09,276.28,PSY106 colony 25C,4414285.91,1028.9776087808702,5.102,515.28,36152840.17804654,2201129.7556059463,0.06088400647821194,513.6976087808703,-35,25
PSY106 colony 25C 03 m-50.csv,156000000,671.09,276.28,PSY106 colony 25C,5515298.5,1016.6455198019801,6.4639999999999995,515.28,36152840.17804654,2721782.7496430664,0.07528544745692878,501.3655198019801,-50,25
PSY106 colony 25C 04 m-25.csv,185000000,687.95,320.59,PSY106 colony 25C,5625913.17,994.7289680772086,6.735,515.28,46490531.03216596,2711924.7501469725,0.05833284090196003,479.44896807720863,-25,25
PSY106 colony 25C 04 m-35.csv,185000000,687.95,320.59,PSY106 colony 25C,6335861.16,990.1505957223462,7.6209999999999996,515.28,46490531.03216596,3039379.1971109435,0.06537630630650469,474.87059572234625,-35,25
PSY106 colony 25C 04 m-50.csv,185000000,687.95,320.59,PSY106 colony 25C,7974282.41,973.3311150968535,9.757,515.28,46490531.03216596,3753426.3290501386,0.08073528621243777,458.05111509685355,-50,25
PSY106 colony 25C 10 01 m-25.csv,230000000,621.53,439.68,PSY106 colony 25C 10,2909084.93,890.7380893242826,3.8892,516.09,38934961.95515241,1223718.2741244643,0.03142980531312745,374.6480893242825,-25,25
