
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","321.36","382","1082","570.59","1.54e+08","53.86","209","863","295.76","79822621","43.33","234.52","8862.1","580.19","1.57e+08","134.97","N/A","N/A","N/A","PSY106 colony 25C 16","ROIs","Object","1540","2888","2068.51","26584533","192.55","1951","3611","2627","33762211","245.71","35.19","8562.53","302.82","81727520","211.73","10","N/A"
"Mito 4","5","0.15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","554.28","955.91","707.74","89175.63","70.86","33.11","57.98","0.774","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 6","7","0.366","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","486.08","872.27","632.18","194080.17","75.24","37.21","53.96","1.28","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","8","0.158","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","495.86","898.7","710.05","94436.05","82.84","39.6","56.52","1.38","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","13","0.454","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","425.58","1384.25","791.67","301624.41","180.58","35.55","56.39","2.04","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 17","18","0.723","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","508.78","1176.1","748.67","454441.97","111.62","39.95","55","1.68","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 18","19","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","528.29","629.31","569.12","5691.18","32.18","39.46","54.16","2.28","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 20","21","1.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","472.14","1973.92","840","777835.81","202.1","37","57.3","1.76","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 21","22","1.42","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","403.96","8862.1","1007.38","1202812.63","615.42","32.77","58.13","2.04","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 27","28","0.538","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","411.81","2353.67","899.01","406351.22","380.81","39.27","53.73","3.12","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 28","29","1.06","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","488.37","1332.57","805.01","714849.75","163.98","37.26","56.27","3.34","PSY106 colony 25C 16","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
