filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID
PSY106 colony 25C 01 m-25.csv,ROIs 1,1,313.88,433,1376,657.16,173000000,80.95,213,874,316.07,83319346,52.39,191.48,6519.07,662.67,175000000,197.14,NA,NA,NA,PSY106 colony 25C,ROIs,Object,47.22,7353.54,324.4,85515784,267.59,13,NA
PSY106 colony 25C 01 m-25.csv,Mito 2,3,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,699.65,1564.33,1056.72,140544.22,233.79,9.03,45.41,1.91,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 6,7,0.0417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,838.55,1168.35,977.44,34210.49,72.12,7.1,43.53,2.11,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 7,8,0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527.97,1385.91,939.99,147578.41,201.55,9.66,44.35,2.35,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 8,9,0.175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,895.02,1920.76,1285.98,189039.53,234.76,12.17,45.3,2.06,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 18,19,0.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610.94,1741.23,1062.29,307002.94,219.68,6.76,44.72,2.29,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 19,20,0.0667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,587.06,1221.53,944.4,52886.18,131.55,12.94,45.55,2.23,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 31,32,0.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,596.19,1924.52,1170.98,134662.31,337.35,13.66,47,2.58,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 37,38,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,665.48,1358.81,944.55,199301.05,133.89,8.32,43.65,2.91,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 38,39,0.0441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701.16,1085.6,842.57,31175.21,85.41,8.25,45.81,2.8,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 39,40,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,889.93,1570.37,1206.39,121845.7,154.36,9.83,47.13,2.96,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 40,41,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,769.46,1386.39,1105.74,124948.29,154.29,11.27,49.64,2.57,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 42,43,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,542.88,1612.77,855.72,150607.45,218.61,10.26,48.64,3.04,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-25.csv,Mito 43,44,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,491.58,1837.47,987.36,661533.81,262.41,12.06,48.58,2.52,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,ROIs 1,1,313.88,433,1376,657.16,173000000,80.95,213,874,316.07,83319346,52.39,191.48,6519.07,662.67,175000000,197.14,NA,NA,NA,PSY106 colony 25C,ROIs,Object,47.22,7353.54,324.4,85515784,267.59,11,NA
PSY106 colony 25C 01 m-35.csv,Mito 3,4,0.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687.65,1564.33,1042.02,159429.47,234.37,9.03,45.41,1.92,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,Mito 7,8,0.0619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,798.72,1168.35,980.71,50997.16,76.18,7.09,43.55,2.12,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
PSY106 colony 25C 01 m-35.csv,Mito 8,9,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524.52,1385.91,923.63,177337.03,205.87,9.66,44.35,2.36,PSY106 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
