
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","313.88","433","1376","657.16","1.73e+08","80.95","213","874","316.07","83319346","52.39","191.48","6519.07","662.67","1.75e+08","197.14","N/A","N/A","N/A","PSY106 colony 25C","ROIs","Object","1669","2527","2015.86","25305105","123.88","2215","3334","2625.36","32956204","158.27","47.22","7353.54","324.4","85515784","267.59","11","N/A"
"Mito 3","4","0.182","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","687.65","1564.33","1042.02","159429.47","234.37","9.03","45.41","1.92","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","8","0.0619","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","798.72","1168.35","980.71","50997.16","76.18","7.09","43.55","2.12","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 8","9","0.229","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","524.52","1385.91","923.63","177337.03","205.87","9.66","44.35","2.36","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 9","10","0.355","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","587.06","1920.76","1172.65","349450.94","246.71","12.37","45.36","2.1","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 17","18","0.452","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","569.5","1941.98","1062.42","403719.28","242.71","6.76","44.7","2.33","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 18","19","0.163","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","596.19","1924.52","1166.51","159812.33","336.72","13.66","47","2.56","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 35","36","0.31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","654.58","1369.15","950.92","247238.67","144.02","8.32","43.65","2.9","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 36","37","0.0583","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","701.16","1146.5","859.35","42108.38","99.8","8.25","45.81","2.77","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 37","38","0.443","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","527.62","1612.77","990.73","368550.78","258.45","10.09","48.07","3.02","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 38","39","0.166","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","769.46","1386.39","1085.08","150826.41","158.17","11.26","49.62","2.58","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 40","41","0.987","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","452.47","1837.47","981.49","813656","259.76","12.07","48.57","2.51","PSY106 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
