
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","308.58","429","993","632.18","1.64e+08","62.46","227","3440","659.7","1.71e+08","267.69","303.72","5516.17","640.93","1.66e+08","147.82","N/A","N/A","N/A","PSY106 colony 36C 8","ROIs","Object","1423","2899","2075.23","25610454","196.36","1745","3594","2579.45","31832965","242.7","0.000001","39318.07","724.15","1.88e+08","1537.37","9","N/A"
"Mito 1","2","0.0976","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","538","727.83","613.16","50279.45","47.87","77.38","12.4","0.0988","PSY106 colony 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 2","3","0.0333","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","563.45","647.94","604.25","16918.96","22.18","80.19","14.14","0","PSY106 colony 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 8","9","2.58","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","467.16","1671.07","806.6","1749515.63","166.29","81","13.35","2.79","PSY106 colony 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 9","10","0.145","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","757.69","1163.08","913.36","111429.69","90.67","80.65","13.88","1.45","PSY106 colony 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 30","31","8.58","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","403.41","5516.17","860.19","6195920.5","259.03","76.05","11.97","2.63","PSY106 colony 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 38","39","0.341","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","491.46","1198.98","740.04","211652.09","113.78","75.98","11.89","3.67","PSY106 colony 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 39","40","0.161","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","628.27","1020.01","807.28","108983.31","81.53","80.44","13.91","3.71","PSY106 colony 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 40","41","0.151","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","553.65","856.97","704.21","89434.46","60.38","79.73","13.97","3.42","PSY106 colony 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 41","42","3.89","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","429.2","1421.61","834.46","2728688.5","163.29","80.52","15.54","2.47","PSY106 colony 36C 8","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
