filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY029 clump 25C 01 m-25.csv,111000000,680.89,193.76,GTY029 clump 25C,1654507.86,856.3261121471011,2.3059,531.36,24332689.006466776,629326.7472915094,0.02586342788190226,324.96611214710106,-25,25
GTY029 clump 25C 01 m-35.csv,111000000,680.89,193.76,GTY029 clump 25C,1948820.7,854.7442477876107,2.712,531.36,24332689.006466776,736556.714537667,0.03027025555383197,323.38424778761066,-35,25
GTY029 clump 25C 01 m-50.csv,111000000,680.89,193.76,GTY029 clump 25C,2515055.6,845.7290729225551,3.538,531.36,24332689.006466776,934104.1236247584,0.038388857202609476,314.3690729225551,-50,25
GTY029 clump 25C 02 m-25.csv,142000000,740.47,228.09,GTY029 clump 25C,5122202.46,1150.0235578192796,5.300999999999999,531.36,40057025.1952633,2754292.0298983795,0.0687592754697139,618.6635578192796,-25,25
GTY029 clump 25C 02 m-35.csv,142000000,740.47,228.09,GTY029 clump 25C,5836994.19,1142.49241498275,6.087,531.36,40057025.1952633,3124181.5822625337,0.0779933499063721,611.13241498275,-35,25
GTY029 clump 25C 02 m-50.csv,142000000,740.47,228.09,GTY029 clump 25C,7234566.11,1125.6452026143793,7.65,531.36,40057025.1952633,3818158.8981271535,0.09531808414416773,594.2852026143793,-50,25
GTY029 clump 25C 03 m-25.csv,119000000,652.24,216.79,GTY029 clump 25C,2142079.1,977.262110302566,2.611,531.36,22008545.561434448,977786.5205341395,0.044427584630922355,445.90211030256603,-25,25
GTY029 clump 25C 03 m-35.csv,119000000,652.24,216.79,GTY029 clump 25C,2451192.29,962.7550659630608,3.032,531.36,22008545.561434448,1098504.9466700263,0.04991265522765554,431.3950659630608,-35,25
GTY029 clump 25C 03 m-50.csv,119000000,652.24,216.79,GTY029 clump 25C,3085491.09,940.9967598051782,3.901,531.36,22008545.561434448,1342061.8123792727,0.06097912325160488,409.63675980517814,-50,25
GTY029 clump 25C 04 m-25.csv,115000000,652.37,210.56,GTY029 clump 25C,1262827.9,924.4830285714286,1.6275,531.36,21399064.079952966,537337.4729150919,0.025110325895910533,393.12302857142856,-25,25
GTY029 clump 25C 04 m-35.csv,115000000,652.37,210.56,GTY029 clump 25C,1470161.22,915.3902421764428,1.9077,531.36,21399064.079952966,615280.5013857394,0.02875268278495158,384.0302421764428,-35,25
GTY029 clump 25C 04 m-50.csv,115000000,652.37,210.56,GTY029 clump 25C,1959583.94,898.4856879323598,2.602,531.36,21399064.079952966,802268.4471319393,0.037490819417823,367.1256879323598,-50,25
GTY029 clump 25C 05 m-25.csv,166000000,691.74,285.35,GTY029 clump 25C,3195282.06,909.5420071641792,4.1875,531.36,38434897.95918368,1330005.1692281852,0.034604103037832894,378.18200716417914,-25,25
GTY029 clump 25C 05 m-35.csv,166000000,691.74,285.35,GTY029 clump 25C,3678556.03,906.7237481101009,4.8283,531.36,38434897.95918368,1522103.6239187033,0.03960212475482871,375.3637481101009,-35,25
GTY029 clump 25C 05 m-50.csv,166000000,691.74,285.35,GTY029 clump 25C,4634459.91,904.1128789120105,6.103,531.36,38434897.95918368,1910565.9024103468,0.049709144653884374,372.7528789120105,-50,25
GTY029 clump 25C 06 m-25.csv,108000000,700.53,182.76,GTY029 clump 25C,2090559.77,1106.1552698201199,2.2515,531.36,25965826.152683288,1086882.9680020155,0.04185820861662427,574.7952698201199,-25,25
GTY029 clump 25C 06 m-35.csv,108000000,700.53,182.76,GTY029 clump 25C,2357320.34,1091.4148211508552,2.572,531.36,25965826.152683288,1209759.8051566302,0.0465904607865371,560.0548211508552,-35,25
GTY029 clump 25C 06 m-50.csv,108000000,700.53,182.76,GTY029 clump 25C,2925006.9699999997,1071.8287330873309,3.2520000000000002,531.36,25965826.152683288,1476110.1200974218,0.05684818620511644,540.4687330873309,-50,25
GTY029 clump 25C 10 03 m-25.csv,101000000,673.33,178.63,GTY029 clump 25C 10,2314752.4499999997,947.5162866561362,2.9122,542.58,19615245.233896025,990388.3883429914,0.05049074719858999,404.9362866561362,-25,25
GTY029 clump 25C 10 03 m-35.csv,101000000,673.33,178.63,GTY029 clump 25C 10,2631465.9299999997,943.1664014466546,3.318,542.58,19615245.233896025,1116272.51196775,0.05690841478947105,400.5864014466546,-35,25
GTY029 clump 25C 10 03 m-50.csv,101000000,673.33,178.63,GTY029 clump 25C 10,3374933.72,935.6680521293927,4.297,542.58,19615245.233896025,1418576.769967246,0.07232011392423898,393.0880521293926,-50,25
GTY029 clump 25C 10 04 m-25.csv,181000000,699.93,307.63,GTY029 clump 25C 10,3803192.9099999997,1076.5346560342778,4.201,542.58,40653044.84756863,1883886.3777609812,0.04634059723754375,533.9546560342777,-25,25
GTY029 clump 25C 10 04 m-35.csv,181000000,699.93,307.63,GTY029 clump 25C 10,4327657.97,1067.8175320910973,4.83,542.58,40653044.84756863,2130593.163685227,0.05240919029986638,525.2375320910973,-35,25
GTY029 clump 25C 10 04 m-50.csv,181000000,699.93,307.63,GTY029 clump 25C 10,5266685.62,1051.4045344943067,5.972,542.58,40653044.84756863,2552028.319475938,0.0627758223042073,508.8245344943067,-50,25
GTY029 clump 25C 10 05 m-25.csv,122000000,681.01,212.99,GTY029 clump 25C 10,2681434.58,931.6782138694639,3.4320000000000004,542.58,24762077.517426718,1121512.6144284874,0.04529153959877577,389.09821386946385,-25,25
GTY029 clump 25C 10 05 m-35.csv,122000000,681.01,212.99,GTY029 clump 25C 10,3061374.88,927.1309171747969,3.936,542.58,24762077.517426718,1271178.642815151,0.051335702423213,384.55091717479684,-35,25
GTY029 clump 25C 10 05 m-50.csv,122000000,681.01,212.99,GTY029 clump 25C 10,3852962.18,917.3495045944866,5.006,542.58,24762077.517426718,1575624.5401864448,0.06363054711696033,374.76950459448653,-50,25
GTY029 clump 25C 10 06 m-25.csv,115000000,689.11,199.06,GTY029 clump 25C 10,3359714.72,957.9854013898873,4.173,542.58,24496734.525909126,1455855.1608297636,0.0594305808102696,415.4054013898873,-25,25
GTY029 clump 25C 10 06 m-35.csv,115000000,689.11,199.06,GTY029 clump 25C 10,3784575.07,950.4157920269986,4.741,542.58,24496734.525909126,1623876.2828588225,0.06628949997973482,407.83579202699855,-35,25
GTY029 clump 25C 10 06 m-50.csv,115000000,689.11,199.06,GTY029 clump 25C 10,4731589.69,933.0616283302994,6.043,542.58,24496734.525909126,1981759.032501889,0.0808989063585544,390.4816283302994,-50,25
GTY029 clump 25C 10 07 m-25.csv,122000000,669.22,217.64,GTY029 clump 25C 10,2605538.32,925.2766338406445,3.351,542.58,23147669.102208782,1077027.3116654065,0.04652854276211487,382.6966338406445,-25,25
GTY029 clump 25C 10 07 m-35.csv,122000000,669.22,217.64,GTY029 clump 25C 10,2971869.17,922.3667057291666,3.84,542.58,23147669.102208782,1224809.7337700508,0.05291287551942661,379.78670572916656,-35,25
GTY029 clump 25C 10 07 m-50.csv,122000000,669.22,217.64,GTY029 clump 25C 10,3681117.61,912.079608740895,4.805,542.58,23147669.102208782,1491093.9951289159,0.06441659367709873,369.4996087408949,-50,25
GTY029 clump 25C 10 09 m-25.csv,238000000,707.51,399.78,GTY029 clump 25C 10,5634094.6,959.6376030927836,6.984,542.58,55375590.325018875,2446233.5600907034,0.04417530442082686,417.05760309278355,-25,25
GTY029 clump 25C 10 09 m-35.csv,238000000,707.51,399.78,GTY029 clump 25C 10,6526285.66,956.3909488601355,8.115,542.58,55375590.325018875,2820253.5063408073,0.05092954295905009,413.81094886013545,-35,25
GTY029 clump 25C 10 09 m-50.csv,238000000,707.51,399.78,GTY029 clump 25C 10,8260831.399999999,947.4521712744437,10.381,542.58,55375590.325018875,3529837.918871252,0.06374357181843819,404.87217127444364,-50,25
GTY029 clump 25C 10 10 m-25.csv,176000000,699.91,299.71,GTY029 clump 25C 10,2957939.15,1125.140817161674,3.1279,542.58,39601389.35080203,1530353.5567313344,0.03864393602898533,582.560817161674,-25,25
GTY029 clump 25C 10 10 m-35.csv,176000000,699.91,299.71,GTY029 clump 25C 10,3584815.5,1114.6926878741147,3.8257,542.58,39601389.35080203,1838188.888888889,0.04641728280302522,572.1126878741146,-35,25
GTY029 clump 25C 10 10 m-50.csv,176000000,699.91,299.71,GTY029 clump 25C 10,4876847.82,1092.7612731516338,5.3128,542.58,39601389.35080203,2454861.0632401104,0.0619892661213007,550.1812731516337,-50,25
GTY029 clump 25C 11 01 m-25.csv,112000000,643.95,207.26,GTY029 clump 25C 11,1585153.5899999999,866.2245831616536,2.1843,534.66,19023637.692113895,608244.3260267071,0.031973081903197205,331.5645831616537,-25,25
GTY029 clump 25C 11 01 m-35.csv,112000000,643.95,207.26,GTY029 clump 25C 11,1803279.83,860.7430565583635,2.493,534.66,19023637.692113895,682728.697404888,0.03588844092041913,326.0830565583635,-35,25
GTY029 clump 25C 11 01 m-50.csv,112000000,643.95,207.26,GTY029 clump 25C 11,2243136.08,853.2348560460653,3.126,534.66,19023637.692113895,836369.3625598388,0.04396474407765605,318.5748560460653,-50,25
GTY029 clump 25C 11 02 m-25.csv,130000000,662.05,233.77,GTY029 clump 25C 11,2297149.9299999997,963.1345457106635,2.8396,534.66,25010464.684639286,1021832.8042328042,0.04085621027506877,428.4745457106635,-25,25
GTY029 clump 25C 11 02 m-35.csv,130000000,662.05,233.77,GTY029 clump 25C 11,2607668.81,956.2296274594462,3.2426,534.66,25010464.684639286,1148048.772990678,0.04590273661311766,421.5696274594462,-35,25
GTY029 clump 25C 11 02 m-50.csv,130000000,662.05,233.77,GTY029 clump 25C 11,3313946.36,946.308754675362,4.1708,534.66,25010464.684639286,1441928.8032249936,0.05765301930237966,411.64875467536206,-50,25
GTY029 clump 25C 11 03 m-25.csv,142000000,688.47,244.85,GTY029 clump 25C 11,3472722.76,1031.4552639442231,4.016,534.66,31628771.7309146,1675594.003527337,0.05297689135014932,496.79526394422317,-25,25
GTY029 clump 25C 11 03 m-35.csv,142000000,688.47,244.85,GTY029 clump 25C 11,3905907.3699999996,1025.7861014709767,4.5412,534.66,31628771.7309146,1873101.412614428,0.059221440166885166,491.1261014709768,-35,25
GTY029 clump 25C 11 03 m-50.csv,142000000,688.47,244.85,GTY029 clump 25C 11,4951166.31,1015.8781609254763,5.8089,534.66,31628771.7309146,2347651.1085915845,0.07422517474167177,481.21816092547635,-50,25
GTY029 clump 25C 11 04 m-25.csv,226000000,708.9,379.65,GTY029 clump 25C 11,6801821.82,992.221353272861,8.158,534.66,55555736.96145124,3134950.466112371,0.05642892413231124,457.5613532728611,-25,25
GTY029 clump 25C 11 04 m-35.csv,226000000,708.9,379.65,GTY029 clump 25C 11,7586748.76,986.3280122257396,9.161,534.66,55555736.96145124,3475040.4467960023,0.06255052379571974,451.66801222573963,-35,25
GTY029 clump 25C 11 04 m-50.csv,226000000,708.9,379.65,GTY029 clump 25C 11,9294001.01,972.8811908635961,11.3699,534.66,55555736.96145124,4184539.445704208,0.07532146407503797,438.2211908635961,-50,25
GTY029 clump 25C 11 05 m-25.csv,116000000,646.05,213.24,GTY029 clump 25C 11,1944211.4,903.4255923616523,2.566,534.66,19948604.68631897,794702.704291593,0.03983750827628617,368.76559236165235,-25,25
GTY029 clump 25C 11 05 m-35.csv,116000000,646.05,213.24,GTY029 clump 25C 11,2266299.13,901.4596690070209,2.991,534.66,19948604.68631897,921388.9392794152,0.046188139660279924,366.79966900702095,-35,25
GTY029 clump 25C 11 05 m-50.csv,116000000,646.05,213.24,GTY029 clump 25C 11,2917062.05,893.7156709511568,3.8899999999999997,534.66,19948604.68631897,1173029.7808012092,0.05880259793837557,359.0556709511568,-50,25
GTY029 clump 25C 11 06 m-25.csv,161000000,695.1,275.68,GTY029 clump 25C 11,2286792.69,1058.2346213592232,2.575,534.66,37146299.82363317,1132279.0375409422,0.03048161036003282,523.5746213592232,-25,25
GTY029 clump 25C 11 06 m-35.csv,161000000,695.1,275.68,GTY029 clump 25C 11,2587200.25,1051.3617747440273,2.9299999999999997,534.66,37146299.82363317,1271467.3721340387,0.034228641295925455,516.7017747440274,-35,25
GTY029 clump 25C 11 06 m-50.csv,161000000,695.1,275.68,GTY029 clump 25C 11,3147075.94,1042.075638888889,3.6,534.66,37146299.82363317,1534136.474342824,0.04129984632727208,507.415638888889,-50,25
GTY029 clump 25C 11 07 m-25.csv,165000000,662.75,296.06,GTY029 clump 25C 11,3275640.34,880.2402376434445,4.4268,534.66,31848765.768035617,1284802.7177290672,0.0403407380708779,345.58023764344455,-25,25
GTY029 clump 25C 11 07 m-35.csv,165000000,662.75,296.06,GTY029 clump 25C 11,3802320.87,876.545423597679,5.17,534.66,31848765.768035617,1484460.9389434792,0.0466096849640977,341.88542359767905,-35,25
GTY029 clump 25C 11 07 m-50.csv,165000000,662.75,296.06,GTY029 clump 25C 11,4934833.38,877.591292781348,6.691,534.66,31848765.768035617,1927062.4674561177,0.06050666080725099,342.931292781348,-50,25
GTY029 clump 25C 11 08 m-25.csv,125000000,674.48,221.49,GTY029 clump 25C 11,2020468.38,978.3775030500203,2.459,534.66,26008845.04913077,916352.8512639625,0.03523235459063906,443.71750305002035,-25,25
GTY029 clump 25C 11 08 m-35.csv,125000000,674.48,221.49,GTY029 clump 25C 11,2368672.8899999997,973.9811295336788,2.895,534.66,26008845.04913077,1068140.312421265,0.04106834849465808,439.3211295336788,-35,25
GTY029 clump 25C 11 08 m-50.csv,125000000,674.48,221.49,GTY029 clump 25C 11,3078841.28,966.6772909522552,3.7910000000000004,534.66,26008845.04913077,1375474.5527840764,0.05288487628673252,432.0172909522553,-50,25
GTY029 clump 25C 12 02 m-25.csv,105000000,587.23,213.72,GTY029 clump 25C 12,568309.83,726.7078090430673,0.9311,531.54,9995856.89090452,152616.73553371968,0.015267999252029055,195.16780904306734,-25,25
GTY029 clump 25C 12 02 m-35.csv,105000000,587.23,213.72,GTY029 clump 25C 12,1047695.81,717.6135187417484,1.7421,531.54,9995856.89090452,272242.1071638531,0.027235494678957743,186.07351874174844,-35,25
GTY029 clump 25C 12 02 m-50.csv,105000000,587.23,213.72,GTY029 clump 25C 12,2369222.63,703.2453366583541,4.01,531.54,9995856.89090452,578263.5424540186,0.057850322265037134,171.7053366583541,-50,25
GTY029 clump 25C 12 03 m-25.csv,177000000,620.51,339.86,GTY029 clump 25C 12,2292621.91,767.0174691011237,3.56,531.54,25394594.944150507,704039.4641807342,0.02772398873575676,235.4774691011237,-25,25
GTY029 clump 25C 12 03 m-35.csv,177000000,620.51,339.86,GTY029 clump 25C 12,3057971.79,762.0474497907949,4.78,531.54,25394594.944150507,925359.5448055763,0.036439232318557904,230.5074497907949,-35,25
GTY029 clump 25C 12 03 m-50.csv,177000000,620.51,339.86,GTY029 clump 25C 12,4787201.31,748.7922500985156,7.613,531.54,25394594.944150507,1389049.61787184,0.054698632560461424,217.25225009851567,-50,25
