filename,RawCellIntDen,RawCellMean,CellVolume_um3,ItemName,RawMitoIntDen,RawMitoMean,MitoVolume_um3,ExtracellularBackground,CellIntDenCorr,MitoIntDenCorr,FractionInMito,MitoMeanCorr,MitoThresh,Temp
GTY029 colony 25C 01 m-25.csv,107000000,664.05,192.64,GTY029 colony 25C,3642809.79,898.7849357646083,4.826,538.44,20322088.1834215,1460506.1392458212,0.07186791662666257,360.3449357646083,-25,25
GTY029 colony 25C 01 m-35.csv,107000000,664.05,192.64,GTY029 colony 25C,4177782.18,893.6577685950414,5.566,538.44,20322088.1834215,1660487.1924078274,0.08170849262244771,355.2177685950413,-35,25
GTY029 colony 25C 01 m-50.csv,107000000,664.05,192.64,GTY029 colony 25C,5364323.9399999995,880.258747947738,7.2481,538.44,20322088.1834215,2080739.4532627861,0.10238807323748486,341.81874794773796,-50,25
GTY029 colony 25C 02 m-25.csv,128000000,722.15,210.46,GTY029 colony 25C,4029680.4899999998,1064.384412677305,4.5120000000000005,538.44,32471324.934912223,1992996.716217351,0.06137712952003812,525.9444126773049,-25,25
GTY029 colony 25C 02 m-35.csv,128000000,722.15,210.46,GTY029 colony 25C,4559888.529999999,1058.576185185185,5.13,538.44,32471324.934912223,2240949.5506844707,0.06901318486930809,520.136185185185,-35,25
GTY029 colony 25C 02 m-50.csv,128000000,722.15,210.46,GTY029 colony 25C,5689651.04,1047.2280358799878,6.466,538.44,32471324.934912223,2762932.2583354334,0.08508837455427663,508.7880358799878,-50,25
GTY029 colony 25C 03 m-25.csv,166000000,723.5,273.5,GTY029 colony 25C,6720806.69,987.9345524138782,8.099,538.44,42507692.95372469,3057408.5663895183,0.07192600571661033,449.4945524138782,-25,25
GTY029 colony 25C 03 m-35.csv,166000000,723.5,273.5,GTY029 colony 25C,7714752.33,981.8044058559519,9.358,538.44,42507692.95372469,3484508.3648274103,0.08197359401792903,443.3644058559519,-35,25
GTY029 colony 25C 03 m-50.csv,166000000,723.5,273.5,GTY029 colony 25C,9906304.45,969.4818930244022,12.171,538.44,42507692.95372469,4405988.813303097,0.10365156297942599,431.04189302440216,-50,25
GTY029 colony 25C 04 m-25.csv,133000000,709.17,223.07,GTY029 colony 25C,1534842.32,1229.8583984112022,1.4854,538.44,31985169.31216929,862545.4682119759,0.026967044000727115,691.4183984112021,-25,25
GTY029 colony 25C 04 m-35.csv,133000000,709.17,223.07,GTY029 colony 25C,1977035.96,1186.0318430068521,1.9848000000000001,538.44,31985169.31216929,1079482.9008146469,0.033749482151527635,647.5918430068521,-35,25
GTY029 colony 25C 04 m-50.csv,133000000,709.17,223.07,GTY029 colony 25C,2855638.5,1134.9087623977293,2.9945,538.44,31985169.31216929,1500063.5836062822,0.04689872262253613,596.4687623977293,-50,25
GTY029 colony 25C 05 m-25.csv,215000000,733.17,348.49,GTY029 colony 25C,8573499.06,1046.7770046550734,9.7528,538.44,56992909.8009574,4163692.9024943304,0.073056331340787,508.3370046550733,-25,25
GTY029 colony 25C 05 m-35.csv,215000000,733.17,348.49,GTY029 colony 25C,10170894.08,1027.4932281714043,11.785,538.44,56992909.8009574,4840423.52733686,0.08493027543674474,489.05322817140427,-35,25
