ItemName,ExtracellularBackground
GTY029 clump 25C,531.36
GTY029 clump 25C 2,530.92
GTY029 clump 25C 3,531.38
GTY029 clump 25C 4,532.04
GTY029 clump 25C 5,529.46
GTY029 clump 25C 6,530.91
GTY029 clump 25C 7,524.18
GTY029 clump 25C 8,511.18
GTY029 clump 25C 9,518.21
GTY029 clump 25C 10,542.58
GTY029 clump 25C 11,534.66
GTY029 clump 25C 12,531.54
GTY029 clump 25C 13,525.11
GTY029 clump 25C 14,522.38
GTY029 clump 25C 16,511.87
GTY029 clump 25C 17,523.2
GTY029 clump 25C 18,517.56
GTY029 clump 36C,507.62
GTY029 clump 36C 2,497.15
GTY029 clump 36C 3,494.06
GTY029 clump 36C 4,487.19
GTY029 clump 36C 5,487.74
GTY029 clump 36C 6,488.38
GTY029 clump 36C 7,492.3
GTY029 clump 36C 8,491.06
GTY029 clump 36C 9,494.68
GTY029 clump 36C 10,494
GTY029 clump 36C 11,494.56
GTY029 clump 36C 12,494.29
GTY029 clump 36C 13,506.27
GTY029 clump 36C 14,498.96
GTY029 clump 36C 15,500.77
GTY029 clump 36C 16,486.94
GTY029 clump 36C 17,486.72
GTY029 clump 36C 18,488.82
