ItemName,ExtracellularBackground
GTY029 colony 25C,538.44
GTY029 colony 25C 2,539.36
GTY029 colony 25C 3,535.86
GTY029 colony 25C 4,530.22
GTY029 colony 25C 5,526.45
GTY029 colony 25C 7,510.62
GTY029 colony 25C 8,510.86
GTY029 colony 25C 9,502.82
GTY029 colony 25C 10,509.94
GTY029 colony 25C 11,506.45
GTY029 colony 25C 12,512.82
GTY029 colony 25C 13,516.83
GTY029 colony 25C 14,511.9
GTY029 colony 25C 16,514.17
GTY029 colony 25C 17,508.39
GTY029 colony 36C,496.95
GTY029 colony 36C 5,460.69
GTY029 colony 36C 6,483.89
GTY029 colony 36C 7,484.09
GTY029 colony 36C 8,484.87
GTY029 colony 36C 9,487.94
GTY029 colony 36C 10,498.21
GTY029 colony 36C 11,505.4
GTY029 colony 36C 12,504.83
GTY029 colony 36C 13,509.95
GTY029 colony 36C 14,500.88
GTY029 colony 36C 15,515.13
GTY029 colony 36C 17,487.97
