filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID
GTY029 clump 25C 01 m-25.csv,ROIs 1,1,193.76,454,1051,691.7,113000000,80.99,225,1347,394.5,64196342,96.47,237.51,2079.93,680.89,111000000,184.61,NA,NA,NA,GTY029 clump 25C,ROIs,Object,1e-6,14454.39,390.61,63564328,521.81,5,NA
GTY029 clump 25C 01 m-25.csv,Mito 1,2,0.198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.83,1255.76,825.83,137088.03,141.01,16.91,18.63,1.06,GTY029 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 clump 25C 01 m-25.csv,Mito 8,9,0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701.41,1439.31,1060.19,187653.33,144.63,14.67,18.83,1.57,GTY029 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 clump 25C 01 m-25.csv,Mito 15,16,0.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.37,1498.26,877.2,257018.2,190.43,15.12,23.81,2.64,GTY029 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 clump 25C 01 m-25.csv,Mito 19,20,0.0679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589.47,1176.33,906.88,51691.92,177.99,15.12,21.97,2.93,GTY029 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 clump 25C 01 m-25.csv,Mito 20,21,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344.94,1688.86,824.1,1021056.38,235.09,15.87,19.65,3.19,GTY029 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 clump 25C 01 m-35.csv,ROIs 1,1,193.76,454,1051,691.7,113000000,80.99,225,1347,394.5,64196342,96.47,237.51,2079.93,680.89,111000000,184.61,NA,NA,NA,GTY029 clump 25C,ROIs,Object,1e-6,14454.39,390.61,63564328,521.81,4,NA
GTY029 clump 25C 01 m-35.csv,Mito 1,2,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,559.83,1255.76,825.69,170092.06,142.25,16.9,18.64,1.05,GTY029 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 clump 25C 01 m-35.csv,Mito 8,9,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701.41,1439.31,1051.25,222865.08,146.28,14.67,18.84,1.59,GTY029 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 clump 25C 01 m-35.csv,Mito 13,14,0.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379.78,1498.26,877.35,298300.56,197.52,15.13,23.82,2.65,GTY029 clump 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
