
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","401.63","465","1750","730.1","2.46e+08","86.92","233","2191","470.27","1.59e+08","157.36","212.18","29151.48","722","2.44e+08","256.49","N/A","N/A","N/A","GTY029 clump 25C 3","ROIs","Object","1596","3263","2122.8","34096366","177.9","1984","4059","2659.9","42723276","224.43","0.000001","30453.33","483.33","1.63e+08","937.34","10","N/A"
"Mito 1","2","0.152","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","661.98","1278.86","892.36","114222.09","117.99","53.01","9.45","0.968","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 2","3","0.101","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","704.07","1144.58","884.67","75196.71","101.43","49.06","11.1","0.784","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","8","0.888","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","614.68","1731.98","1114.26","831236.31","173.49","53.43","11.2","1.81","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 13","14","2.68","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","339.83","2137.22","989.58","2224583","248.87","52.66","9","3","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 16","17","0.336","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","391.22","1415.32","922.21","260062.3","214.42","50.13","6.93","2.35","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 25","26","0.63","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","462.45","1698.51","1083.11","572962.62","212.27","45.64","10.94","2.55","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 26","27","0.131","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","439.77","1179.07","847.51","93225.95","166.33","50.3","11.19","2.65","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 35","36","0.466","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","482.46","1665.96","893.09","349196.66","210.91","47.44","9.87","3.73","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 44","45","0.154","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","390.49","1158.88","738.89","95317.33","218.29","46.04","10.33","3.72","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 45","46","2.91","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","366.18","2835.57","998.86","2444213.5","231.15","49.24","11.07","2.5","GTY029 clump 25C 3","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
