filename,Name,ID,Volume (µm³),Min (roGFP 470),Max (roGFP 470),Mean (roGFP 470),Sum (roGFP 470),Standard Deviation (roGFP 470),Min (mCherry double),Max (mCherry double),Mean (mCherry double),Sum (mCherry double),Standard Deviation (mCherry double),"Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))",Centroid X (µm),Centroid Y (µm),Centroid Z (µm),Item Name,Population,Type,"Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))",Number of contained Mito,Compartment ROIs ID
GTY029 colony 25C 01 m-25.csv,ROIs 1,1,192.64,450,899,654.15,106000000,65.35,214,1914,420.03,67953734,145.01,276.51,2121.86,664.05,107000000,159.79,NA,NA,NA,GTY029 colony 25C,ROIs,Object,0.0012,19027.75,446.6,72252408,704.82,6,NA
GTY029 colony 25C 01 m-25.csv,Mito 2,3,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654.6,1310.21,901.06,562262.75,112.99,8.81,31.51,1.09,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-25.csv,Mito 8,9,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.18,1527.53,910.16,1727490.13,175.27,5.2,27.97,1.55,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-25.csv,Mito 15,16,0.133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650.03,1216.79,939.42,105215.17,124.27,7.3,31.12,1.65,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-25.csv,Mito 17,18,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,571.97,1304.45,943.69,187795.2,152.14,7.7,30.06,2.01,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-25.csv,Mito 23,24,0.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.72,1925.74,885.37,672883.13,267.26,4.25,29.27,3.05,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-25.csv,Mito 24,25,0.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.32,1435.01,841.66,387163.41,176.25,6.17,29.98,2.77,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-35.csv,ROIs 1,1,192.64,450,899,654.15,106000000,65.35,214,1914,420.03,67953734,145.01,276.51,2121.86,664.05,107000000,159.79,NA,NA,NA,GTY029 colony 25C,ROIs,Object,0.0012,19027.75,446.6,72252408,704.82,5,NA
GTY029 colony 25C 01 m-35.csv,Mito 3,4,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,646.32,1310.21,895.99,640630.88,115.1,8.81,31.51,1.11,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-35.csv,Mito 16,17,0.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,650.03,1216.79,925.26,119359.17,130.12,7.29,31.13,1.65,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-35.csv,Mito 19,20,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.18,1527.53,907.83,2216010,173.91,5.47,28.17,1.58,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-35.csv,Mito 25,26,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,438.72,1925.74,883.77,752975.63,267.82,4.25,29.27,3.05,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-35.csv,Mito 26,27,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,464.32,1435.01,834.21,448806.5,180.95,6.18,29.98,2.78,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-50.csv,ROIs 1,1,192.64,450,899,654.15,106000000,65.35,214,1914,420.03,67953734,145.01,276.51,2121.86,664.05,107000000,159.79,NA,NA,NA,GTY029 colony 25C,ROIs,Object,0.0012,19027.75,446.6,72252408,704.82,6,NA
GTY029 colony 25C 01 m-50.csv,Mito 1,2,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,610.69,1310.21,885.8,783047.94,120.34,8.81,31.51,1.11,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-50.csv,Mito 8,9,3.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,407.2,1527.53,894.53,2894705,178.1,5.45,28.15,1.57,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
GTY029 colony 25C 01 m-50.csv,Mito 15,16,0.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,550.96,1220.76,907.45,161525.66,134.96,7.28,31.13,1.66,GTY029 colony 25C,Mito,Object,NA,NA,NA,NA,NA,NA,1
