
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","223.07","453","1207","696.83","1.31e+08","78.83","206","1165","321.31","60193619","63.22","204.91","7673.57","709.17","1.33e+08","215.22","N/A","N/A","N/A","GTY029 colony 25C","ROIs","Object","1286","3359","2023.41","18050856","251.15","1636","4278","2578.15","22999697","303.62","43.59","8872.92","331.03","62014724","255.34","11","N/A"
"Mito 39","40","0.0333","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","610.5","1007.7","827.58","23172.16","118.66","56.43","29.47","4.07","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 38","39","0.838","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","568.94","2107.26","1116.28","785859.44","282.1","59.03","27.61","3.25","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 37","38","0.0357","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","604.99","1401.03","868.51","26055.32","215.32","57.66","26.55","3.92","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 36","37","0.0786","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","745.2","1270","967.05","63825.06","128.1","59.49","26.42","4.19","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 34","35","0.179","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","568.34","1492.05","944.39","141658.17","200.26","58.38","25.77","4.02","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 29","30","0.0738","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","574.45","1585.22","1020.78","63288.63","228.56","59.17","24.95","3.26","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 18","19","0.0214","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1054.78","1275.45","1179.66","21233.85","54.04","58.68","24.69","1.9","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 14","15","0.138","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","916.99","1989.05","1423.97","165180.67","217.59","57.38","27.61","1.64","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","13","0.0667","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","856.73","1330.46","1047.2","58642.93","113.33","58.23","27.91","1.14","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 11","12","0.21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","712.28","1522.08","1015.55","178736.89","215.82","57.26","26.39","1.29","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 7","8","1.32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","647.02","2399.39","1196.38","1327985.38","346.24","60.13","25.51","2.16","GTY029 colony 25C","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
