
"Name","ID","Volume (µm³)","Min (roGFP 470)","Max (roGFP 470)","Mean (roGFP 470)","Sum (roGFP 470)","Standard Deviation (roGFP 470)","Min (mCherry double)","Max (mCherry double)","Mean (mCherry double)","Sum (mCherry double)","Standard Deviation (mCherry double)","Min (roGFP 470 (DCI: 60 its, roGFP 470))","Max (roGFP 470 (DCI: 60 its, roGFP 470))","Mean (roGFP 470 (DCI: 60 its, roGFP 470))","Sum (roGFP 470 (DCI: 60 its, roGFP 470))","Standard Deviation (roGFP 470 (DCI: 60 its, roGFP 470))","Min (mCherry double (DCI: 60 its, mCherry double))","Max (mCherry double (DCI: 60 its, mCherry double))","Mean (mCherry double (DCI: 60 its, mCherry double))","Sum (mCherry double (DCI: 60 its, mCherry double))","Standard Deviation (mCherry double (DCI: 60 its, mCherry double))","Centroid X (µm)","Centroid Y (µm)","Centroid Z (µm)","Item Name","Population","Type","Min (Trans)","Max (Trans)","Mean (Trans)","Sum (Trans)","Standard Deviation (Trans)","Min (Trans (bg corrected))","Max (Trans (bg corrected))","Mean (Trans (bg corrected))","Sum (Trans (bg corrected))","Standard Deviation (Trans (bg corrected))","Number of contained Mito","Compartment ROIs ID"
"ROIs 1","1","318.96","405","832","593.44","1.59e+08","46.35","196","956","300.79","80573845","73.14","261.61","1656.52","592.7","1.59e+08","96.92","40.21","4302.09","306.13","82005552","198.13","N/A","N/A","N/A","GTY029 colony 36C 15","ROIs","Object","1409","2893","2012.35","25669536","185.71","1777","3742","2571.11","32797100","239.83","9","N/A"
"Mito 4","5","0.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","653.61","916","761.22","63942.81","59.38","N/A","N/A","N/A","N/A","N/A","10.14","17.98","1.14","GTY029 colony 36C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 12","13","0.112","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","545.7","847.73","689.21","64785.71","69.45","N/A","N/A","N/A","N/A","N/A","2.35","18.41","2.29","GTY029 colony 36C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 17","18","0.0143","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","636.33","793.99","722.65","8671.76","51.6","N/A","N/A","N/A","N/A","N/A","1.85","17.28","2.15","GTY029 colony 36C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 18","19","0.115","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","530.93","777.14","637.91","61877.65","59.66","N/A","N/A","N/A","N/A","N/A","3.58","19.02","2.6","GTY029 colony 36C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 22","23","0.0119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","657.04","770.52","708.57","7085.74","38.33","N/A","N/A","N/A","N/A","N/A","4.08","15.18","2.49","GTY029 colony 36C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 24","25","0.23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","416.52","833","633.69","122302.72","93.96","N/A","N/A","N/A","N/A","N/A","5.75","18.32","2.83","GTY029 colony 36C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 25","26","5.41","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","414.35","1034.4","696.55","3163729.5","100.76","N/A","N/A","N/A","N/A","N/A","8","19.12","2.35","GTY029 colony 36C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 32","33","0.748","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","393.43","961.94","693.22","435343.13","118.93","N/A","N/A","N/A","N/A","N/A","9.61","17.05","2.35","GTY029 colony 36C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
"Mito 34","35","0.341","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","419.42","773.05","581.03","166173.86","66.15","N/A","N/A","N/A","N/A","N/A","9.55","18.75","3.97","GTY029 colony 36C 15","Mito","Object","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1"
