SARS-CoV-2 RNA Levels in Wastewater for Sewershed 838 Treatment plant in New York
Date generated: Thu Jul 21 2022 09:07:51 GMT-0400 (Eastern Daylight Time)
Week Ending Date,Normalized SARS-CoV-2 concentration in wastewater
2022-03-17,N/A
2022-03-18,N/A
2022-03-19,N/A
2022-03-20,N/A
2022-03-21,8147562.195
2022-03-22,7805880.14
2022-03-23,7471330.218
2022-03-24,7151113.636
2022-03-25,6852431.603
2022-03-26,6582485.329
2022-03-27,6348476.02
2022-03-28,6157604.886
2022-03-29,6016117.08
2022-03-30,5926433.527
2022-03-31,5890019.1
2022-04-01,5908338.67
2022-04-02,5982857.108
2022-04-03,6115039.286
2022-04-04,6306350.075
2022-04-05,6558254.346
2022-04-06,6872358.578
2022-04-07,7250835.685
2022-04-08,7696000.189
2022-04-09,8210166.611
2022-04-10,8795649.472
2022-04-11,9454763.293
2022-04-12,10189822.598
2022-04-13,11003141.905
2022-04-14,11896364.252
2022-04-15,12868446.727
2022-04-16,13917674.933
2022-04-17,15042334.474
2022-04-18,16240710.952
2022-04-19,17509745.558
2022-04-20,18841001.83
2022-04-21,20224698.897
2022-04-22,21651055.886
2022-04-23,23110291.922
2022-04-24,24592626.133
2022-04-25,26088277.646
2022-04-26,27588777.46
2022-04-27,29090904.063
2022-04-28,30592747.816
2022-04-29,32092399.078
2022-04-30,33587948.21
2022-05-01,35077485.572
2022-05-02,36559101.525
2022-05-03,38030886.428
2022-05-04,39490930.641
2022-05-05,40927951.474
2022-05-06,42293174.028
2022-05-07,43528450.351
2022-05-08,44575632.493
2022-05-09,45376572.503
2022-05-10,45886023.575
2022-05-11,46110343.48
2022-05-12,46068791.134
2022-05-13,45780625.45
2022-05-14,45265105.346
2022-05-15,44541489.736
2022-05-16,43629037.535
2022-05-17,42547982.536
2022-05-18,41322458.036
2022-05-19,39977572.209
2022-05-20,38538433.23
2022-05-21,37030149.272
2022-05-22,35477828.511
2022-05-23,33906579.119
2022-05-24,32336176.795
2022-05-25,30765067.324
2022-05-26,29186364.017
2022-05-27,27597775.445
2022-05-28,26015391.217
2022-05-29,24459896.208
2022-05-30,22951975.289
2022-05-31,21512313.333
2022-06-01,20158654.51
2022-06-02,18896980.187
2022-06-03,17730331.028
2022-06-04,16661747.697
2022-06-05,15694270.859
2022-06-06,14830941.179
2022-06-07,14073241.08
2022-06-08,13416420.028
2022-06-09,12854169.249
2022-06-10,12380179.966
2022-06-11,11988143.406
2022-06-12,11671750.794
2022-06-13,11424693.354
2022-06-14,11240662.312
2022-06-15,11113348.893
2022-06-16,11037939.303
2022-06-17,11015599.676
2022-06-18,11048991.127
2022-06-19,11140774.769
2022-06-20,11293611.718
2022-06-21,11510163.088
2022-06-22,11790377.647
2022-06-23,12123354.777
2022-06-24,12495481.512
2022-06-25,12893144.887
2022-06-26,13302731.937
2022-06-27,13710629.697
2022-06-28,14103225.2
2022-06-29,14470246.284
2022-06-30,14814783.986
2022-07-01,15143270.144
2022-07-02,15462136.597
2022-07-03,15777815.184
2022-07-04,16096737.744
2022-07-05,16425336.116
2022-07-06,16770042.137
2022-07-07,17135677.467
2022-07-08,17520623.041
2022-07-09,17921649.613
2022-07-10,18335527.938
2022-07-11,18759028.771
2022-07-12,19188922.867
2022-07-13,19621980.979
2022-07-14,N/A
2022-07-15,N/A
2022-07-16,N/A
2022-07-17,N/A
