SARS-CoV-2 RNA Levels in Wastewater for Sewershed 500 Treatment plant in New York City
Date generated: Tue Jan 17 2023 12:52:31 GMT-0500 (Eastern Standard Time)
Week Ending Date,Normalized SARS-CoV-2 concentration in wastewater
2022-09-10,1425846265.314
2022-09-11,1398969980.125
2022-09-12,1371366725.165
2022-09-13,1345739586.1
2022-09-14,1324167367.416
2022-09-15,1306442450.21
2022-09-16,1291785609.738
2022-09-17,1279417621.254
2022-09-18,1268559260.013
2022-09-19,1258431301.269
2022-09-20,1248254520.275
2022-09-21,1237249692.288
2022-09-22,1224637592.56
2022-09-23,1209638996.347
2022-09-24,1191474678.902
2022-09-25,1169365415.481
2022-09-26,1143067378.155
2022-09-27,1114478326.269
2022-09-28,1085870125.079
2022-09-29,1058869476.226
2022-09-30,1034941790.445
2022-10-01,1015552478.472
2022-10-02,1002166951.043
2022-10-03,995801047.808
2022-10-04,995672324.08
2022-10-05,1000637488.026
2022-10-06,1009908143.574
2022-10-07,1022784618.588
2022-10-08,1038567240.936
2022-10-09,1056556338.482
2022-10-10,1076081119.212
2022-10-11,1096586311.581
2022-10-12,1117368101.854
2022-10-13,1137012987.059
2022-10-14,1153930041.913
2022-10-15,1166528341.134
2022-10-16,1173216959.44
2022-10-17,1172867366.771
2022-10-18,1166200613.952
2022-10-19,1154400147.031
2022-10-20,1138649412.056
2022-10-21,1120131855.074
2022-10-22,1100030922.133
2022-10-23,1079530059.281
2022-10-24,1060002879.345
2022-10-25,1043583662.27
2022-10-26,1032186712.183
2022-10-27,1026085762.823
2022-10-28,1025144405.332
2022-10-29,1029226230.852
2022-10-30,1038194830.523
2022-10-31,1051648362.843
2022-11-01,1068123255.729
2022-11-02,1086127558.715
2022-11-03,1105117538.391
2022-11-04,1124786515.613
2022-11-05,1144827811.233
2022-11-06,1164934746.106
2022-11-07,1184800641.086
2022-11-08,1204118817.027
2022-11-09,1222599763.797
2022-11-10,1240022647.32
2022-11-11,1256183802.532
2022-11-12,1270879564.371
2022-11-13,1283906267.774
2022-11-14,1295187420.024
2022-11-15,1305155217.785
2022-11-16,1314438215.149
2022-11-17,1323941706.546
2022-11-18,1334640171.488
2022-11-19,1347508089.487
2022-11-20,1363519940.057
2022-11-21,1383354158.038
2022-11-22,1406504999.584
2022-11-23,1432170676.178
2022-11-24,1459549399.303
2022-11-25,1487839380.439
2022-11-26,1516238831.07
2022-11-27,1543945962.679
2022-11-28,1570158986.746
2022-11-29,1593959023.048
2022-11-30,1613958824.529
2022-12-01,1629270285.123
2022-12-02,1641470229.554
2022-12-03,1652751715.245
2022-12-04,1665307799.616
2022-12-05,1681331540.09
2022-12-06,1702824074.658
2022-12-07,1731018863.585
2022-12-08,1766551944.286
2022-12-09,1808437340.481
2022-12-10,1855283572.467
2022-12-11,1905699160.545
2022-12-12,1958516410.15
2022-12-13,2013462767.282
2022-12-14,2070365035.579
2022-12-15,2128552308.684
2022-12-16,2187229252.741
2022-12-17,2245600533.893
2022-12-18,2302870818.283
2022-12-19,2357777749.012
2022-12-20,2407190877.004
2022-12-21,2448157616.043
2022-12-22,2480304923.518
2022-12-23,2503904642.725
2022-12-24,2519228616.955
2022-12-25,2526548689.502
2022-12-26,2526136703.659
2022-12-27,2518264502.721
2022-12-28,2503203929.978
2022-12-29,2481226828.726
2022-12-30,2452605042.258
2022-12-31,2417610413.866
2023-01-01,2376514786.843
2023-01-02,2329590004.484
2023-01-03,2277107910.081
2023-01-04,N/A
2023-01-05,N/A
2023-01-06,N/A
2023-01-07,N/A
2023-01-08,N/A
2023-01-09,N/A
2023-01-10,N/A
