Wastewater Surveillance Data
Date generated: Thu Oct 12 2023 10:06:15 GMT-0400 (Eastern Daylight Time)
Jurisdiction,Sewershed ID,Reporting Jurisdiction,County,Population Served,Current virus levels in wastewater by site (in %),Percent change in the last 15 days ,Percent of wastewater samples with detectable virus 
Alabama,1394,Alabama,Shelby,11000,N/A,N/A,N/A
Alabama,1464,Alabama,Lee,72000,N/A,N/A,N/A
Alabama,1778,Alabama,Marshall,9000,N/A,N/A,N/A
Alabama,1664,Alabama,Jefferson,95000,55,-4,100
Alabama,1688,Alabama,Jefferson,77000,77.33,-1,100
Alabama,1719,Alabama,Jefferson,200000,61.17,0,100
Alabama,1333,Alabama,Colbert,19000,N/A,N/A,N/A
Alabama,1716,Alabama,Jefferson,30000,54.86,-31,83
Alabama,1718,Alabama,Jefferson,225000,65.14,-23,100
Alaska,1158,Alaska,Anchorage,15000,N/A,N/A,N/A
Alaska,1172,Alaska,Anchorage,200000,N/A,N/A,N/A
Alaska,2277,Alaska,Anchorage,220000,40.71,-7,100
Alaska,1490,Alaska,Juneau,10000,N/A,N/A,N/A
Alaska,1491,Alaska,Juneau,20000,N/A,N/A,N/A
Arizona,1271,Arizona,Pima,23000,N/A,N/A,N/A
Arizona,501,Arizona,La Paz,3500,N/A,N/A,N/A
Arizona,808,Arizona,Mohave,37500,N/A,N/A,N/A
Arizona,1054,Arizona,Yuma,10873,N/A,N/A,N/A
Arizona,1055,Arizona,Yuma,19000,N/A,N/A,N/A
Arizona,1055,Arizona,Yuma,4725,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,23746,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,142520,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,64521,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,6500,N/A,N/A,N/A
Arizona,1382,Arizona,Maricopa,50000,84,168,100
Arizona,1383,Arizona,Maricopa,2400000,82.6,27,100
Arizona,2390,Arizona,Pima,397407,64.6,249,100
Arizona,590,Arizona,Pima,347900,70.4,61,100
Arizona,1382,Arizona,Maricopa,50000,N/A,N/A,N/A
Arizona,1383,Arizona,Maricopa,2400000,N/A,N/A,N/A
Arizona,590,Arizona,Pima,347900,N/A,N/A,N/A
Arizona,715,Arizona,Pima,397407,N/A,N/A,N/A
Arizona,1053,Arizona,Yuma,8271,N/A,N/A,N/A
Arizona,1059,Arizona,Yuma,18039,N/A,N/A,N/A
Arizona,1061,Arizona,Yuma,25369,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,53578,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,17280,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,9430,N/A,N/A,N/A
Arizona,1212,Arizona,Maricopa,9848,N/A,N/A,N/A
