CentreXabs	CentreYabs
2075.67	-220.43
1642.64	-224.94
2037.43	-174.49
1698.82	-179.76
2032.02	34.91
1569.41	12.64
1910.43	74.22
2094	95.07
2130.94	120.75
1573.66	86.51
1857.24	118.69
1753.5	129.05
1592.63	150.17
1990.61	186.09
1620.22	193.28
2149.44	183.64
1927.12	238.89
2146.74	207.89
1863.28	221.01
2055.42	237.08
1670.29	269.97
1855.66	279.17
1994.6	314.2
1633.07	324.52
1878.34	348.08
1933.67	355.02
1593.29	392.62
2092.92	383.21
1681.31	478
1896.25	444.42
1567.04	448.14
1945.97	534.12
1590.49	499.96
1654.91	551.7
2071.36	581.74
2127.81	637.81
1884.71	700.19
1991.59	750.33
1892.98	725.67
1924.11	773.94
1607.15	790.57
1675.91	792.31
1719.58	804.78
1962.15	871.92
1889.04	900.89
1696.69	907.67
