Item,Source,FieldID,BinaryID,RoiID,ObjID,ND.T,ND.M,ND.Z,Class,Area,EqDiameter,Circularity,CentreX,CentreY,CentreXabs,CentreYabs,StgPosX,StgPosY,MeanIntensity,MeanRatio,MeanCa2+,MeanCorrFRET,MeanFRETEff,MeanTitration,Pfs_offset,Z,Z1,Z2
1,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,1,N/A,2,1,,2467.54,56.05,0.821,77.47,27.62,2075.67,-220.43,1853.4,336.3,266.42,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
2,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,2,N/A,2,1,,1177.48,38.72,0.772,510.53,27.09,1642.64,-224.94,1853.4,336.3,592.37,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
3,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,3,N/A,2,1,,3623.83,67.93,0.744,115.29,73.91,2037.43,-174.49,1853.4,336.3,290.32,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
4,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,4,N/A,2,1,,680.79,29.44,0.767,453.94,71.75,1698.82,-179.76,1853.4,336.3,636.18,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
5,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,5,N/A,2,1,,22079.38,167.67,0.701,118.78,283.35,2032.02,34.91,1853.4,336.3,413.6,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
6,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,6,N/A,2,1,,504.63,25.35,0.429,581.58,265.33,1569.41,12.64,1853.4,336.3,338.33,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
7,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,7,N/A,2,1,,3965.55,71.06,0.835,240,323.77,1910.43,74.22,1853.4,336.3,413.3,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
8,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,8,N/A,2,1,,2964.23,61.43,0.564,56.25,342.94,2094,95.07,1853.4,336.3,350.65,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
9,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,9,N/A,2,1,,4366.87,74.57,0.389,19.07,368.27,2130.94,120.75,1853.4,336.3,326.48,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
10,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,10,N/A,2,1,,900.66,33.86,0.565,576.65,339.16,1573.66,86.51,1853.4,336.3,597.8,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
11,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,11,N/A,2,1,,3340.38,65.22,0.766,292.78,368.73,1857.24,118.69,1853.4,336.3,270.53,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
12,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,12,N/A,2,1,,2749.66,59.17,0.819,396.42,380.04,1753.5,129.05,1853.4,336.3,317.8,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
13,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,13,N/A,2,1,,1368.21,41.74,0.773,557.09,402.63,1592.63,150.17,1853.4,336.3,498.46,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
14,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,14,N/A,2,1,,7215.87,95.85,0.619,158.8,434.91,1990.61,186.09,1853.4,336.3,462.99,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
15,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,15,N/A,2,1,,1741.71,47.09,0.652,529.1,445.5,1620.22,193.28,1853.4,336.3,496.89,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
16,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,16,N/A,2,1,,5.3,2.6,0.405,0,431,2149.44,183.64,1853.4,336.3,266.5,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
17,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,17,N/A,2,1,,3176.15,63.59,0.695,221.8,488.29,1927.12,238.89,1853.4,336.3,447.21,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
18,20190506-3 XYML focus surf single z.nd2,1,Threshold,N/A,18,N/A,2,1,,87.42,10.55,0.322,2.48,455.27,2146.74,207.89,1853.4,336.3,250.42,N/A,N/A,N/A,N/A,N/A,7067,0,0,0
