ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Classify_AreaShape_Area_Bin_1,Classify_AreaShape_Area_Bin_10,Classify_AreaShape_Area_Bin_11,Classify_AreaShape_Area_Bin_12,Classify_AreaShape_Area_Bin_13,Classify_AreaShape_Area_Bin_14,Classify_AreaShape_Area_Bin_15,Classify_AreaShape_Area_Bin_16,Classify_AreaShape_Area_Bin_17,Classify_AreaShape_Area_Bin_18,Classify_AreaShape_Area_Bin_19,Classify_AreaShape_Area_Bin_2,Classify_AreaShape_Area_Bin_20,Classify_AreaShape_Area_Bin_3,Classify_AreaShape_Area_Bin_4,Classify_AreaShape_Area_Bin_5,Classify_AreaShape_Area_Bin_6,Classify_AreaShape_Area_Bin_7,Classify_AreaShape_Area_Bin_8,Classify_AreaShape_Area_Bin_9,Location_Center_X,Location_Center_Y,Number_Object_Number
1,1,2,740.0,131.0,0.78539816339744828,0.99896640799254133,1.0,1.0,0.69813170079773179,2.0900000000000003,1.0,1.0,1.0,1.0,0.0,0.095000000000000001,0.0,6.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739.5,131.0,1
1,2,175,717.0,152.0,1.0021043819991449,0.37097440007256044,1.0,0.83333333333333337,0.95296747226085787,15.544682788411603,15.0,7.0,2.8448813262775299,2.8284271247461903,13.0,14.43546230696411,-78.562142271577471,48.038000000000011,0.94594594594594594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717.37142857142862,151.84,2
1,3,290,824.0,165.0,1.0026509721890342,0.35742311502173602,1.0,0.76315789473684215,0.89630693293046493,19.935088381528836,19.646882704388499,9.0,3.5198419425980063,3.0,18.0,18.61822759927264,-89.89007728370072,63.764000000000024,0.94155844155844159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824.46206896551723,165.47586206896551,3
1,4,32,951.0,179.0,1.0045656684666093,0.5311454502045776,1.0,0.76190476190476186,1.05169212180603,6.98788280549633,6.324555320336759,2.8284271247461903,1.502905632604675,1.4142135623730951,4.9497474683058327,5.9206979303587985,-20.293528950240596,19.553999999999998,0.90140845070422537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,950.15625,179.375,4
1,5,77,622.0,182.0,0.99907123432212142,0.27565931390680792,1.0,0.77000000000000002,0.89961944439131569,10.162044795534628,9.4868329805051381,5.0,2.0468309118129158,2.0,9.0,9.7683204274935438,-87.125007394644669,32.796000000000006,0.91666666666666663,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,621.93506493506493,181.62337662337663,5
1,6,41,810.0,195.0,1.0150314883727383,0.45362497963924875,1.0,0.7321428571428571,0.77848310211582505,7.766263692033549,7.2801098892805181,3.1622776601683795,1.5914313461926459,1.4142135623730951,6.0,6.9212372877647734,-65.305451597110277,25.726000000000003,0.89130434782608692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,809.63414634146341,195.26829268292684,6
1,7,16,680.0,212.0,0.98174770424681035,0.57236935015402846,1.0,0.80000000000000004,1.1346011744716284,4.9817320368524403,4.1231056256176606,2.0,1.228553390593274,1.0,3.0,4.085,0.0,13.311999999999998,0.88888888888888884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,680.0,212.5,7
1,8,111,508.0,218.0,1.0042945122986071,0.37222710369314482,1.0,0.77083333333333337,0.90727544741484645,12.416671582318862,12.041594578792296,5.6568542494923806,2.3279895258825785,2.0,10.606601717798213,11.524430456689348,36.286308799819849,39.210000000000008,0.9173553719008265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.7837837837838,217.6036036036036,8
1,9,29,796.0,218.0,1.0026715820879468,0.53823203459288604,1.0,0.80555555555555558,0.97713227050838813,6.6656853856543066,5.8309518948453007,2.8284271247461903,1.4551744143571528,1.0,4.919349550499537,5.6178176439231002,-49.815584896230007,19.312000000000001,0.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,795.44827586206895,218.41379310344828,9
1,10,25,576.0,230.0,1.4790115558276173,0.85877508876636688,1.0,0.52083333333333337,0.60828046323929896,8.7280646951361067,7.6157731058639087,2.0,1.2097056274847715,1.0,4.270992778072193,4.4718480039401118,-78.805631634875752,22.726000000000006,0.79365079365079361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,576.15999999999997,230.63999999999999,10
