"","proteins$`Gene > Proteins > Systematic Name`","n()"
"1","YJL130C",70
"2","YJL005W",69
"3","YMR229C",61
"4","YCR072C",44
"5","YLR129W",44
"6","YLR222C",44
"7","YPR186C",44
"8","YBR198C",42
"9","YCR057C",42
"10","YNL088W",42
"11","YDL140C",41
"12","YGL206C",41
"13","YCR084C",40
"14","YOR027W",40
"15","YDR127W",39
"16","YIL046W",39
"17","YJL080C",38
"18","YKL193C",38
"19","YPR189W",38
"20","YBL105C",37
"21","YBR208C",37
"22","YGR271W",37
"23","YGR200C",36
"24","YKL012W",36
"25","YKL203C",36
"26","YLR106C",36
"27","YMR116C",36
"28","YOL145C",36
"29","YDL145C",35
"30","YDR270W",35
"31","YER172C",35
"32","YFL009W",35
"33","YFL037W",35
"34","YJL056C",35
"35","YLL039C",35
"36","YER125W",34
"37","YGL137W",34
"38","YHR186C",34
"39","YKL022C",34
"40","YML085C",34
"41","YML124C",34
"42","YBL084C",33
"43","YHR117W",33
"44","YJL112W",33
"45","YJR109C",33
"46","YKL182W",33
"47","YBR218C",32
"48","YGL062W",32
"49","YKR036C",32
"50","YMR207C",32
"51","YNL121C",32
"52","YNL255C",32
"53","YOR212W",32
"54","YOR272W",32
"55","YBL047C",31
"56","YBR112C",31
"57","YDL185W",31
"58","YGL006W",31
"59","YGL008C",31
"60","YGL167C",31
"61","YHR166C",31
"62","YNL006W",31
"63","YNR016C",31
"64","YOR269W",31
"65","YPL036W",31
"66","YPL151C",31
"67","YDR038C",30
"68","YDR039C",30
"69","YDR040C",30
"70","YEL013W",30
"71","YER165W",30
"72","YGR047C",30
"73","YJL159W",30
"74","YJR066W",30
"75","YOR290C",30
"76","YPR178W",30
"77","YBL008W",29
"78","YBR295W",29
"79","YDL171C",29
"80","YDR267C",29
"81","YGL014W",29
"82","YJR137C",29
"83","YLR069C",29
"84","YDR283C",28
"85","YDR385W",28
"86","YGL178W",28
"87","YLL013C",28
"88","YNL163C",28
"89","YAL029C",27
"90","YBR084W",27
"91","YBR281C",27
"92","YDR091C",27
"93","YER164W",27
