"Gene.proteins.secondaryIdentifier","Gene.proteins.symbol","Gene.proteins.proteinDomains.name","Gene.proteins.proteinDomains.start","Gene.proteins.proteinDomains.end","Gene.proteins.proteinDomains.method","Gene.proteins.proteinDomains.id"
"Q0045","Cox1p","G3DSA:1.20.210.10","1","534","GENE3D","1940146"
"Q0045","Cox1p","PF00115","13","460","Pfam","1940147"
"Q0045","Cox1p","PR01165","4","29","PRINTS","1940148"
"Q0045","Cox1p","PR01165","53","76","PRINTS","1940149"
"Q0045","Cox1p","PR01165","81","105","PRINTS","1940150"
"Q0045","Cox1p","PR01165","123","135","PRINTS","1940151"
"Q0045","Cox1p","PR01165","155","173","PRINTS","1940152"
"Q0045","Cox1p","PR01165","184","203","PRINTS","1940153"
"Q0045","Cox1p","PR01165","235","256","PRINTS","1940154"
"Q0045","Cox1p","PR01165","281","296","PRINTS","1940155"
"Q0045","Cox1p","PR01165","305","326","PRINTS","1940156"
"Q0045","Cox1p","PR01165","340","358","PRINTS","1940157"
"Q0045","Cox1p","PR01165","368","387","PRINTS","1940158"
"Q0045","Cox1p","PR01165","418","439","PRINTS","1940159"
"Q0045","Cox1p","PS00077","237","291","PROSITE","1940160"
"Q0045","Cox1p","PS50855","1","534","PROSITE","1940161"
"Q0045","Cox1p","PTHR10422","1","528","PANTHER","1940162"
"Q0045","Cox1p","PTHR10422:SF30","1","528","PANTHER","1940163"
"Q0045","Cox1p","SSF81442","3","529","SUPERFAMILY","1940164"
"Q0050","Ai1p","G3DSA:1.20.210.10","1","104","GENE3D","1940833"
"Q0050","Ai1p","G3DSA:3.30.70.270","340","577","GENE3D","1940834"
"Q0050","Ai1p","PF00078","315","577","Pfam","1940835"
"Q0050","Ai1p","PF01348","602","759","Pfam","1940836"
"Q0050","Ai1p","PS50878","296","577","PROSITE","1940837"
"Q0050","Ai1p","PTHR33642","600","818","PANTHER","1940838"
"Q0050","Ai1p","SM00507","761","820","SMART","1940839"
"Q0050","Ai1p","SSF56672","270","464","SUPERFAMILY","1940840"
"Q0050","Ai1p","SSF56672","514","582","SUPERFAMILY","1940841"
"Q0050","Ai1p","SSF81442","3","148","SUPERFAMILY","1940842"
"Q0055","Ai2p","G3DSA:1.20.210.10","1","141","GENE3D","1940843"
"Q0055","Ai2p","G3DSA:3.30.70.270","377","613","GENE3D","1940844"
"Q0055","Ai2p","G3DSA:3.40.1800.10","775","851","GENE3D","1940845"
"Q0055","Ai2p","PF00078","348","612","Pfam","1940846"
"Q0055","Ai2p","PF01348","638","781","Pfam","1940847"
"Q0055","Ai2p","PR01165","4","29","PRINTS","1940848"
"Q0055","Ai2p","PR01165","53","76","PRINTS","1940849"
"Q0055","Ai2p","PS50855","1","121","PROSITE","1940850"
"Q0055","Ai2p","PS50878","329","613","PROSITE","1940851"
"Q0055","Ai2p","PTHR33642","639","848","PANTHER","1940852"
"Q0055","Ai2p","SM00507","782","842","SMART","1940853"
"Q0055","Ai2p","SSF56672","245","497","SUPERFAMILY","1940854"
"Q0055","Ai2p","SSF56672","550","685","SUPERFAMILY","1940855"
