"Gene > Proteins > Systematic Name","Gene > Proteins > Standard Name","Gene > Proteins > Protein Domains > Name","Gene > Proteins > Protein Domains > Description","Gene > Proteins > Protein Domains > Start","Gene > Proteins > Protein Domains > End","Gene > Proteins > Protein Domains > Method","Gene > Proteins > Protein Domains > Id"
"Q0045","Cox1p","G3DSA:1.20.210.10","Cytochrome c oxidase-like, subunit I domain","1","534","GENE3D","1939335"
"Q0045","Cox1p","PF00115","COX1; Cytochrome c oxidase subunit I","13","460","Pfam","1939336"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","4","29","PRINTS","1939337"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","53","76","PRINTS","1939338"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","81","105","PRINTS","1939339"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","123","135","PRINTS","1939340"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","155","173","PRINTS","1939341"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","184","203","PRINTS","1939342"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","235","256","PRINTS","1939343"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","281","296","PRINTS","1939344"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","305","326","PRINTS","1939345"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","340","358","PRINTS","1939346"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","368","387","PRINTS","1939347"
"Q0045","Cox1p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","418","439","PRINTS","1939348"
"Q0045","Cox1p","PS00077","COX1_CUB; Cytochrome c oxidase, subunit I, copper-binding site","237","291","PROSITE","1939349"
"Q0045","Cox1p","PS50855","COX1; Cytochrome c oxidase-like, subunit I domain","1","534","PROSITE","1939350"
"Q0045","Cox1p","PTHR10422","Cytochrome c oxidase subunit I","1","528","PANTHER","1939351"
"Q0045","Cox1p","PTHR10422:SF30","","1","528","PANTHER","1939352"
"Q0045","Cox1p","SSF81442","Cytochrome c oxidase-like, subunit I domain","3","529","SUPERFAMILY","1939353"
"Q0050","Ai1p","G3DSA:1.20.210.10","Cytochrome c oxidase-like, subunit I domain","1","104","GENE3D","1940022"
"Q0050","Ai1p","G3DSA:3.30.70.270","","340","577","GENE3D","1940023"
"Q0050","Ai1p","PF00078","RVT_1; Reverse transcriptase domain","315","577","Pfam","1940024"
"Q0050","Ai1p","PF01348","Intron_maturas2; Domain X","602","759","Pfam","1940025"
"Q0050","Ai1p","PS50878","RT_POL; Reverse transcriptase domain","296","577","PROSITE","1940026"
"Q0050","Ai1p","PTHR33642","","600","818","PANTHER","1940027"
"Q0050","Ai1p","SM00507","HNHc; HNH nuclease","761","820","SMART","1940028"
"Q0050","Ai1p","SSF56672","","270","464","SUPERFAMILY","1940029"
"Q0050","Ai1p","SSF56672","","514","582","SUPERFAMILY","1940030"
"Q0050","Ai1p","SSF81442","Cytochrome c oxidase-like, subunit I domain","3","148","SUPERFAMILY","1940031"
"Q0055","Ai2p","G3DSA:1.20.210.10","Cytochrome c oxidase-like, subunit I domain","1","141","GENE3D","1940032"
"Q0055","Ai2p","G3DSA:3.30.70.270","","377","613","GENE3D","1940033"
"Q0055","Ai2p","G3DSA:3.40.1800.10","","775","851","GENE3D","1940034"
"Q0055","Ai2p","PF00078","RVT_1; Reverse transcriptase domain","348","612","Pfam","1940035"
"Q0055","Ai2p","PF01348","Intron_maturas2; Domain X","638","781","Pfam","1940036"
"Q0055","Ai2p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","4","29","PRINTS","1940037"
"Q0055","Ai2p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","53","76","PRINTS","1940038"
"Q0055","Ai2p","PS50855","COX1; Cytochrome c oxidase-like, subunit I domain","1","121","PROSITE","1940039"
"Q0055","Ai2p","PS50878","RT_POL; Reverse transcriptase domain","329","613","PROSITE","1940040"
"Q0055","Ai2p","PTHR33642","","639","848","PANTHER","1940041"
"Q0055","Ai2p","SM00507","HNHc; HNH nuclease","782","842","SMART","1940042"
"Q0055","Ai2p","SSF56672","","245","497","SUPERFAMILY","1940043"
"Q0055","Ai2p","SSF56672","","550","685","SUPERFAMILY","1940044"
"Q0055","Ai2p","SSF81442","Cytochrome c oxidase-like, subunit I domain","3","122","SUPERFAMILY","1940045"
"Q0060","Ai3p","G3DSA:1.20.210.10","Cytochrome c oxidase-like, subunit I domain","1","82","GENE3D","1940046"
"Q0060","Ai3p","G3DSA:3.10.28.10","Homing endonuclease","92","232","GENE3D","1940047"
"Q0060","Ai3p","G3DSA:3.10.28.10","Homing endonuclease","234","415","GENE3D","1940048"
"Q0060","Ai3p","PF00115","COX1; Cytochrome c oxidase subunit I","13","81","Pfam","1940049"
"Q0060","Ai3p","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","113","204","Pfam","1940050"
"Q0060","Ai3p","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","245","368","Pfam","1940051"
"Q0060","Ai3p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","4","29","PRINTS","1940052"
"Q0060","Ai3p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","53","76","PRINTS","1940053"
"Q0060","Ai3p","PS50855","COX1; Cytochrome c oxidase-like, subunit I domain","1","81","PROSITE","1940054"
"Q0060","Ai3p","PTHR10422","Cytochrome c oxidase subunit I","114","351","PANTHER","1940055"
"Q0060","Ai3p","PTHR10422:SF30","","114","351","PANTHER","1940056"
"Q0060","Ai3p","SSF55608","Homing endonuclease","107","230","SUPERFAMILY","1940057"
"Q0060","Ai3p","SSF55608","Homing endonuclease","239","411","SUPERFAMILY","1940058"
"Q0060","Ai3p","SSF81442","Cytochrome c oxidase-like, subunit I domain","3","141","SUPERFAMILY","1940059"
"Q0065","Ai4p","G3DSA:1.20.210.10","Cytochrome c oxidase-like, subunit I domain","1","287","GENE3D","1940060"
"Q0065","Ai4p","G3DSA:3.10.28.10","Homing endonuclease","307","419","GENE3D","1940061"
"Q0065","Ai4p","G3DSA:3.10.28.10","Homing endonuclease","425","556","GENE3D","1940062"
"Q0065","Ai4p","PF00115","COX1; Cytochrome c oxidase subunit I","13","252","Pfam","1940063"
"Q0065","Ai4p","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","328","415","Pfam","1940064"
"Q0065","Ai4p","PF00961","LAGLIDADG_1; Homing endonuclease, LAGLIDADG","435","523","Pfam","1940065"
"Q0065","Ai4p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","4","29","PRINTS","1940066"
"Q0065","Ai4p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","53","76","PRINTS","1940067"
"Q0065","Ai4p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","81","105","PRINTS","1940068"
"Q0065","Ai4p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","123","135","PRINTS","1940069"
"Q0065","Ai4p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","155","173","PRINTS","1940070"
"Q0065","Ai4p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","184","203","PRINTS","1940071"
"Q0065","Ai4p","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","213","234","PRINTS","1940072"
"Q0065","Ai4p","PS50855","COX1; Cytochrome c oxidase-like, subunit I domain","1","252","PROSITE","1940073"
"Q0065","Ai4p","PTHR10422","Cytochrome c oxidase subunit I","1","519","PANTHER","1940074"
"Q0065","Ai4p","PTHR10422:SF30","","1","519","PANTHER","1940075"
"Q0065","Ai4p","SSF55608","Homing endonuclease","317","426","SUPERFAMILY","1940076"
"Q0065","Ai4p","SSF55608","Homing endonuclease","429","535","SUPERFAMILY","1940077"
"Q0065","Ai4p","SSF81442","Cytochrome c oxidase-like, subunit I domain","3","278","SUPERFAMILY","1940078"
"Q0070","Ai5_Alphap","G3DSA:1.20.210.10","Cytochrome c oxidase-like, subunit I domain","1","344","GENE3D","1984797"
"Q0070","Ai5_Alphap","G3DSA:3.10.28.10","Homing endonuclease","394","522","GENE3D","1984798"
"Q0070","Ai5_Alphap","G3DSA:3.10.28.10","Homing endonuclease","523","628","GENE3D","1984799"
"Q0070","Ai5_Alphap","PF00115","COX1; Cytochrome c oxidase subunit I","13","326","Pfam","1984800"
"Q0070","Ai5_Alphap","PF03161","LAGLIDADG_2; Homing endonuclease, LAGLIDADG","425","601","Pfam","1984801"
"Q0070","Ai5_Alphap","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","4","29","PRINTS","1984802"
"Q0070","Ai5_Alphap","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","53","76","PRINTS","1984803"
"Q0070","Ai5_Alphap","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","81","105","PRINTS","1984804"
"Q0070","Ai5_Alphap","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","123","135","PRINTS","1984805"
"Q0070","Ai5_Alphap","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","155","173","PRINTS","1984806"
"Q0070","Ai5_Alphap","PR01165","CYCOXIDASEI; Cytochrome c oxidase subunit I","184","203","PRINTS","1984807"
