"","Gene.proteins.secondaryIdentifier","Gene.proteins.symbol","Gene.proteins.proteinDomains.name","Gene.proteins.proteinDomains.start","Gene.proteins.proteinDomains.end","Gene.proteins.proteinDomains.method","Gene.proteins.proteinDomains.id","pid_proteins$Gene.proteins.secondaryIdentifier"
"1","YAL002W","Vps8p","G3DSA:1.25.40.10",423,867,"GENE3D",1963485,"YAL002W"
"2","YAL002W","Vps8p","G3DSA:1.25.40.10",949,1190,"GENE3D",1963486,"YAL002W"
"3","YAL002W","Vps8p","G3DSA:2.130.10.10",42,376,"GENE3D",1963487,"YAL002W"
"4","YAL002W","Vps8p","SSF50978",57,227,"SUPERFAMILY",1963495,"YAL002W"
"5","YAL002W","Vps8p","SSF50978",291,359,"SUPERFAMILY",1963496,"YAL002W"
"6","YAL021C","Ccr4p","G3DSA:2.130.10.10",12,147,"GENE3D",1952633,"YAL021C"
"7","YAL021C","Ccr4p","PF13855",359,409,"Pfam",1952637,"YAL021C"
"8","YAL021C","Ccr4p","PS51450",358,379,"PROSITE",1952638,"YAL021C"
"9","YAL021C","Ccr4p","PS51450",381,402,"PROSITE",1952639,"YAL021C"
"10","YAL029C","Myo4p","PF00612",901,919,"Pfam",1953765,"YAL029C"
"11","YAL029C","Myo4p","PS50096",876,903,"PROSITE",1953772,"YAL029C"
"12","YAL029C","Myo4p","PS50096",899,928,"PROSITE",1953773,"YAL029C"
"13","YAL029C","Myo4p","SM00015",779,801,"SMART",1953778,"YAL029C"
"14","YAL029C","Myo4p","SM00015",827,849,"SMART",1953779,"YAL029C"
"15","YAL029C","Myo4p","SM00015",875,897,"SMART",1953780,"YAL029C"
"16","YAL029C","Myo4p","SM00015",898,920,"SMART",1953781,"YAL029C"
"17","YAL034C","Fun19p","PF04433",334,404,"Pfam",1951773,"YAL034C"
"18","YAL034C","Fun19p","PS50934",316,413,"PROSITE",1951774,"YAL034C"
"19","YAL041W","Cdc24p","PF00564",786,840,"Pfam",1945233,"YAL041W"
"20","YAL041W","Cdc24p","PS51745",761,854,"PROSITE",1945240,"YAL041W"
"21","YAL041W","Cdc24p","SM00033",137,240,"SMART",1945243,"YAL041W"
"22","YAL041W","Cdc24p","SM00666",761,854,"SMART",1945246,"YAL041W"
"23","YAL056W","Gpb2p","G3DSA:2.120.10.80",238,834,"GENE3D",1963590,"YAL056W"
"24","YAL058W","Cne1p","SSF63887",241,381,"SUPERFAMILY",1951722,"YAL058W"
"25","YAR003W","Swd1p","G3DSA:2.130.10.10",177,359,"GENE3D",1963506,"YAR003W"
"26","YAR003W","Swd1p","PF00400",68,100,"Pfam",1963508,"YAR003W"
"27","YAR003W","Swd1p","PS50082",68,109,"PROSITE",1963510,"YAR003W"
"28","YAR003W","Swd1p","PS50294",22,109,"PROSITE",1963511,"YAR003W"
"29","YAR003W","Swd1p","SM00320",16,54,"SMART",1963514,"YAR003W"
"30","YAR003W","Swd1p","SM00320",61,100,"SMART",1963515,"YAR003W"
"31","YAR003W","Swd1p","SM00320",104,144,"SMART",1963516,"YAR003W"
"32","YAR003W","Swd1p","SM00320",203,242,"SMART",1963517,"YAR003W"
"33","YAR003W","Swd1p","SM00320",301,341,"SMART",1963518,"YAR003W"
"34","YAR003W","Swd1p","SSF50978",31,344,"SUPERFAMILY",1963519,"YAR003W"
"35","YAR014C","Bud14p","PF00018",266,312,"Pfam",1951618,"YAR014C"
"36","YAR014C","Bud14p","PS50002",259,320,"PROSITE",1951619,"YAR014C"
"37","YAR014C","Bud14p","SM00326",262,319,"SMART",1951622,"YAR014C"
"38","YAR014C","Bud14p","SSF50044",249,340,"SUPERFAMILY",1951623,"YAR014C"
"39","YAR042W","Swh1p","PS50088",96,118,"PROSITE",1957203,"YAR042W"
"40","YAR042W","Swh1p","PS50088",196,228,"PROSITE",1957204,"YAR042W"
"41","YAR042W","Swh1p","SM00248",96,124,"SMART",1957210,"YAR042W"
"42","YAR042W","Swh1p","SM00248",196,225,"SMART",1957211,"YAR042W"
"43","YBL007C","Sla1p","PF00018",75,123,"Pfam",1954842,"YBL007C"
"44","YBL007C","Sla1p","PF00018",359,407,"Pfam",1954843,"YBL007C"
"45","YBL007C","Sla1p","PF14604",10,66,"Pfam",1954845,"YBL007C"
"46","YBL007C","Sla1p","PR00452",72,82,"PRINTS",1954846,"YBL007C"
"47","YBL007C","Sla1p","PR00452",370,385,"PRINTS",1954847,"YBL007C"
"48","YBL007C","Sla1p","PR00452",401,413,"PRINTS",1954848,"YBL007C"
"49","YBL007C","Sla1p","PS50002",8,70,"PROSITE",1954849,"YBL007C"
"50","YBL007C","Sla1p","PS50002",69,132,"PROSITE",1954850,"YBL007C"
"51","YBL007C","Sla1p","PS50002",353,415,"PROSITE",1954851,"YBL007C"
"52","YBL007C","Sla1p","SM00326",6,69,"SMART",1954854,"YBL007C"
"53","YBL007C","Sla1p","SM00326",72,131,"SMART",1954855,"YBL007C"
"54","YBL007C","Sla1p","SM00326",356,414,"SMART",1954856,"YBL007C"
"55","YBL007C","Sla1p","SSF50044",6,69,"SUPERFAMILY",1954857,"YBL007C"
"56","YBL007C","Sla1p","SSF50044",54,159,"SUPERFAMILY",1954858,"YBL007C"
"57","YBL007C","Sla1p","SSF50044",356,457,"SUPERFAMILY",1954859,"YBL007C"
"58","YBL008W","Hir1p","G3DSA:2.130.10.10",7,132,"GENE3D",1953651,"YBL008W"
"59","YBL008W","Hir1p","G3DSA:2.130.10.10",133,242,"GENE3D",1953652,"YBL008W"
"60","YBL008W","Hir1p","G3DSA:2.130.10.10",243,828,"GENE3D",1953653,"YBL008W"
"61","YBL008W","Hir1p","PF00400",15,45,"Pfam",1953654,"YBL008W"
"62","YBL008W","Hir1p","PF00400",72,106,"Pfam",1953655,"YBL008W"
"63","YBL008W","Hir1p","PF00400",133,165,"Pfam",1953656,"YBL008W"
"64","YBL008W","Hir1p","PF00400",171,206,"Pfam",1953657,"YBL008W"
"65","YBL008W","Hir1p","PS50082",13,48,"PROSITE",1953662,"YBL008W"
"66","YBL008W","Hir1p","PS50082",75,116,"PROSITE",1953663,"YBL008W"
"67","YBL008W","Hir1p","PS50082",133,174,"PROSITE",1953664,"YBL008W"
"68","YBL008W","Hir1p","PS50082",175,206,"PROSITE",1953665,"YBL008W"
"69","YBL008W","Hir1p","PS50294",13,216,"PROSITE",1953666,"YBL008W"
"70","YBL008W","Hir1p","PS50294",310,393,"PROSITE",1953667,"YBL008W"
"71","YBL008W","Hir1p","SM00320",1,45,"SMART",1953670,"YBL008W"
"72","YBL008W","Hir1p","SM00320",68,107,"SMART",1953671,"YBL008W"
"73","YBL008W","Hir1p","SM00320",126,165,"SMART",1953672,"YBL008W"
"74","YBL008W","Hir1p","SM00320",168,207,"SMART",1953673,"YBL008W"
"75","YBL008W","Hir1p","SM00320",243,341,"SMART",1953674,"YBL008W"
"76","YBL008W","Hir1p","SM00320",345,384,"SMART",1953675,"YBL008W"
"77","YBL008W","Hir1p","SSF50978",19,288,"SUPERFAMILY",1953676,"YBL008W"
"78","YBL008W","Hir1p","SSF50978",323,396,"SUPERFAMILY",1953677,"YBL008W"
"79","YBL008W","Hir1p","SSF50978",325,393,"SUPERFAMILY",1953678,"YBL008W"
"80","YBL008W","Hir1p","SSF50978",625,784,"SUPERFAMILY",1953679,"YBL008W"
"81","YBL017C","Pep1p","G3DSA:2.130.10.10",29,619,"GENE3D",1952874,"YBL017C"
"82","YBL017C","Pep1p","G3DSA:2.130.10.10",745,1122,"GENE3D",1952875,"YBL017C"
"83","YBL047C","Ede1p","PF12763",11,93,"Pfam",1956443,"YBL047C"
"84","YBL047C","Ede1p","PF12763",130,220,"Pfam",1956444,"YBL047C"
"85","YBL047C","Ede1p","PF12763",278,360,"Pfam",1956445,"YBL047C"
"86","YBL047C","Ede1p","PS50031",14,113,"PROSITE",1956448,"YBL047C"
"87","YBL047C","Ede1p","PS50031",135,227,"PROSITE",1956449,"YBL047C"
"88","YBL047C","Ede1p","PS50031",277,366,"PROSITE",1956450,"YBL047C"
"89","YBL047C","Ede1p","SM00027",7,102,"SMART",1956456,"YBL047C"
"90","YBL047C","Ede1p","SM00027",128,221,"SMART",1956457,"YBL047C"
"91","YBL047C","Ede1p","SM00027",270,365,"SMART",1956458,"YBL047C"
"92","YBL047C","Ede1p","SSF46934",1335,1380,"SUPERFAMILY",1956462,"YBL047C"
